"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Stat5a","Stat5a",836,985,906,875,949,795
"Map3k11","Map3k11",2582,3536,2740,2621,2967,2424
"Akt2","Akt2",1809,2542,2150,2322,2277,2038
"Dnaja3","Dnaja3",3878,4519,4196,4357,4445,3970
"Hmox2","Hmox2",1478,1834,1540,2018,1910,1900
"Cdip1","Cdip1",3459,3917,3685,3182,2981,2903
"Map3k20","Map3k20",2756,3496,3149,4266,3669,3381
"Cwc15","Cwc15",1169,1319,1198,1460,1458,1405
"Col5a3","Col5a3",0,0,0,0,0,0
"Dnmt1","Dnmt1",8208,11106,9215,10717,9588,8805
"Ppan","Ppan",1887,2408,1877,1952,1775,1596
"Angptl2","Angptl2",9037,11003,10951,10311,10853,9435
"Cacna1e","Cacna1e",0,0,0,0,1,1
"Cacna1b","Cacna1b",20,12,55,21,33,25
"Trmt10a","Trmt10a",88,188,117,119,136,165
"Etv1","Etv1",602,668,698,933,854,926
"Kifc2","Kifc2",19,25,4,12,22,8
"Psap","Psap",153593,172153,171630,231775,236899,228319
"Ikbkg","Ikbkg",2593,2783,2664,2863,2590,2796
"Wars2","Wars2",503,611,631,475,519,386
"Phb2","Phb2",4078,5191,4339,5276,4642,4658
"Ptpn6","Ptpn6",7805,9737,8762,9553,8639,7731
"Eno2","Eno2",1176,1317,1318,1303,1314,1370
"Emg1","Emg1",1496,2006,1814,1763,1798,1828
"Lpcat3","Lpcat3",2686,2963,2837,3218,2896,3144
"Atp6v1f","Atp6v1f",10390,11481,10527,12024,11511,11968
"Clcn5","Clcn5",1515,1390,1734,2504,2057,2033
"Clcn3","Clcn3",1742,1850,1907,2256,2159,1817
"Pde1c","Pde1c",0,0,3,1,0,0
"Utp20","Utp20",1320,1553,1586,1386,1143,1145
"Spic","Spic",0,0,0,1,4,2
"Cul3","Cul3",189,259,257,266,242,366
"Large1","Large1",1529,1552,1610,1502,1241,1190
"Ddx56","Ddx56",3839,4581,4130,4262,3943,3917
"Tmed4","Tmed4",4277,5108,5051,5694,5503,5624
"Col26a1","Col26a1",1,2,0,0,0,0
"Bid","Bid",2036,2702,2431,2132,2141,2099
"Ralb","Ralb",2564,3263,2888,3058,2817,2977
"Ppp1cc","Ppp1cc",3637,4189,3841,5996,5580,5496
"Dnajb11","Dnajb11",2653,3060,2868,3848,3412,3358
"Tbccd1","Tbccd1",638,657,726,680,803,604
"Clec11a","Clec11a",95,85,57,78,53,114
"Zfp324","Zfp324",166,282,238,202,207,168
"Gab2","Gab2",3470,3557,3855,5281,4771,4275
"Coro1c","Coro1c",11255,13618,12573,12563,11263,11302
"Tax1bp1","Tax1bp1",9213,10421,10428,11548,11002,11259
"Ctse","Ctse",34,42,38,47,47,35
"Mettl17","Mettl17",425,532,529,269,247,229
"Arhgef40","Arhgef40",0,3,0,1,3,9
"Pnpla6","Pnpla6",882,1240,1177,1134,1070,995
"Mcoln1","Mcoln1",5038,5725,5756,5506,5665,5371
"Arhgef18","Arhgef18",1499,1917,1778,2068,1949,2032
"Pkn2","Pkn2",764,1025,1087,1178,1150,1085
"Cd33","Cd33",4539,5196,5187,3965,3862,3798
"Etfb","Etfb",208,259,248,282,213,243
"Stxbp2","Stxbp2",13530,15546,14597,16696,16938,16431
"Sgce","Sgce",510,544,537,452,454,377
"Wwox","Wwox",776,921,837,891,802,758
"Slbp","Slbp",759,921,848,996,760,972
"Arid3b","Arid3b",117,122,191,139,138,89
"Cnn2","Cnn2",2,7,6,0,10,1
"Polr2e","Polr2e",2686,3166,2523,3076,2965,3207
"Abca13","Abca13",0,2,0,0,0,2
"Myo9b","Myo9b",7906,9151,8849,8401,8394,7515
"Hdac9","Hdac9",1,1,0,0,0,1
"Ly9","Ly9",1206,1210,1178,1127,1005,1181
"Cd244a","Cd244a",107,97,188,556,376,432
"Adgre1","Adgre1",17323,20821,18829,28580,26042,24853
"Mtfp1","Mtfp1",374,442,460,263,289,281
"Rab23","Rab23",144,182,106,153,161,153
"Rab11a","Rab11a",2392,2824,2841,3640,3552,3563
"Eif2b2","Eif2b2",2110,2562,2372,2875,2769,2945
"Dlst","Dlst",4177,5333,4708,5766,5116,4963
"Pgf","Pgf",0,5,11,15,11,25
"Ulk2","Ulk2",371,557,532,461,485,479
"Ccl24","Ccl24",27,21,26,19,17,28
"Dgkq","Dgkq",381,377,416,517,586,438
"Grap","Grap",0,0,0,0,1,5
"Chmp2b","Chmp2b",1275,1571,1425,1447,1701,1498
"Plod3","Plod3",3610,4160,3773,4227,4333,3919
"Ap1s1","Ap1s1",5903,7763,6360,8262,7476,7984
"Srpk1","Srpk1",5084,6039,5832,4295,3795,3710
"Pax3","Pax3",103,83,107,80,90,80
"Lbr","Lbr",311,456,389,298,247,226
"Prcc","Prcc",636,852,609,782,660,648
"Rrnad1","Rrnad1",272,414,384,481,411,462
"Hdgf","Hdgf",6266,7206,6357,6318,4593,8276
"Thop1","Thop1",2093,2902,2434,3114,2934,2902
"Apba3","Apba3",1256,1555,1339,1390,1383,1277
"Pias4","Pias4",1696,2070,1797,2123,2253,2028
"Map2k1","Map2k1",2638,2886,2678,3067,3176,3150
"Sgta","Sgta",3281,3967,3716,3824,3925,3930
"Tmem242","Tmem242",895,1003,915,1122,996,1109
"Dtx2","Dtx2",392,607,484,493,582,380
"Rasa4","Rasa4",938,1264,1146,1774,1914,1726
"Hnrnpa2b1","Hnrnpa2b1",7288,9699,7886,9464,7755,8535
"Ccdc130","Ccdc130",968,1015,1043,1027,1226,1090
"Mri1","Mri1",5888,7310,6488,5916,6074,5910
"Prkacb","Prkacb",2025,2598,2533,3068,2746,2535
"Sgsh","Sgsh",397,483,488,583,497,459
"Chd5","Chd5",5,1,6,4,1,11
"Cstb","Cstb",14190,15913,13768,18945,17413,19610
"Sh2b2","Sh2b2",2301,2985,2656,4370,4647,4153
"Pex5","Pex5",2047,2950,2536,2472,2465,2403
"Jkamp","Jkamp",546,594,586,625,653,687
"Cd44","Cd44",5524,5556,6173,6734,5960,5450
"Slc1a2","Slc1a2",8,1,12,3,3,4
"Eif2ak4","Eif2ak4",3696,4413,4030,4062,3642,3518
"Wdr1","Wdr1",10230,11603,11214,11234,9680,9810
"Slc2a9","Slc2a9",385,371,396,542,355,317
"Ndrg1","Ndrg1",10625,14212,12444,12259,11392,11580
"X4930550C14Rik","4930550C14Rik",4,19,21,28,36,29
"Man2b1","Man2b1",16695,19484,18716,18080,16441,15964
"Wdr83","Wdr83",740,774,762,759,761,866
"Prdx2","Prdx2",6968,8573,6789,8755,7644,7901
"Polr2a","Polr2a",4829,5468,5733,5541,5678,4865
"Senp3","Senp3",2396,2617,2371,2741,2467,2464
"Plekha8","Plekha8",1242,1423,1335,1947,1529,1664
"Spc25","Spc25",364,627,337,690,515,713
"Dnah2","Dnah2",0,0,0,0,0,0
"Ufd1","Ufd1",618,858,848,853,852,885
"Zfp287","Zfp287",153,200,173,230,175,126
"Prlr","Prlr",1,0,1,0,0,0
"Letm1","Letm1",2282,2752,2335,2529,2470,2252
"Ubqln1","Ubqln1",6689,8068,7708,9580,7941,8444
"Fgfr4","Fgfr4",0,0,0,0,0,1
"Txn2","Txn2",3366,4393,3729,3954,3995,3844
"Slc1a3","Slc1a3",0,1,0,4,1,0
"Crbn","Crbn",631,908,788,818,897,902
"Msh6","Msh6",3729,4466,3775,4084,3518,3190
"Fbxo11","Fbxo11",115,184,174,232,159,200
"Mlxipl","Mlxipl",0,0,0,0,0,1
"Tbl2","Tbl2",826,932,844,811,773,774
"Bud23","Bud23",1257,1555,1333,1685,1400,1509
"Mcm5","Mcm5",2762,3953,2832,3735,2894,2662
"Hmox1","Hmox1",19475,25008,21631,66427,58241,66044
"Mprip","Mprip",902,1055,920,929,700,1041
"Cic","Cic",996,1162,1115,1203,1343,1253
"Il27ra","Il27ra",2,5,1,0,10,8
"Prkaca","Prkaca",3256,4059,3573,4092,3284,4731
"Asf1b","Asf1b",1252,1840,1529,1829,1386,1756
"Ddx39","Ddx39",4324,6069,4739,5149,4403,4252
"Dnajb1","Dnajb1",736,1155,977,953,961,826
"Usp40","Usp40",972,872,1079,1255,1146,1254
"Kbtbd4","Kbtbd4",475,553,533,668,546,575
"Celf1","Celf1",3264,3727,3933,4857,4063,3879
"Ndufs3","Ndufs3",3666,4563,4056,4543,4493,4686
"Por","Por",9901,12132,11503,13190,13472,13371
"Igf1r","Igf1r",1062,1011,1095,1229,1091,1095
"Insr","Insr",568,545,548,585,545,553
"Trim28","Trim28",3520,4913,4006,4135,3409,3775
"Ube2m","Ube2m",2235,2601,2240,2538,1566,2730
"Adcy9","Adcy9",262,326,306,530,426,466
"Mef2c","Mef2c",921,1336,1073,1451,1170,1234
"Ctr9","Ctr9",2301,2480,2435,2716,2003,2126
"Eif4g2","Eif4g2",20760,24495,23199,18121,17232,16508
"Pcyt1a","Pcyt1a",3766,4085,4395,6396,5928,6157
"Zfp592","Zfp592",733,879,1004,1004,926,739
"Psmd4","Psmd4",7905,9867,8934,10690,10306,10626
"Tmod4","Tmod4",1,2,11,8,7,1
"Snx6","Snx6",2371,2820,2321,3285,2948,2741
"Mthfd2","Mthfd2",2839,3120,3375,3267,3047,3014
"Kit","Kit",0,0,0,0,0,0
"Tomm40l","Tomm40l",416,479,421,505,478,523
"Apoa2","Apoa2",19,26,20,15,20,13
"Pan2","Pan2",789,938,921,867,1051,966
"Cs","Cs",8646,10701,9546,11880,9985,10379
"Ampd3","Ampd3",2796,2759,2996,2849,2812,2954
"Bcas2","Bcas2",3532,4503,3952,4459,4248,4484
"Ctcf","Ctcf",604,780,657,749,605,430
"Pard6a","Pard6a",340,501,365,373,448,418
"Tfap4","Tfap4",21,32,43,42,27,16
"Ranbp1","Ranbp1",766,942,815,1042,810,884
"Rfx5","Rfx5",271,297,348,421,387,366
"Psmb4","Psmb4",6815,7876,6897,9198,8281,9203
"Mmp8","Mmp8",2,22,7,177,116,173
"Slc30a4","Slc30a4",994,1008,1005,1447,1257,1426
"Sqor","Sqor",3352,3829,3721,5378,4802,5149
"Bloc1s6","Bloc1s6",1855,1902,1837,3031,2976,3021
"Metap1","Metap1",1275,1504,1462,2502,2065,2012
"Gpr108","Gpr108",3827,4741,4607,5004,5353,5333
"Tnfsf14","Tnfsf14",91,96,120,462,532,483
"Rsl1d1","Rsl1d1",2365,3187,2984,3442,3119,3227
"Apc","Apc",515,406,657,524,483,515
"Reep5","Reep5",2445,2790,2635,3578,3188,3285
"Ergic3","Ergic3",8777,11097,9777,10451,10766,10832
"Uqcc1","Uqcc1",2921,3341,2965,3822,3361,2957
"Ncoa2","Ncoa2",780,1159,961,993,964,1065
"Nr2c2","Nr2c2",406,389,352,354,314,378
"Nr2c1","Nr2c1",348,579,443,431,478,360
"Smpd4","Smpd4",693,906,758,781,757,714
"Pex1","Pex1",839,921,844,825,761,757
"Kctd20","Kctd20",2939,3705,3207,3075,3125,2461
"Ctns","Ctns",2230,2447,2626,2152,1977,2124
"Shpk","Shpk",231,249,305,269,396,419
"Ephb3","Ephb3",2349,2509,2553,2463,2801,2523
"Tuft1","Tuft1",784,1001,930,863,968,892
"Rcn1","Rcn1",527,595,588,786,698,729
"Dnase1","Dnase1",26,26,16,36,35,11
"Trap1","Trap1",6273,8072,6920,6980,6823,6610
"Naa60","Naa60",721,858,845,864,769,844
"X1700037C18Rik","1700037C18Rik",77,48,88,80,70,94
"Ankrd13d","Ankrd13d",292,449,425,367,384,465
"Tpr","Tpr",2157,2609,2378,2335,2218,1945
"Odr4","Odr4",705,887,814,873,1121,1037
"Prg4","Prg4",0,23,5,46,36,14
"Dhx34","Dhx34",1375,1560,1682,1394,1605,1474
"Kptn","Kptn",466,600,529,505,541,507
"Napa","Napa",10934,13316,11490,12473,11653,12130
"Sra1","Sra1",2134,2101,2240,2974,2559,2713
"Atp5g1","Atp5g1",4108,5110,4139,5103,4397,4542
"Snf8","Snf8",1500,1648,1526,1638,1609,1674
"Tbcb","Tbcb",1638,2071,1735,2088,1868,1721
"Inpp5k","Inpp5k",1388,1569,1358,1265,1275,1412
"Crkl","Crkl",1210,1119,1375,1488,1310,1168
"Clint1","Clint1",3691,4598,4289,5405,4903,4792
"Prss16","Prss16",18,34,48,61,59,27
"Cdkal1","Cdkal1",392,518,372,549,388,453
"X5430419D17Rik","5430419D17Rik",0,0,0,0,0,0
"Htra1","Htra1",401,488,556,769,771,703
"Zbtb17","Zbtb17",1000,1360,1354,1129,1190,1394
"Fblim1","Fblim1",7777,8787,8860,9130,8773,8500
"Hspb7","Hspb7",427,533,632,204,195,232
"Ccdc159","Ccdc159",160,202,161,280,250,256
"Mob1b","Mob1b",98,156,114,149,129,196
"Atp6v1b2","Atp6v1b2",51162,57104,54227,68985,62011,62308
"Eps15l1","Eps15l1",1441,1743,1459,1826,1534,1249
"Tep1","Tep1",2396,2793,2642,2793,2694,2201
"Ttc5","Ttc5",1478,1696,1316,1389,1206,1278
"Osgep","Osgep",1207,1515,1409,1368,1155,1325
"Aamp","Aamp",7055,9147,7882,7584,8034,8176
"Tmbim1","Tmbim1",4562,5368,5037,6982,6637,6780
"Arpc2","Arpc2",14924,17674,16547,18732,17135,17719
"Kmt2b","Kmt2b",342,470,365,277,425,391
"Zbtb32","Zbtb32",93,99,101,34,34,56
"Tmem147","Tmem147",2287,2639,2456,2579,2730,2523
"Rps9","Rps9",12259,14603,12690,17868,16652,17170
"Tfpt","Tfpt",377,400,394,403,420,460
"Susd2","Susd2",1,0,3,0,0,0
"Ggt5","Ggt5",1,0,4,0,5,1
"Cbfa2t3","Cbfa2t3",0,0,0,1,0,0
"Fbln1","Fbln1",351,432,399,489,483,415
"Pgrmc1","Pgrmc1",1365,1707,1770,1880,1747,1925
"Gcat","Gcat",139,148,118,141,126,128
"Elovl1","Elovl1",4156,4955,4559,4394,4123,4084
"Med8","Med8",1076,1248,1092,1200,1261,1168
"Hyi","Hyi",482,540,483,540,692,619
"Cdc20","Cdc20",1616,2517,1859,2208,1835,1785
"Adamts4","Adamts4",30,34,23,51,57,14
"Nectin4","Nectin4",64,89,78,43,81,98
"Pfdn2","Pfdn2",1013,1222,920,1157,1017,1021
"Rnf114","Rnf114",4116,5067,4653,5173,5288,5410
"C330007P06Rik","C330007P06Rik",1421,1622,1537,2161,2267,2492
"Neurl1a","Neurl1a",101,100,50,52,40,77
"Srm","Srm",3521,4573,3765,3310,3152,3037
"Epha2","Epha2",5,0,15,4,1,34
"Rbm14","Rbm14",1170,1443,1271,1348,1139,1299
"Actn3","Actn3",5,16,17,12,7,10
"A530013C23Rik","A530013C23Rik",28,15,8,18,35,26
"Zdhhc24","Zdhhc24",821,963,936,1042,1047,993
"Bbs1","Bbs1",514,667,540,497,573,481
"Ndor1","Ndor1",389,432,422,435,346,374
"Nsmf","Nsmf",111,177,133,256,261,239
"Pdk1","Pdk1",2902,4057,3274,3728,2891,2990
"Ptbp1","Ptbp1",4525,6363,5448,5911,5554,5239
"Mvd","Mvd",1374,1872,1335,1955,1912,2018
"Cyba","Cyba",45692,53821,51300,56549,60339,59879
"Tmem110","Tmem110",353,557,504,463,522,479
"Sfmbt1","Sfmbt1",726,687,766,839,860,745
"Rundc3a","Rundc3a",10,39,18,13,17,18
"Slc4a3","Slc4a3",36,26,3,20,15,18
"Cdt1","Cdt1",2080,2857,2367,2683,2507,2576
"Aprt","Aprt",8898,10576,9041,10290,9866,9881
"Gtf2h1","Gtf2h1",1653,2094,1948,1913,2159,2213
"Hfe","Hfe",1216,1507,1358,1739,1730,1756
"Slc5a6","Slc5a6",365,526,440,457,391,541
"Qrich1","Qrich1",3154,3457,3532,3778,3860,3252
"Usp19","Usp19",8283,10403,9810,8533,9421,8387
"Pola1","Pola1",453,565,513,692,482,474
"Cdc42","Cdc42",11030,13489,12555,17473,14210,15862
"Pknox1","Pknox1",1042,1066,1110,1151,1172,1117
"Gmnn","Gmnn",247,326,210,400,240,383
"Acot13","Acot13",787,976,812,910,1099,1074
"Zfp184","Zfp184",48,23,17,27,72,37
"Cdk4","Cdk4",10149,12844,10802,11620,11331,11462
"B4galnt1","B4galnt1",4754,5806,5456,3569,3815,3208
"Mettl1","Mettl1",301,366,353,308,237,239
"Tspan31","Tspan31",3519,3970,3617,4574,4347,4506
"Kif5b","Kif5b",765,1197,1078,1344,1550,1430
"Saal1","Saal1",601,661,622,759,763,672
"Tph2","Tph2",21,23,24,48,24,34
"Cnp","Cnp",965,1345,1127,1304,1188,1237
"Ttc25","Ttc25",41,46,25,71,51,64
"Sulf2","Sulf2",6820,8706,7593,5777,5266,5235
"Sod2","Sod2",1451,1805,1438,2824,2419,2539
"Tmco6","Tmco6",282,422,277,325,373,314
"Stambp","Stambp",932,1091,1091,1324,1033,988
"Ezh1","Ezh1",1900,2238,2265,2401,1978,1879
"Hap1","Hap1",166,331,242,316,279,191
"Ctnnb1","Ctnnb1",26633,31921,31843,41520,43846,40914
"Eif1b","Eif1b",747,951,835,846,842,918
"Psmd2","Psmd2",21878,25588,23921,25080,23400,22575
"Syngr3","Syngr3",59,70,36,40,55,34
"Vars","Vars",13033,17429,15321,14798,14001,12554
"Hspa1l","Hspa1l",93,89,87,97,89,105
"Msh5","Msh5",52,22,37,36,29,61
"Abhd16a","Abhd16a",2434,3231,2671,2274,2255,2210
"Neu1","Neu1",13062,16166,14429,16059,16874,15766
"Clic1","Clic1",11846,14310,12778,14452,13359,14041
"Lsm2","Lsm2",640,1006,844,957,847,917
"Pole","Pole",576,777,599,535,501,486
"Stx1a","Stx1a",74,182,106,109,159,141
"Zfp775","Zfp775",310,267,287,364,378,248
"Mrpl49","Mrpl49",936,1076,858,1034,939,954
"Dennd2c","Dennd2c",594,694,700,719,475,504
"Mark3","Mark3",1873,2242,1916,2080,1497,2434
"Gatad1","Gatad1",286,394,276,498,373,404
"M6pr","M6pr",9108,10828,9901,13698,12959,12205
"Lrrc8a","Lrrc8a",94,112,114,120,141,141
"Ppp2r1a","Ppp2r1a",14893,17086,15330,18609,17450,17774
"Fance","Fance",570,684,612,645,785,667
"Tinf2","Tinf2",622,750,742,871,904,872
"Hapln4","Hapln4",889,954,961,1019,1029,1029
"Dus3l","Dus3l",1039,1297,998,998,931,783
"Gtpbp3","Gtpbp3",543,721,596,695,718,726
"Tgfbr1","Tgfbr1",901,1110,1140,1002,1004,1072
"Homer1","Homer1",155,259,167,284,176,259
"Rad51c","Rad51c",50,92,88,213,127,159
"Arpp19","Arpp19",1140,1283,1386,1512,1555,1634
"Bcl2l1","Bcl2l1",3718,4066,4006,5925,5747,5174
"Khsrp","Khsrp",4205,5522,4935,5494,4148,4938
"Ccdc124","Ccdc124",1610,2067,1726,2235,2212,2117
"Cct4","Cct4",4764,5547,5218,6045,5056,4852
"X0610009B22Rik","0610009B22Rik",514,644,526,585,549,678
"Cpt1c","Cpt1c",24,34,19,56,36,42
"Zfp655","Zfp655",2784,3095,3214,3428,3789,4219
"Rhoa","Rhoa",5726,6485,5987,7335,6280,7004
"Zmiz1","Zmiz1",5428,6213,6795,6351,6325,5803
"Ankrd26","Ankrd26",186,190,171,219,133,203
"Aldh16a1","Aldh16a1",2321,2736,2296,2240,2511,2074
"Hnrnpa0","Hnrnpa0",87,118,123,75,78,85
"Prrg2","Prrg2",197,261,234,264,215,279
"Hnrnph1","Hnrnph1",1020,1202,1031,1537,1166,1417
"Ift43","Ift43",479,553,446,599,518,685
"Id3","Id3",44,60,44,64,176,126
"Arid1a","Arid1a",1391,1536,1449,1500,1258,1163
"Ctsd","Ctsd",146422,164738,161347,229652,226649,229531
"Rplp1","Rplp1",6185,6516,5750,6644,6159,6474
"Abhd8","Abhd8",967,1116,1173,1151,1391,1195
"Ift22","Ift22",1488,1916,1712,1825,1782,1844
"Mid1ip1","Mid1ip1",1505,1764,1833,1936,1704,1778
"Ap2s1","Ap2s1",3038,3562,3212,6843,6780,6896
"Fgfrl1","Fgfrl1",44,70,43,90,36,60
"X4930432K21Rik","4930432K21Rik",339,357,336,434,322,330
"Emc10","Emc10",2057,2589,2345,2411,2373,2308
"Clstn3","Clstn3",20,29,41,7,36,6
"Fbxw9","Fbxw9",797,856,751,737,828,804
"Fnbp4","Fnbp4",694,925,856,869,924,852
"Cers4","Cers4",2,1,1,7,17,8
"Scrn3","Scrn3",648,778,764,583,559,792
"Phax","Phax",826,1060,920,1023,937,929
"Tle1","Tle1",428,598,571,154,167,166
"Relt","Relt",346,389,353,595,558,537
"Snrpb2","Snrpb2",579,707,451,754,645,722
"Ubc","Ubc",10455,11805,11577,16086,15418,14840
"Prpf31","Prpf31",2484,3348,2728,3088,2683,2500
"Sertad1","Sertad1",384,471,394,244,356,382
"Carhsp1","Carhsp1",782,763,758,895,814,819
"Elk3","Elk3",406,471,414,645,461,614
"Herpud2","Herpud2",850,872,989,1225,1185,935
"Rdh13","Rdh13",886,843,792,691,762,777
"Nutf2","Nutf2",1144,1645,1478,1630,1385,1545
"Arpc5","Arpc5",8017,9837,9345,12773,11893,13081
"Elavl2","Elavl2",4,4,0,0,4,8
"Pou2f2","Pou2f2",41,36,47,161,153,106
"Mgst1","Mgst1",3378,4472,3650,4509,4157,4953
"Nfib","Nfib",0,0,1,0,3,1
"Ubqln4","Ubqln4",3189,3403,3095,2856,3040,2745
"Rps18","Rps18",24100,26692,24174,28513,24961,27561
"Rpl10","Rpl10",18905,22650,20061,19871,19152,20131
"Rps15a","Rps15a",4203,4441,4208,5777,5578,5997
"Ncaph2","Ncaph2",4736,6168,4982,6304,6329,6147
"Hipk1","Hipk1",2350,2725,2881,2919,2469,2926
"Gprc5b","Gprc5b",385,416,443,524,592,507
"Man1a2","Man1a2",1614,1928,1780,1963,2254,2137
"Acyp1","Acyp1",165,168,134,141,196,264
"Hdac5","Hdac5",4016,5135,4438,5110,4833,4963
"Rala","Rala",491,545,543,578,652,629
"Vdac3","Vdac3",4547,5206,4955,6046,5628,5818
"Vps72","Vps72",2540,2788,2705,2335,2627,2274
"Gabpa","Gabpa",572,740,725,643,775,724
"Dynll1","Dynll1",3358,3773,3356,3454,3132,3406
"Pdcl","Pdcl",1054,1407,1272,1436,1512,1565
"Tmem184b","Tmem184b",3856,4697,4321,4917,5014,4350
"Nf2","Nf2",2346,3113,2711,2841,2216,2043
"Zmat5","Zmat5",214,261,200,231,241,277
"Ewsr1","Ewsr1",7798,9687,8693,8579,7970,7038
"Ap1b1","Ap1b1",6462,8018,7329,12124,11178,10801
"Gnat2","Gnat2",54,47,74,63,37,37
"Bcl2l13","Bcl2l13",1243,1615,1466,1783,1877,1696
"Dqx1","Dqx1",3,1,1,2,3,2
"Ccl8","Ccl8",0,0,0,164,204,207
"Lnpk","Lnpk",216,394,330,265,364,375
"Pttg1ip","Pttg1ip",2284,2671,2332,2977,2816,2802
"Trpm2","Trpm2",39,77,48,81,62,20
"Ube2g2","Ube2g2",1318,1652,1397,1766,1728,1653
"Met","Met",1,1,0,0,0,0
"Syn2","Syn2",3,2,24,5,16,2
"Elk1","Elk1",630,901,754,841,619,849
"Nav1","Nav1",1432,1616,1627,1565,1317,1052
"Tnpo1","Tnpo1",3394,4467,4238,4946,4300,4952
"Rnmt","Rnmt",1349,1823,1588,1954,1876,2019
"Srp14","Srp14",4679,5149,4992,6900,7058,7015
"Cdk9","Cdk9",5942,6832,6934,7087,6875,6418
"Tor2a","Tor2a",1757,2061,1906,2362,2275,2640
"Fpgs","Fpgs",564,696,525,478,476,397
"Mrtfb","Mrtfb",720,936,882,982,887,651
"Cbx5","Cbx5",975,1322,1171,1622,1123,1150
"Apobec3","Apobec3",817,922,781,1919,1687,1579
"Sardh","Sardh",512,636,556,352,439,485
"Vav2","Vav2",1090,1138,1063,1095,760,1289
"Ppp2cb","Ppp2cb",137,118,95,157,115,195
"Dmap1","Dmap1",897,1073,983,994,1036,1057
"Mcu","Mcu",790,906,1007,873,978,925
"Oit3","Oit3",1360,1506,1315,1811,1743,1773
"Bcr","Bcr",130,142,122,104,60,110
"Fxyd5","Fxyd5",20549,24997,23514,27041,26835,27246
"Tfcp2","Tfcp2",548,480,592,681,689,641
"Ubp1","Ubp1",593,628,653,487,454,585
"Nuak2","Nuak2",989,1378,1136,1111,1001,865
"Ick","Ick",110,162,103,73,107,112
"Sdhb","Sdhb",7005,8229,6922,8448,8177,8459
"Snap47","Snap47",2964,3402,2941,3511,3259,3223
"Kdsr","Kdsr",842,835,865,690,789,653
"Vps4b","Vps4b",2707,3090,3182,3948,3501,3846
"Rps25","Rps25",7484,7870,7310,8323,8605,8403
"Taz","Taz",1422,1368,1370,1102,1064,1010
"Kif19a","Kif19a",216,290,293,309,313,235
"Aldh3a2","Aldh3a2",1005,1207,1107,1303,1219,1089
"Tmem115","Tmem115",1446,1847,1759,1679,1759,1665
"Hyal2","Hyal2",2372,2867,2386,2475,2365,2687
"Ifrd2","Ifrd2",829,1017,886,959,804,860
"Hyal1","Hyal1",3165,3393,3539,3689,3609,3303
"Tusc2","Tusc2",1160,1457,1309,1364,1643,1789
"Nprl2","Nprl2",815,1111,882,1156,907,970
"Rassf1","Rassf1",276,318,273,277,295,382
"Slc3a2","Slc3a2",10199,11405,11393,9940,10454,10867
"Nxf1","Nxf1",1639,2125,2057,2083,1652,1650
"Stx5a","Stx5a",2123,2438,2530,2401,2381,2372
"Tnfrsf13b","Tnfrsf13b",348,491,512,411,495,491
"Spire2","Spire2",420,430,402,472,394,505
"X2610507B11Rik","2610507B11Rik",7210,7923,7492,9665,8171,7433
"AI597479","AI597479",575,620,624,819,620,727
"Tmem86a","Tmem86a",2107,2405,2460,2374,2417,2170
"Tex14","Tex14",67,97,77,82,50,67
"Ifi35","Ifi35",363,563,434,504,559,550
"Rdm1","Rdm1",190,257,210,204,349,329
"Nedd8","Nedd8",2171,2465,2199,2766,2822,2966
"Gosr1","Gosr1",1563,1608,1672,2205,1791,1922
"Mrpl52","Mrpl52",1009,1230,1040,1688,1734,1612
"Kansl3","Kansl3",1021,1314,1252,1178,1258,1307
"Eya4","Eya4",712,784,739,1062,1074,1170
"Faf1","Faf1",3279,3850,3505,3746,3094,3292
"Tsacc","Tsacc",10,18,27,21,21,7
"Mettl16","Mettl16",793,818,840,812,739,723
"Pigyl","Pigyl",250,280,269,288,258,265
"Rbm25","Rbm25",499,783,586,780,629,697
"Psen2","Psen2",2796,3139,2849,2797,2710,2718
"Plcd1","Plcd1",58,58,60,58,92,63
"Fads1","Fads1",10380,13309,12195,12738,11744,11325
"Lmbr1","Lmbr1",99,97,131,108,107,135
"Tnfrsf22","Tnfrsf22",1097,1292,1094,1348,1515,1397
"Cars","Cars",4443,5337,5593,5238,5234,5296
"Phlda2","Phlda2",13,18,13,27,16,17
"Kdelr3","Kdelr3",806,965,743,837,902,852
"Apip","Apip",638,743,736,797,663,605
"Pdhx","Pdhx",2028,2382,2110,2688,2210,2254
"Vac14","Vac14",6171,7340,6749,6651,7009,6406
"Mcoln2","Mcoln2",582,780,786,1465,1275,1275
"Akt1s1","Akt1s1",702,856,918,844,862,633
"Tbrg1","Tbrg1",2965,3477,2984,3393,3075,2921
"Adssl1","Adssl1",5531,7697,6599,7549,7673,7138
"Brf1","Brf1",1294,1605,1418,1382,1310,1455
"Odc1","Odc1",2160,2676,2341,3174,2679,2707
"Thg1l","Thg1l",79,83,79,55,62,81
"Pabpc4","Pabpc4",612,766,590,589,665,499
"Exoc3l2","Exoc3l2",13,14,20,11,11,30
"Zfp296","Zfp296",59,121,64,92,65,87
"Sugp1","Sugp1",1854,2092,2004,2544,2224,2244
"Dhdh","Dhdh",216,227,263,257,265,237
"Zfp790","Zfp790",388,399,409,511,511,463
"Fuz","Fuz",129,154,133,87,116,130
"Sptbn4","Sptbn4",5,9,2,12,9,24
