Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Dnmt1,3121,283,726,683,812,71
Ppan,1016,170,320,30,362,139
Angptl2,1983,554,1113,1060,567,199
Cacna1e,0,0,0,1,0,5
Cacna1b,0,0,0,0,0,0
Trmt10a,0,144,5,0,86,151
Etv1,233,22,200,18,258,41
Kifc2,0,0,0,0,0,0
Psap,52594,8386,16091,4941,15888,5688
Ikbkg,1769,331,480,500,885,778
Wars2,2,9,278,0,13,28
Phb2,4089,1390,1903,1787,2653,1726
Ptpn6,6485,1413,2216,281,2058,1022
Eno2,0,0,17,0,355,11
Emg1,782,686,445,56,898,713
Lpcat3,1749,140,184,0,490,95
Atp6v1f,7759,1234,2334,416,1748,761
Clcn5,254,223,56,4,77,144
Clcn3,979,149,0,166,235,258
Pde1c,0,0,0,0,7,0
Utp20,0,369,0,0,582,226
Spic,0,0,0,0,43,0
Cul3,1,218,51,0,177,116
Large1,136,126,34,0,443,13
Ddx56,2592,217,570,360,725,445
Tmed4,3586,237,0,182,608,39
Col26a1,0,0,0,0,0,0
Bid,3172,395,497,0,180,202
Ralb,3080,1838,1822,1849,2295,2780
Ppp1cc,2122,1237,2002,1448,2023,1267
Dnajb11,2160,1061,456,369,1039,685
Tbccd1,0,331,3,0,521,115
Clec11a,0,0,0,0,0,0
Zfp324,0,0,0,0,0,0
Gab2,1577,80,0,117,292,650
Coro1c,9336,1735,2106,1950,2789,2039
Tax1bp1,11644,348,2430,122,2490,428
Ctse,22,0,0,0,10,0
Mettl17,148,108,0,0,404,244
Arhgef40,89,835,753,673,633,843
Pnpla6,11,0,0,0,69,73
Mcoln1,3576,254,411,0,1201,8
Arhgef18,725,0,0,0,8,432
Pkn2,485,78,221,28,272,273
Cd33,2757,151,843,233,1495,250
Etfb,140,48,40,0,47,28
Stxbp2,6760,1373,1515,388,1923,757
Sgce,311,0,0,0,112,0
Wwox,0,19,0,77,102,85
Slbp,712,139,144,8,715,45
Arid3b,0,0,0,0,52,39
Cnn2,0,0,0,0,0,0
Polr2e,1689,259,454,255,919,488
Abca13,0,0,53,0,0,0
Myo9b,3177,220,417,0,53,47
Hdac9,0,0,0,0,0,0
Ly9,681,155,0,0,294,28
Cd244a,0,0,0,0,43,17
Adgre1,17706,3579,1633,530,6134,1973
Mtfp1,294,98,0,0,95,0
Rab23,0,0,0,0,99,42
Rab11a,1744,243,551,654,492,177
Eif2b2,1121,249,186,154,311,94
Dlst,1462,348,297,289,597,561
Pgf,0,0,2,0,43,0
Ulk2,0,0,7,4,0,116
Ccl24,0,0,0,0,0,0
Dgkq,2,0,0,0,0,0
Grap,0,0,0,0,0,0
Chmp2b,1349,161,433,95,486,118
Plod3,934,1075,450,408,833,434
Ap1s1,5118,1639,1393,380,1567,690
Srpk1,3782,521,597,502,1080,919
Pax3,0,0,11,9,10,72
Lbr,409,0,243,0,171,67
Prcc,346,20,130,54,84,35
Rrnad1,558,37,113,16,249,24
Hdgf,2229,387,1273,48,867,482
Thop1,1947,163,74,3,314,359
Apba3,909,171,166,185,81,23
Pias4,794,210,332,0,235,266
Map2k1,1464,505,435,676,746,66
Sgta,3831,221,675,315,308,565
Tmem242,420,202,214,190,423,153
Dtx2,534,90,183,0,55,25
Rasa4,0,65,22,0,1,20
Hnrnpa2b1,5209,1052,2601,243,1493,726
Ccdc130,0,120,195,0,74,33
Mri1,3131,337,542,277,630,473
Prkacb,1013,970,1029,828,1706,1100
Sgsh,44,62,0,0,40,41
Chd5,0,0,10,0,0,0
Cstb,13001,2439,4387,766,3331,522
Sh2b2,853,118,419,0,267,113
Pex5,1212,1031,2064,1908,2528,2856
Jkamp,539,332,161,58,380,67
Cd44,3878,181,477,0,695,83
Slc1a2,0,0,42,0,0,1
Eif2ak4,2524,396,687,658,1305,1527
Wdr1,4814,538,1510,134,2249,1135
Slc2a9,838,0,166,0,0,0
Ndrg1,4209,242,527,185,832,300
4930550C14Rik,0,0,0,0,0,0
Man2b1,8006,1239,1261,243,957,373
Wdr83,873,127,45,0,229,39
Prdx2,4618,1905,1408,785,3241,2005
Polr2a,984,154,263,0,76,162
Senp3,317,394,9,53,184,370
Plekha8,374,810,953,908,1449,1703
Spc25,426,115,1012,146,522,397
Dnah2,0,0,1,0,0,0
Ufd1,1066,82,199,19,188,23
Zfp287,0,6,4,0,163,55
Prlr,0,0,144,0,0,0
Letm1,761,10,270,89,189,79
Ubqln1,1592,734,2085,239,1194,936
Fgfr4,1,6,18,6,3,2
Txn2,3421,1540,1988,816,2592,2542
Slc1a3,0,0,12,0,0,0
Crbn,1087,0,147,0,0,0
Msh6,1080,484,71,0,620,84
Fbxo11,0,17,129,69,93,1
Mlxipl,0,0,0,146,0,0
Tbl2,296,1542,492,1249,1538,853
Bud23,1107,106,308,27,209,161
Mcm5,858,604,574,0,983,598
Hmox1,12284,2406,3618,177,3691,206
Mprip,39,656,668,161,845,1116
Cic,88,1326,677,1219,2250,1632
Il27ra,0,0,0,0,0,0
Prkaca,430,106,136,0,73,12
Asf1b,1354,0,21,0,342,18
Ddx39,3519,371,982,975,1381,824
Dnajb1,727,138,225,0,99,71
Usp40,800,470,68,56,375,217
Kbtbd4,282,83,134,0,102,73
Celf1,1856,400,518,818,1407,1806
Ndufs3,2593,734,827,309,682,331
Por,7791,1635,153,196,670,275
Igf1r,26,13,101,0,105,42
Insr,0,153,403,0,204,170
Trim28,1095,1275,756,1601,2056,1524
Ube2m,281,67,386,14,183,176
Adcy9,181,0,68,0,20,43
Mef2c,474,255,459,92,876,430
Ctr9,2678,0,239,0,626,0
Eif4g2,16597,3157,4068,650,4370,2184
Pcyt1a,857,57,344,59,949,300
Zfp592,997,0,0,0,27,16
Psmd4,6487,1351,2203,667,2116,1043
Tmod4,0,0,0,0,0,0
Snx6,3084,1079,1246,1819,1889,703
Mthfd2,4043,1161,1121,297,1505,971
Kit,0,0,0,0,0,0
Tomm40l,286,129,144,113,107,85
Apoa2,0,0,0,0,0,0
Pan2,552,19,0,0,12,34
Cs,5764,892,1695,1658,2599,2506
Ampd3,2078,462,345,0,461,16
Bcas2,4878,713,892,744,1903,1588
Ctcf,627,98,432,0,389,106
Pard6a,185,17,7,0,87,59
Tfap4,0,42,0,0,11,8
Ranbp1,1470,118,277,62,424,193
Rfx5,332,0,0,0,138,151
Psmb4,4523,1705,2477,2193,3344,2696
Mmp8,256,100,0,0,0,0
Slc30a4,161,486,596,660,1290,933
Sqor,2775,73,712,226,961,136
Bloc1s6,1114,377,538,317,287,130
Metap1,2441,136,286,841,907,660
Gpr108,2687,452,352,656,350,188
Tnfsf14,0,119,0,0,0,0
Rsl1d1,4074,855,1118,204,1772,635
Apc,122,29,0,0,266,586
Reep5,1358,593,513,107,560,199
Ergic3,6250,1121,951,461,1392,773
Uqcc1,1253,631,933,457,1133,487
Ncoa2,886,12,0,0,265,166
Nr2c2,0,500,634,54,348,414
Nr2c1,198,0,171,77,113,0
Smpd4,0,33,1,0,28,254
Pex1,439,157,0,0,138,0
Kctd20,2098,1615,1995,1794,2815,3330
Ctns,2049,359,0,0,409,24
Shpk,0,0,0,0,0,0
Ephb3,775,0,0,0,18,0
Tuft1,425,0,1,152,280,23
Rcn1,368,385,499,245,1058,671
Dnase1,106,0,0,0,0,0
Trap1,3321,668,925,354,1009,329
Naa60,720,71,0,512,279,65
1700037C18Rik,82,35,0,0,0,0
Ankrd13d,0,0,261,0,17,0
Tpr,1844,722,179,199,611,152
Odr4,2318,292,8,0,283,44
Prg4,0,0,0,0,0,0
Dhx34,778,155,0,10,34,159
Kptn,222,91,0,0,72,38
Napa,7964,761,1226,456,1842,493
Sra1,2106,155,517,73,475,88
Atp5g1,3158,1959,2417,989,1847,1527
Snf8,666,367,300,448,654,456
Tbcb,1398,426,427,361,506,29
Inpp5k,1284,122,0,0,218,0
Crkl,531,281,250,719,325,272
Clint1,1793,439,4,0,783,51
Prss16,0,98,376,0,184,173
Cdkal1,382,116,296,0,166,0
5430419D17Rik,0,0,0,0,0,0
Htra1,19,130,190,187,204,23
Zbtb17,760,152,229,0,224,174
Fblim1,4152,510,262,616,2291,1447
Hspb7,0,100,0,288,10,62
Ccdc159,260,122,40,0,0,165
Mob1b,130,5,42,0,19,141
Atp6v1b2,25165,11330,13644,6270,16847,10495
Eps15l1,164,289,257,536,344,103
Tep1,1059,91,473,122,808,546
Ttc5,1491,0,558,0,324,160
Osgep,948,59,249,1,689,175
