Geneid,control Evs Tx_1,control Evs Tx_2,control Evs Tx_3,IL-10 Evs Tx_1,IL-10 Evs Tx_2,IL-10 Evs Tx_3
ENSMUSG00000114299,11,5,13,10,8,3
ENSMUSG00000099771,0,0,0,0,0,0
ENSMUSG00000102280,0,0,0,0,0,0
ENSMUSG00000100170,0,0,0,0,0,0
ENSMUSG00000100744,0,0,0,0,0,0
ENSMUSG00002074851,0,0,0,0,0,0
ENSMUSG00000026469,560,670,720,627,690,777
ENSMUSG00002076398,0,0,0,1,0,4
ENSMUSG00000018417,0,0,0,0,0,0
ENSMUSG00000101724,0,0,0,0,0,0
ENSMUSG00000100313,0,0,0,0,0,0
ENSMUSG00000100696,0,0,0,0,0,0
ENSMUSG00002075355,0,0,0,0,0,0
ENSMUSG00000072324,0,0,0,0,0,0
ENSMUSG00000026490,487,581,475,576,583,643
ENSMUSG00000033701,689,719,779,839,781,869
ENSMUSG00000102194,56,51,60,68,75,75
ENSMUSG00000103636,0,0,0,0,0,0
ENSMUSG00000026468,6,9,14,2,5,0
ENSMUSG00000103180,0,0,0,0,0,0
ENSMUSG00000062939,117,173,140,181,214,186
ENSMUSG00000101628,1,0,3,0,1,0
ENSMUSG00000078291,0,0,0,0,0,0
ENSMUSG00000109599,265,279,311,360,374,365
ENSMUSG00000033684,319,282,275,338,371,384
ENSMUSG00000102299,0,0,0,0,0,0
ENSMUSG00000102558,0,0,0,0,0,0
ENSMUSG00000016918,0,0,0,0,0,0
ENSMUSG00000033671,1893,2222,2522,2562,2586,2753
ENSMUSG00000103717,0,0,0,0,0,0
ENSMUSG00000103771,0,0,0,0,0,0
ENSMUSG00000102837,0,0,0,0,0,0
ENSMUSG00000077419,0,0,0,0,0,0
ENSMUSG00000102833,6,4,12,6,11,12
ENSMUSG00000026489,0,0,0,0,0,0
ENSMUSG00000104520,0,0,0,0,0,0
ENSMUSG00000025938,0,0,0,0,0,0
ENSMUSG00000026159,1228,1423,1483,1746,1457,1696
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,1,0,0,2,6,6
ENSMUSG00000113880,12,10,10,9,14,8
ENSMUSG00000113973,4,0,1,2,0,2
ENSMUSG00000113846,4,0,1,6,2,4
ENSMUSG00000113084,0,0,0,0,0,0
ENSMUSG00000042414,208,215,270,256,224,297
ENSMUSG00000113925,0,0,0,0,0,0
ENSMUSG00000114011,0,0,0,0,0,0
ENSMUSG00000113097,0,0,0,0,0,0
ENSMUSG00000101784,0,0,0,0,0,0
ENSMUSG00000038496,0,2,0,1,1,1
ENSMUSG00000100432,0,0,0,0,0,0
ENSMUSG00000100190,0,0,0,0,0,0
ENSMUSG00000113267,0,0,1,0,0,0
ENSMUSG00000104423,0,0,0,0,0,0
ENSMUSG00000101315,0,0,0,0,0,0
ENSMUSG00000099691,0,0,0,0,0,0
ENSMUSG00000026166,0,0,0,0,0,0
ENSMUSG00000101173,0,0,0,0,0,0
ENSMUSG00000064302,466,547,557,638,574,628
ENSMUSG00000077257,0,0,0,0,0,0
ENSMUSG00000107722,4,0,2,0,2,0
ENSMUSG00000080542,0,0,0,0,0,0
ENSMUSG00000100770,0,0,0,0,0,0
ENSMUSG00000053161,0,0,0,0,0,0
ENSMUSG00000101896,0,0,0,0,0,0
ENSMUSG00002075005,0,0,0,0,0,0
ENSMUSG00000026466,50,71,83,76,92,94
ENSMUSG00000102964,167,188,224,177,221,219
ENSMUSG00000026380,1871,2238,2116,2591,2490,2665
ENSMUSG00002076551,0,0,0,0,0,6
ENSMUSG00000101624,2,0,2,1,0,1
ENSMUSG00000088363,0,0,0,0,0,0
ENSMUSG00000100040,0,0,0,0,0,0
ENSMUSG00000010609,0,0,0,0,0,0
ENSMUSG00000055676,1,0,1,4,0,5
ENSMUSG00000026163,0,2,6,8,6,2
ENSMUSG00000079140,0,0,0,0,0,0
ENSMUSG00000104374,0,0,0,0,0,0
ENSMUSG00000104219,0,0,0,0,0,0
ENSMUSG00000100580,0,0,0,0,0,0
ENSMUSG00000038855,603,646,691,709,601,747
ENSMUSG00002076780,0,0,0,0,0,0
ENSMUSG00000104388,0,0,1,3,0,0
ENSMUSG00000077736,0,0,0,0,0,0
ENSMUSG00000103123,0,0,0,0,0,0
ENSMUSG00000103772,4,10,7,7,2,9
ENSMUSG00000053963,37,44,34,40,39,52
ENSMUSG00000104210,12,4,6,2,2,0
ENSMUSG00000102608,0,0,0,0,0,1
ENSMUSG00000045658,2,0,4,6,13,3
ENSMUSG00000050565,660,702,880,922,1008,935
ENSMUSG00000102750,0,0,0,0,0,0
ENSMUSG00000101934,0,0,0,0,0,0
ENSMUSG00000098851,0,0,0,0,0,0
ENSMUSG00000015484,204,229,273,235,237,265
ENSMUSG00000048402,0,0,0,0,0,0
ENSMUSG00000098273,0,0,0,0,0,0
ENSMUSG00000097408,0,0,0,0,0,0
ENSMUSG00000096939,0,0,0,0,0,0
ENSMUSG00000100767,0,0,0,0,0,0
ENSMUSG00000099860,0,0,0,0,0,0
ENSMUSG00000101179,0,0,0,0,0,0
ENSMUSG00000037035,0,0,0,0,0,0
ENSMUSG00000036766,6,4,4,13,10,17
ENSMUSG00000104396,170,227,222,205,226,269
ENSMUSG00000102481,0,0,0,0,0,0
ENSMUSG00000005886,10,16,16,21,7,8
ENSMUSG00000093254,0,0,0,0,0,0
ENSMUSG00000004451,0,0,0,0,0,0
