"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Ciart","Ciart",247,237,244,262,257,175
"Efl1","Efl1",719,923,832,1520,906,1152
"Ift172","Ift172",1708,1955,2012,1554,1051,1210
"Rad9b","Rad9b",61,81,99,101,45,66
"Saxo2","Saxo2",24,18,8,36,18,27
"Susd1","Susd1",94,112,97,425,280,350
"Pptc7","Pptc7",729,751,827,1903,1150,989
"Tctn1","Tctn1",141,126,100,73,67,72
"Capn8","Capn8",0,3,0,0,0,0
"Ripor1","Ripor1",2485,3285,2953,2735,1807,2076
"Dock10","Dock10",3011,2976,3154,8746,4698,5269
"Phrf1","Phrf1",3251,4401,3854,4753,3425,3777
"Mcl1","Mcl1",23442,26464,25277,25149,13124,12656
"Nfe2l1","Nfe2l1",6270,7158,7237,11596,8175,9425
"Rassf7","Rassf7",219,191,194,201,135,130
"Ensa","Ensa",9190,10646,9872,9048,5936,7457
"Med30","Med30",372,564,401,826,505,759
"Tm6sf1","Tm6sf1",300,399,349,511,362,413
"Polr3k","Polr3k",671,921,703,2147,1300,1469
"Degs1","Degs1",5471,5623,5538,9732,6778,7621
"Lrrc56","Lrrc56",25,59,36,10,25,14
"Ctss","Ctss",47825,58380,54651,41391,26511,31176
"Pold1","Pold1",1837,2851,1991,4080,3074,3518
"Ramac","Ramac",346,555,428,722,480,528
"Creb3l2","Creb3l2",264,287,170,290,212,204
"Rnh1","Rnh1",57378,68300,63072,36651,27357,31911
"Sycp2l","Sycp2l",0,0,0,4,4,2
"Ric1","Ric1",924,1073,1054,1302,806,997
"Herc1","Herc1",1735,1645,2275,2736,1509,1666
"Dgki","Dgki",246,225,233,558,342,466
"Arfrp1","Arfrp1",784,859,750,1262,857,983
"Trps1","Trps1",258,342,372,608,282,370
"Pak1ip1","Pak1ip1",2107,2627,2350,4990,3105,3605
"Rtel1","Rtel1",718,1063,871,1909,1448,1607
"Atp5j2","Atp5j2",3388,3941,3302,6680,5017,5630
"Hoxb4","Hoxb4",21,9,30,42,23,44
"Josd2","Josd2",767,886,853,903,749,823
"Mapkap1","Mapkap1",1749,2084,2048,2857,1940,2113
"Taf5l","Taf5l",1621,1905,1640,2168,1572,1665
"Gmeb2","Gmeb2",941,940,877,1036,820,829
"Golga4","Golga4",2831,3235,3452,3230,1683,1841
"Mindy1","Mindy1",14377,16986,16115,16546,10602,12845
"Atp5l","Atp5l",911,996,944,1973,1427,1545
"Pbx3","Pbx3",91,92,118,211,86,105
"Bud31","Bud31",1186,1277,1146,2912,1761,2099
"Pkhd1l1","Pkhd1l1",0,0,0,4,0,1
"Mboat1","Mboat1",725,823,752,2028,1234,1303
"Wdr26","Wdr26",2160,2733,2512,2618,1352,1447
"Nudcd1","Nudcd1",599,860,627,1571,842,1276
"Shank1","Shank1",6,2,0,0,0,0
"Mvb12b","Mvb12b",397,424,397,598,417,416
"Angptl6","Angptl6",153,174,130,187,108,175
"Ptk6","Ptk6",0,0,0,4,0,0
"Elovl3","Elovl3",44,50,19,133,139,116
"Ttll6","Ttll6",1,0,0,135,79,93
"Nup205","Nup205",6782,8758,7821,11770,8215,9227
"Abcf1","Abcf1",3952,5174,4648,6953,4681,5371
"Alpk3","Alpk3",26,26,26,0,9,5
"Ptpn3","Ptpn3",0,0,4,0,0,1
"Gabpb2","Gabpb2",529,506,543,1074,654,633
"Kpna7","Kpna7",2,0,1,6,1,1
"Kdm3b","Kdm3b",619,843,757,874,617,651
"Ascc3","Ascc3",1005,1337,1115,2032,1097,1568
"Vill","Vill",1923,2450,2222,2662,1859,2011
"Ephx1","Ephx1",7497,9724,8518,6223,3545,4677
"Sema6c","Sema6c",24,27,22,16,15,4
"Smurf1","Smurf1",1221,1275,1354,4914,3229,2936
"Stap2","Stap2",1,5,0,11,8,27
"X1700028J19Rik","1700028J19Rik",26,46,34,15,28,34
"Cnot4","Cnot4",892,1197,1045,1689,851,965
"Ost4","Ost4",599,718,562,963,771,859
"Sde2","Sde2",1968,2190,2356,7232,4043,5020
"Gngt2","Gngt2",992,1035,1150,3635,2302,2958
"Trmt112","Trmt112",2074,2479,2008,2895,1935,2310
"Ctnnal1","Ctnnal1",144,197,170,336,131,167
"Hace1","Hace1",554,822,758,1064,642,689
"Fam206a","Fam206a",682,683,673,1164,838,788
"Tmem214","Tmem214",2692,3428,3151,2573,2093,2390
"Ralgps1","Ralgps1",135,152,211,2028,1181,1521
"Agbl3","Agbl3",50,71,35,115,104,61
"Vars2","Vars2",1573,1746,1481,1475,1005,1091
"Gcnt1","Gcnt1",1846,2414,2119,1406,765,846
"Kif16b","Kif16b",956,1427,1254,1533,880,856
"Phb","Phb",3548,4856,3621,8066,5988,7137
"Ythdf1","Ythdf1",2478,2634,2660,4020,2447,2184
"Itpkb","Itpkb",665,779,708,846,606,698
"Baiap2l1","Baiap2l1",12,32,14,16,8,12
"Garnl3","Garnl3",11,38,28,23,24,13
"Pi4kb","Pi4kb",1136,1562,1406,1329,1131,1210
"Zcchc2","Zcchc2",163,167,197,627,308,309
"Bpgm","Bpgm",130,198,127,306,231,240
"Zfhx3","Zfhx3",376,500,577,696,385,464
"Rnf146","Rnf146",205,232,190,348,175,226
"Mrps34","Mrps34",305,467,367,476,373,512
"A230050P20Rik","A230050P20Rik",530,660,623,981,605,717
"Man2a2","Man2a2",4691,5564,5206,6932,4117,4457
"Ctu1","Ctu1",408,446,438,1166,921,938
"Irs2","Irs2",1405,1440,1384,622,394,350
"Zfp653","Zfp653",210,160,214,290,166,206
"Rpl12","Rpl12",5146,5524,4891,9589,6599,7416
"Pogz","Pogz",853,1173,1056,1154,776,763
"Kat7","Kat7",3698,4443,4234,4524,3166,3618
"Plcl2","Plcl2",1397,1409,1588,2593,1624,1625
"Dido1","Dido1",1229,1248,1388,1959,1238,1375
"Rccd1","Rccd1",83,81,77,183,76,86
"Tcfl5","Tcfl5",0,0,0,0,0,0
"Sccpdh","Sccpdh",103,124,109,408,246,309
"Prc1","Prc1",777,812,721,2243,1433,1576
"Cnst","Cnst",303,524,390,724,428,487
"Supt3","Supt3",860,926,969,1308,824,988
"Edc3","Edc3",1678,2173,1870,2680,1988,2101
"Slco4a1","Slco4a1",4622,5040,4202,13447,11128,12072
"Ube2l3","Ube2l3",5771,6834,6272,9012,5453,6743
"Pdk2","Pdk2",292,427,363,128,84,71
"Lmtk2","Lmtk2",2485,2754,2820,3596,2323,2686
"Rabggtb","Rabggtb",563,652,512,1394,891,1151
"Ppp1r9b","Ppp1r9b",800,1065,949,913,632,755
"Bloc1s5","Bloc1s5",482,589,523,682,494,596
"Cfap157","Cfap157",64,60,46,35,11,46
"Cables2","Cables2",809,1029,802,2071,1069,1074
"Txndc5","Txndc5",5381,6781,6002,9086,6630,7559
"Ube3c","Ube3c",1184,1383,1181,2861,1565,1665
"Rps21","Rps21",1853,1997,1664,2734,1898,2322
"Tlr4","Tlr4",1656,1695,1800,2043,981,1409
"Cpq","Cpq",0,0,0,0,0,0
"Siglecf","Siglecf",22,24,11,21,11,22
"Timm8b","Timm8b",929,1112,945,1929,1495,1669
"Mtg1","Mtg1",715,792,652,1183,895,902
"Arhgap18","Arhgap18",482,699,723,519,293,324
"Tasp1","Tasp1",234,233,223,677,385,427
"Adrm1","Adrm1",3671,4201,4154,6110,4851,5658
"Arpin","Arpin",346,425,449,664,370,441
"Usp6nl","Usp6nl",2076,2314,2418,2741,1501,1790
"Pigk","Pigk",1336,1515,1354,2095,1393,1487
"Foxred1","Foxred1",1275,1561,1410,2076,1380,1587
"Osbpl2","Osbpl2",2400,2778,2529,3279,2167,2667
"Eme1","Eme1",100,211,154,553,450,350
"Myo16","Myo16",3,0,10,13,15,6
"Ak5","Ak5",4,0,1,1,1,9
"Anpep","Anpep",11600,12700,12691,4414,3134,3481
"Echdc3","Echdc3",1003,1374,1072,1017,581,628
"Fam173b","Fam173b",366,388,289,505,404,375
"Psmd7","Psmd7",3373,3927,3550,8907,6490,7209
"Zzz3","Zzz3",860,933,1091,1593,1034,1096
"Mtg2","Mtg2",787,1070,795,1321,976,1084
"Zfp503","Zfp503",81,126,156,178,104,166
"Ss18l1","Ss18l1",205,363,275,479,192,247
"Rreb1","Rreb1",1358,1667,1424,1715,1122,1248
"L3mbtl3","L3mbtl3",159,142,199,117,93,129
"Rsad1","Rsad1",157,217,217,230,167,175
"Wdr93","Wdr93",61,51,51,63,24,79
"X44991","44991",530,767,694,990,628,706
"Nexn","Nexn",0,0,0,0,0,1
"Atp6v1g1","Atp6v1g1",16742,18763,18243,16828,9463,11340
"Lsm14b","Lsm14b",635,673,672,1496,873,760
"F13a1","F13a1",32478,43611,36482,72,16,30
"Nrn1","Nrn1",17,41,38,38,17,30
"Taf4","Taf4",41,44,42,75,64,46
"Prune2","Prune2",1,19,4,9,4,33
"Cdc123","Cdc123",2106,2625,2222,4903,2911,3413
"Zc3hc1","Zc3hc1",1642,1812,1960,2375,1757,1835
"Gipc2","Gipc2",4,24,2,72,39,41
"Whrn","Whrn",157,157,241,290,129,160
"Camk1d","Camk1d",1601,1859,1690,2057,1198,1436
"Sart1","Sart1",2782,3313,2956,3744,2741,2949
"Runx2","Runx2",133,215,196,120,76,104
"Stim2","Stim2",341,411,356,768,444,499
"Fam102a","Fam102a",1986,2293,2222,2215,1427,1754
"Akna","Akna",1228,1988,1700,2268,1648,1713
"Ube2h","Ube2h",2978,3458,3340,4027,2275,2452
"Cmc1","Cmc1",386,553,433,458,260,361
"Naif1","Naif1",398,592,525,751,510,594
"Akap7","Akap7",97,156,130,132,90,90
"Dap","Dap",3130,3498,3272,5071,3670,4046
"Polg","Polg",1984,2296,2166,2172,1688,1775
"Tbc1d19","Tbc1d19",275,396,406,475,252,346
"AW209491","AW209491",363,364,472,615,310,423
"Nubp2","Nubp2",2471,2776,2618,4898,3837,4427
"Fanci","Fanci",162,281,212,586,380,513
"Rbpj","Rbpj",2708,2958,3066,5390,3356,3599
"Nlrc4","Nlrc4",93,40,77,602,375,316
"X1110008P14Rik","1110008P14Rik",942,1022,892,5431,3927,5065
"Orm1","Orm1",20,26,14,447,286,390
"Adk","Adk",1154,1493,1281,2339,1467,1633
"Zdhhc1","Zdhhc1",331,409,343,363,310,294
"Atf7ip2","Atf7ip2",3,32,19,29,10,25
"Tbc1d25","Tbc1d25",700,842,909,773,564,590
