"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Pth1r",21.6252662727924,25.1685016818128,10.8598645273522,16.2220142147347,32.8159700676599,10.4692511917423
"Lrrfip2",1624.29777782307,1596.68974669421,1784.27574184396,2017.17220235397,1989.74165176911,1702.68094382063
"Mlh1",867.413458275339,874.857118459814,717.837045257978,988.837562132958,1035.89078846913,1033.60061765747
"Trib1",150.175460227725,153.024490225422,148.780144024725,71.235801551661,76.5705968245398,105.644262025763
"Pdcd6ip",8185.16328425192,8414.33348226366,8865.9934001303,7580.61777304211,7326.71225043954,7247.5770750107
"Fbxl2",331.587416182817,351.352283478107,389.869136531943,189.72703581581,184.863298047818,263.634780010238
"Myd88",1402.03809668604,1337.95754940517,1183.72523348139,1954.4000603926,2599.02482935867,2345.11226695028
"Wdr48",1923.4472945967,1896.69828674141,2025.36473435118,1886.69078367023,2128.66259172221,1974.88147480593
"Gorasp1",1287.90474691297,1425.54393525788,1128.33992439189,1656.76136480051,2073.96930827611,1843.53995985499
"Ttc21a",34.8407067728322,27.1819818163579,22.8057155074395,148.819347796044,113.762029567888,113.258262892485
"Csrnp1",986.352422775697,996.672666599788,1064.26672368051,497.945305895769,558.965356819141,587.229816845909
"Rpsa",23064.5478836149,24013.7708246513,22542.9067858776,17512.7223022549,20667.4979486122,20323.6718134968
"Slc25a38",539.430253137988,467.127391214446,452.856350790585,423.182979514818,520.680058406871,509.186307962012
"Nktr",661.973428683811,714.785447763484,572.314860591459,572.70763227672,436.452401899877,553.918563054002
"Ss18l2",222.259681137033,198.327793252685,200.907493756015,253.909787708891,229.711790473619,258.876029468537
"Pccb",165.793708091408,209.401933992683,196.563547945074,158.693617318057,112.668163898966,151.328267226093
"Vipr1",201.835818546062,258.732197289036,180.273751154046,16.9273191805927,38.2852984122699,44.7322550919898
"Lyzl4",111.730542409427,87.5863858527086,55.385309089496,33.8546383611854,52.5055521082559,52.3462559587115
"Amotl2",4.8056147272872,32.2156821527204,4.34394581094086,0.70530496585803,12.032522358142,20.9385023834846
"Cep63",312.364957273668,254.705237019946,358.375529402621,334.314553816706,402.542566163295,294.090783477125
"Trak1",2741.60320191735,2684.97575941579,2673.6986466341,2372.64590514641,2428.38178500683,2379.37527085052
"Abhd5",1130.52086459431,943.315443034345,1024.08522492931,1062.18927858219,1100.42886293553,994.578863215519
"Ryk",64.8757988183771,50.3370033636257,55.385309089496,115.670014400717,140.014805622016,106.596012134103
"Rab6b",108.126331363962,87.5863858527086,92.3088484824934,67.7092767223709,33.9098357365819,81.850509317258
"X1110059G10Rik",141.765634454972,161.078410763602,191.133615681398,117.785929298291,170.643044351832,225.56477567663
"Srprb",1364.79458254956,1436.61807599788,1302.09775682952,1694.14252799099,1816.91087607944,1929.1974696056
"Trf",443.317958592244,517.464394578072,457.200296601526,453.511093046713,577.561073190815,582.471066304208
"Topbp1",1251.86263645831,1233.25658240883,1394.40660531202,2040.44726622728,1936.14223399194,1771.20695162113
"Uba5",1096.8815615033,1008.75354740706,1122.90999212821,1321.03620105209,1513.91008578804,1374.32715644326
"Nphp3",56.4659730456246,57.3841838345332,97.7387807461694,122.017759093439,88.6031191826818,103.740761809083
"Dnajc13",3438.41733737399,3500.43521390653,3630.45271149383,4059.73538347882,3470.8357674895,3290.2001245321
"Acpp",13.2154405000398,31.2089420854479,21.7197290547043,116.375319366575,113.762029567888,99.933761375722
"Gnai2",24312.8063090277,24567.4778616511,23978.5808763936,12399.96660475,13412.9808323215,13839.398325375
"Mrpl3",1587.0542636866,1686.28961268146,1686.53696109779,2027.04647187598,1890.19987589721,1860.67146180511
"Nudt16",317.170572000955,312.089420854479,342.085732611593,192.548255679242,191.42649206135,212.240274159867
"Aste1",123.744579227645,162.085150830875,169.413886626694,172.799716635217,180.48783537213,177.977270259619
"Atp2c1",1846.55745896011,1601.72344703057,1814.68336252055,1363.35449900357,1244.81913123323,1047.87686928257
"Pik3r4",2464.07895141651,1823.20626183052,2246.90597070916,1557.31336461453,1715.18136886969,1755.97894988769
"Manf",915.469605548211,955.396323841615,913.314606750317,2009.41384772953,2317.90135244571,1974.88147480593
"Mapkapk3",4715.50945115056,4508.18202124631,4438.42663232883,2860.01163655431,3066.10546998836,2974.21908856315
"Cish",75.6884319547733,92.6200861890712,52.1273497312904,97.3320852884081,130.170014601718,75.1882585588766
"Hemk1",69.6814135456643,193.294092916323,146.608171119254,79.6994611419574,155.328924986924,93.2715106173405
"Rbm5",3150.08045373676,3010.15280114481,3135.24288904657,2532.04482743033,2553.08247126394,2198.54275026588
"Rbm6",1084.86752468508,1328.89688879972,1245.62646128729,1292.11869745191,1138.7141613478,1118.30637729975
"Mon1a",327.983205137351,443.972369667178,437.652540452292,294.817475728657,358.787939406415,386.410543986125
"Mst1r",234.273717955251,303.028760249026,248.690897676364,153.051177591192,90.7908505205258,130.389764842609
"Traip",330.386012500995,365.446644419922,365.977434571768,500.766525759201,639.911416319368,604.361318796033
