"","F-Value","FDR (BH)","LPS-Control","diff LPS-Control"
"Hnrnpk",0.00954630512989862,0.989572428847272,0.925348569196947,-0.110777374999998
"Ywhag",0.494896049607385,0.989572428847272,0.508117271370418,0.642369747500005
"Timm13",0.441749277837385,0.989572428847272,0.53097914413878,-0.942070004999998
"Rps7",0.139844364464946,0.989572428847272,0.721294353798593,0.472185612500006
"Ppp1ca",0.126065281151483,0.989572428847272,0.734694552516083,-0.324276447499997
"Psmc1",0.554965268685138,0.989572428847272,0.484442855984124,0.666379450000001
"Rps8",16.8876905808854,0.841307342148962,0.0062901483525156,-1.2712311775
"Ywhae",0.00243170775582186,0.989572428847272,0.962270934165398,-0.0513782524999726
"Rps23",0.0409300984701545,0.989572428847272,0.846358469132819,0.125654695000001
"Rps18;Gm10260",0.0163721770212546,0.989572428847272,0.902366427433192,0.0862574575000039
"Rps11",2.01993056638462,0.989572428847272,0.205073993096675,-0.637123582500003
"Rps13",0.0280439278366696,0.989572428847272,0.872507300025892,-0.168098924999995
"Snrpd2",0.209252887996997,0.989572428847272,0.663449876459442,0.447963712500005
"Arf6",0.0801220284934116,0.989572428847272,0.78664436590008,-0.359576459999996
"Rps4x;Rps4l",0.573408133303953,0.989572428847272,0.47758116244477,-0.551052094999996
"Rpl23a",0.0209400781624967,0.989572428847272,0.889680774383576,0.220674035000002
"Rps6",1.96463737107123,0.989572428847272,0.210570783549599,-0.751605034999997
"Mtpn",0.122533137023292,0.989572428847272,0.738263531187885,-0.345016002500003
"Hist1h4a",4.21679153843567,0.989572428847272,0.085827222681272,-0.724490164999992
"Ran;1700009N14Rik;Rasl2-9",5.36847317113946,0.989572428847272,0.0596939829415703,-0.963229179999999
"Rpl23",0.0114307473820146,0.989572428847272,0.918341934831327,-0.129753114999993
"Rps26",2.93965377791969,0.989572428847272,0.13725549243797,-1.69482708
"Gnb1",1.28124044184276,0.989572428847272,0.300869099262152,1.20301557
"Gnb2",1.62701647668505,0.989572428847272,0.24927313476487,0.822700502500005
"Rpl31",0.172276762826842,0.989572428847272,0.692529419042411,0.5543403625
"Rps3",0.275927876224832,0.989572428847272,0.618219923191314,-0.469930649999995
"Rpl32",0.093241631823592,0.989572428847272,0.770411949325575,-0.282484295000003
"Rpl8",1.36202268107143,0.989572428847272,0.287466584060552,-1.186237575
"Ybx1",0.0181340660762828,0.989572428847272,0.897282265768517,-0.0870089499999764
"Pfn1",0.134916770230857,0.989572428847272,0.725995200565423,-0.297164912499994
"Rps27a;Ubc;Ubb;Kxd1;Gm1821;Uba52;Gm8797",0.177256887380489,0.989572428847272,0.688405820014898,-0.354512695
"Rac1;Rac3",2.34629157980543,0.989572428847272,0.176464748859019,1.205571415
"Hspa8",1.38507025400884,0.989572428847272,0.283808354119889,-0.392131329999998
"Tpt1",1.25059925447446,0.989572428847272,0.306202815282297,1.1622715
"Hspd1",0.924987528675441,0.989572428847272,0.373309760221444,1.533849955
"Gnas",3.87890311335757,0.989572428847272,0.0964179435807684,1.5262317675
"Ywhaz",0.33579314899036,0.989572428847272,0.583354215031826,0.534657477499998
"Hmgb1",0.189885634897291,0.989572428847272,0.678252232492877,0.884399412500002
"Gng2",2.18734214645999,0.989572428847272,0.189633640818365,1.347157955
"Eif5a",0.0249899797712912,0.989572428847272,0.879578229931892,-0.141671654999996
"Rps17",0.745757621922651,0.989572428847272,0.420997698747686,1.007201195
"Rps10",0.012608600690326,0.989572428847272,0.914257516808855,0.112082242500001
"Gnb2l1",0.0310464146526644,0.989572428847272,0.865933590368872,-0.180491922499996
"Ywhaq",0.170627097180171,0.989572428847272,0.693911060899092,0.346567155000002
"Tubb4b;Tubb4a",0.847545527712909,0.989572428847272,0.392757898506087,-0.548466207499999
"Tuba1c",0.758040486879586,0.989572428847272,0.417411283352286,-0.430396080000001
"Ywhah",0.950927460377847,0.989572428847272,0.367143633166032,0.596515417500001
"Kpnb1",3.08234832373139,0.989572428847272,0.129671099877346,1.22073412
