"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Ppp6c",0.273257654841698,0.843539850392052,0.965697431152631,0.806874663199178,0.984492130125185,0.971562937387836,0.999459301785119,0.945887068634952,0.516328097500001,0.999417305000001,0.390809297499999,0.483089207500001,-0.125518800000002,-0.608608007500003
"Eif4a3;Gm8994",0.256904899276959,0.85498337589656,0.999177791856527,0.910749465595986,0.981588876108977,0.858749684540168,0.957138465708589,0.991434323153903,0.0593867325000019,-0.301568984999999,-0.170555589999999,-0.360955717500001,-0.229942322500001,0.131013395
"Ndufa4",1.1598434353075,0.365318200818064,0.6072252030383,0.958361785287688,0.916554209011492,0.342169389618672,0.926292088986418,0.674532552793542,0.858864067499999,-0.340188027499998,0.439461230000001,-1.199052095,-0.419402837499998,0.779649257499999
"Gng12",4.2388663952086,0.0293101720615778,0.945259286187444,0.970375977196592,0.102805384975709,0.999514769264281,0.0404151171607309,0.0487839099068295,0.675483467499994,0.541693209999995,-3.1339097025,-0.133790257499999,-3.80939317,-3.6756029125
"Ndufa9",0.791270407138463,0.521796849771159,0.983799480188882,0.689805620209008,0.999528578795431,0.485131049911271,0.965634987054795,0.750305048207852,0.1961557875,-0.6124436825,-0.0592713324999998,-0.808599470000001,-0.25542712,0.553172350000001
"Trmt1",1.36729912368004,0.299752256593012,0.610837727705452,0.871401354011488,0.998735678676628,0.23921785867912,0.697691579946449,0.801008121186281,-0.809664490000001,0.492354392500001,-0.0971677299999989,1.3020188825,0.712496760000002,-0.5895221225
"Capns1",2.05275372984756,0.160192985741649,0.138981736343368,0.310162882912205,0.625608063754151,0.948559988348745,0.675171828694087,0.92988708955033,0.890321255000003,0.688009025000001,0.461243395000002,-0.202312230000002,-0.429077860000001,-0.226765629999999
"Thop1",2.48226344898747,0.110785647452345,0.952046296825338,0.986667557842443,0.223754282098785,0.827315684850121,0.0978726936888912,0.356760719729018,0.187427997500002,-0.119367125,-0.735761642499998,-0.306795122500002,-0.92318964,-0.616394517499998
"Irg1",17.3816314332876,0.000115180390650489,0.996758094673337,0.000258412258622776,0.465005625730088,0.000190475701723147,0.360784511555879,0.00283649837127242,-0.277911665249999,8.28860592725,2.03411006725,8.5665175925,2.3120217325,-6.25449586
"Cebpz",0.354596431552243,0.786736622419629,0.856798401306075,0.970290988965958,0.999218157499866,0.984341576785186,0.79528106217114,0.939864723369679,-0.7631120675,-0.4241337775,0.122769595000001,0.33897829,0.885881662500001,0.546903372500001
"Prmt5",0.699260210748818,0.570308249083865,0.620910912501369,0.92859898127905,0.999999164902306,0.922028657080292,0.613329024254199,0.924428114714398,-0.379386185000001,-0.1865639675,0.00400686500000091,0.192822217500002,0.383393050000002,0.190570832500001
"Acy1",3.1363168037142,0.0654159116029489,0.407876163725103,0.127350243114012,0.998559109956633,0.853278198140737,0.333302606578578,0.0985432101082047,-0.498973844999998,-0.746336459999998,0.0483751300000037,-0.247362615,0.547348975000002,0.794711590000002
"Scly",3.908258849829,0.036905223927531,0.999999478537576,0.503007113715156,0.0533239175459054,0.509222252585406,0.0543527982874892,0.468968448581803,-0.00623964999999771,-0.806444164999998,-1.647611855,-0.800204515000001,-1.641372205,-0.841167689999999
"Ubxn4",1.217087332093,0.345808307299905,0.993966199896011,0.479538480602332,0.492078912447941,0.624524970013038,0.637805901721281,0.999995508719622,0.101288795000002,0.589978219999999,0.580889225,0.488689424999997,0.479600429999998,-0.00908899499999904
"Acadl",2.99113363146241,0.0732754899298057,0.272231884053876,0.877083259732239,0.93374575674564,0.0845473349385401,0.10970397481607,0.998550089375434,0.906593797500001,-0.352470877499997,-0.278317452499998,-1.259064675,-1.18491125,0.0741534249999987
"Pole3",0.409635002030621,0.749001598442278,0.949541815248746,0.975632611218842,0.971739305321129,0.783135261281364,0.771481094080057,0.999995944087132,-0.429090025000001,0.330891367499998,0.348628519999998,0.759981392499999,0.777718544999999,0.0177371525000005
"Cmpk1",0.563683366054383,0.649223500207428,0.998837410238881,0.643798622973918,0.958732561447958,0.727330075735216,0.984649602887363,0.896732455965421,-0.136803149999999,-1.11937499,-0.465214727500001,-0.98257184,-0.328411577500002,0.654160262499998
"Stt3b",1.22166563533246,0.344296833132392,0.852745742264037,0.567534427907681,0.97472545470739,0.952463031382814,0.628701632872581,0.347861638990357,0.495003459999994,0.816893814999995,-0.256942037500005,0.321890355000001,-0.7519454975,-1.0738358525
"Pck2",4.35072363430007,0.027162250092451,0.999913688426928,0.0594794261720011,0.993096051287921,0.0660160609458952,0.987374340390579,0.0375824683656323,-0.0172653225000019,-0.811870100000004,0.075165747499998,-0.794604777500002,0.0924310699999999,0.887035847500002
"Lrp1",6.1827957444412,0.00876975694493952,0.932941004624565,0.730049160197259,0.00892746171893621,0.968475197878103,0.0250982151127486,0.0548542047791043,0.220364092500002,0.387997152500002,1.475281715,0.16763306,1.2549176225,1.0872845625
"Ckap5",2.83178749673335,0.0831796616075373,0.235289731822116,0.894832133981802,0.998527887127426,0.0768467821415569,0.185622792674664,0.946614327471394,-0.953813555000005,0.331408739999993,0.0744943624999941,1.285222295,1.0283079175,-0.256914377499999
"Vcpip1",0.75481828604664,0.540530995970526,0.873796252138225,0.989662208703178,0.891513867703349,0.968779944653962,0.487966328749978,0.74458462854388,0.476264479999998,0.192870617499997,-0.448760987500004,-0.283393862500001,-0.925025467500001,-0.641631605000001
"Polr2a",1.33016645628378,0.31048300819763,0.780415683112265,0.330679030904779,0.998398202878528,0.840419690565486,0.859535711067643,0.407760752303183,-0.440557952500001,-0.825276375000001,-0.0753288250000015,-0.384718422500001,0.365229127499999,0.74994755
"Lrrc40",0.764695384361242,0.535392357621281,0.967256936871617,0.480210932207721,0.886917589674382,0.741020856841557,0.993113326553118,0.872734613527268,-0.280344964999999,-0.908396962499998,-0.443615437499998,-0.628051997499998,-0.163270472499999,0.464781524999999
"Pdia4",2.22076478524305,0.138366515356338,0.506738666264691,0.71099697832863,0.927839197699047,0.110028552543603,0.843478505353101,0.374194500381292,0.585916994999998,-0.440639019999999,0.249092579999999,-1.026556015,-0.336824414999999,0.689731599999998
"Slc4a2",3.1815600983591,0.0631681019755939,0.21525802070269,0.992160669495958,0.784690046787607,0.320082370903175,0.0460653238499951,0.628492660402618,-1.72296262,-0.230053902499998,0.779533625000003,1.4929087175,2.502496245,1.0095875275
"Dab2",41.0311345862673,1.38463071831269e-06,0.0194145914910683,4.97996114087185e-05,0.998449769548797,8.19939089069521e-07,0.0146600301694175,6.19569587292368e-05,0.982617857499999,-2.0386209475,-0.0448546374999985,-3.021238805,-1.027472495,1.99376631
