"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Map3k11","Map3k11",2582,3536,2740,2570,2343,3110
"Akt2","Akt2",1809,2542,2150,2168,2061,2333
"Dnaja3","Dnaja3",3878,4519,4196,3584,3010,3884
"Hmox2","Hmox2",1478,1834,1540,1546,1478,1896
"Cdip1","Cdip1",3459,3917,3685,3986,3010,3834
"Map3k20","Map3k20",2756,3496,3149,3136,2112,3558
"Cwc15","Cwc15",1169,1319,1198,1356,980,1578
"Col5a3","Col5a3",0,0,0,0,0,0
"Dnmt1","Dnmt1",8208,11106,9215,8792,7561,10845
"Ppan","Ppan",1887,2408,1877,1727,1224,1912
"Angptl2","Angptl2",9037,11003,10951,20759,17015,19906
"Cacna1e","Cacna1e",0,0,0,4,0,0
"Cacna1b","Cacna1b",20,12,55,31,23,30
"Trmt10a","Trmt10a",88,188,117,128,124,184
"Etv1","Etv1",602,668,698,975,713,1070
"Kifc2","Kifc2",19,25,4,33,4,8
"Psap","Psap",153593,172153,171630,144441,116930,143252
"Ikbkg","Ikbkg",2593,2783,2664,2915,2145,3224
"Wars2","Wars2",503,611,631,715,505,640
"Phb2","Phb2",4078,5191,4339,4698,3910,5092
"Ptpn6","Ptpn6",7805,9737,8762,13242,10998,14666
"Eno2","Eno2",1176,1317,1318,987,692,876
"Emg1","Emg1",1496,2006,1814,1987,1706,2115
"Lpcat3","Lpcat3",2686,2963,2837,5225,4273,6417
"Atp6v1f","Atp6v1f",10390,11481,10527,10537,9462,11493
"Clcn5","Clcn5",1515,1390,1734,1886,1313,2064
"Clcn3","Clcn3",1742,1850,1907,2240,1382,2450
"Pde1c","Pde1c",0,0,3,0,0,0
"Utp20","Utp20",1320,1553,1586,1435,1052,1682
"Spic","Spic",0,0,0,0,0,0
"Cul3","Cul3",189,259,257,297,212,254
"Large1","Large1",1529,1552,1610,1278,925,1012
"Ddx56","Ddx56",3839,4581,4130,3533,2841,3471
"Tmed4","Tmed4",4277,5108,5051,3179,2673,2954
"Col26a1","Col26a1",1,2,0,0,0,0
"Bid","Bid",2036,2702,2431,1954,1619,2135
"Ralb","Ralb",2564,3263,2888,3792,3108,4709
"Ppp1cc","Ppp1cc",3637,4189,3841,4152,3469,5306
"Dnajb11","Dnajb11",2653,3060,2868,3744,2774,4526
"Tbccd1","Tbccd1",638,657,726,981,761,1364
"Clec11a","Clec11a",95,85,57,100,82,99
"Zfp324","Zfp324",166,282,238,267,208,281
"Gab2","Gab2",3470,3557,3855,3972,2918,3797
"Coro1c","Coro1c",11255,13618,12573,11646,9389,12714
"Tax1bp1","Tax1bp1",9213,10421,10428,6501,4472,7704
"Ctse","Ctse",34,42,38,53,38,72
"Mettl17","Mettl17",425,532,529,317,314,433
"Arhgef40","Arhgef40",0,3,0,20,2,6
"Pnpla6","Pnpla6",882,1240,1177,1120,895,1117
"Mcoln1","Mcoln1",5038,5725,5756,6620,5795,6000
"Arhgef18","Arhgef18",1499,1917,1778,1501,1349,1738
"Pkn2","Pkn2",764,1025,1087,1062,734,1464
"Cd33","Cd33",4539,5196,5187,6658,5200,7428
"Etfb","Etfb",208,259,248,187,168,261
"Stxbp2","Stxbp2",13530,15546,14597,14431,12605,14345
"Sgce","Sgce",510,544,537,547,466,513
"Wwox","Wwox",776,921,837,978,748,888
"Slbp","Slbp",759,921,848,992,833,1377
"Arid3b","Arid3b",117,122,191,139,74,135
"Cnn2","Cnn2",2,7,6,0,0,9
"Polr2e","Polr2e",2686,3166,2523,3107,2874,3319
"Abca13","Abca13",0,2,0,0,0,1
"Myo9b","Myo9b",7906,9151,8849,10002,8713,10818
"Hdac9","Hdac9",1,1,0,0,0,2
"Ly9","Ly9",1206,1210,1178,720,700,871
"Cd244a","Cd244a",107,97,188,167,92,285
"Adgre1","Adgre1",17323,20821,18829,52260,40275,54970
"Mtfp1","Mtfp1",374,442,460,456,410,480
"Rab23","Rab23",144,182,106,187,157,219
"Rab11a","Rab11a",2392,2824,2841,3228,2770,3685
"Eif2b2","Eif2b2",2110,2562,2372,2020,1757,2066
"Dlst","Dlst",4177,5333,4708,4060,3195,4632
"Pgf","Pgf",0,5,11,3,7,3
"Ulk2","Ulk2",371,557,532,748,371,517
"Ccl24","Ccl24",27,21,26,27,4,6
"Dgkq","Dgkq",381,377,416,379,383,458
"Grap","Grap",0,0,0,7,0,1
"Chmp2b","Chmp2b",1275,1571,1425,1740,1327,2101
"Plod3","Plod3",3610,4160,3773,5445,4646,5647
"Ap1s1","Ap1s1",5903,7763,6360,6442,5365,7822
"Srpk1","Srpk1",5084,6039,5832,4028,3065,3645
"Pax3","Pax3",103,83,107,182,136,207
"Lbr","Lbr",311,456,389,301,175,468
"Prcc","Prcc",636,852,609,756,620,719
"Rrnad1","Rrnad1",272,414,384,335,322,411
"Hdgf","Hdgf",6266,7206,6357,6947,2990,4020
"Thop1","Thop1",2093,2902,2434,2053,1666,2383
"Apba3","Apba3",1256,1555,1339,1185,1107,1187
"Pias4","Pias4",1696,2070,1797,1898,1458,1772
"Map2k1","Map2k1",2638,2886,2678,3220,2435,3656
"Sgta","Sgta",3281,3967,3716,3818,3239,3794
"Tmem242","Tmem242",895,1003,915,874,771,1123
"Dtx2","Dtx2",392,607,484,352,293,348
"Rasa4","Rasa4",938,1264,1146,1445,1280,1555
"Hnrnpa2b1","Hnrnpa2b1",7288,9699,7886,10621,7793,15118
"Ccdc130","Ccdc130",968,1015,1043,846,661,679
"Mri1","Mri1",5888,7310,6488,5474,4982,4791
"Prkacb","Prkacb",2025,2598,2533,3284,2424,4049
"Sgsh","Sgsh",397,483,488,808,650,717
"Chd5","Chd5",5,1,6,27,12,2
"Cstb","Cstb",14190,15913,13768,12723,11147,13838
"Sh2b2","Sh2b2",2301,2985,2656,2824,2413,2513
"Pex5","Pex5",2047,2950,2536,2910,2352,3032
"Jkamp","Jkamp",546,594,586,608,539,769
"Cd44","Cd44",5524,5556,6173,4179,3153,4368
"Slc1a2","Slc1a2",8,1,12,0,0,1
"Eif2ak4","Eif2ak4",3696,4413,4030,5627,4482,6460
"Wdr1","Wdr1",10230,11603,11214,9986,7988,10800
"Slc2a9","Slc2a9",385,371,396,628,554,637
"Ndrg1","Ndrg1",10625,14212,12444,5742,3751,5081
"X4930550C14Rik","4930550C14Rik",4,19,21,35,43,27
"Man2b1","Man2b1",16695,19484,18716,30068,22876,31091
"Wdr83","Wdr83",740,774,762,842,686,762
"Prdx2","Prdx2",6968,8573,6789,6756,5912,8130
"Polr2a","Polr2a",4829,5468,5733,4043,3081,3892
"Senp3","Senp3",2396,2617,2371,2107,1834,2516
"Plekha8","Plekha8",1242,1423,1335,1112,813,1249
"Spc25","Spc25",364,627,337,666,562,1180
"Dnah2","Dnah2",0,0,0,0,0,0
"Ufd1","Ufd1",618,858,848,916,670,1177
"Zfp287","Zfp287",153,200,173,208,140,179
"Prlr","Prlr",1,0,1,0,0,0
"Letm1","Letm1",2282,2752,2335,2275,1715,2374
"Ubqln1","Ubqln1",6689,8068,7708,9919,7249,9784
"Fgfr4","Fgfr4",0,0,0,0,0,0
"Txn2","Txn2",3366,4393,3729,3229,2927,3965
"Slc1a3","Slc1a3",0,1,0,0,0,0
"Crbn","Crbn",631,908,788,795,721,1090
"Msh6","Msh6",3729,4466,3775,4421,3394,6307
"Fbxo11","Fbxo11",115,184,174,313,203,225
"Mlxipl","Mlxipl",0,0,0,12,6,7
"Tbl2","Tbl2",826,932,844,1095,751,1244
"Bud23","Bud23",1257,1555,1333,1438,1246,1706
"Mcm5","Mcm5",2762,3953,2832,2836,2711,4735
"Hmox1","Hmox1",19475,25008,21631,16847,12835,19044
"Mprip","Mprip",902,1055,920,1595,792,1013
"Cic","Cic",996,1162,1115,1249,1020,1308
"Il27ra","Il27ra",2,5,1,6,9,8
"Prkaca","Prkaca",3256,4059,3573,4968,2286,2140
"Asf1b","Asf1b",1252,1840,1529,1909,1683,2926
"Ddx39","Ddx39",4324,6069,4739,4022,3475,5732
"Dnajb1","Dnajb1",736,1155,977,1174,963,1471
"Usp40","Usp40",972,872,1079,1322,1068,1331
"Kbtbd4","Kbtbd4",475,553,533,645,476,785
"Celf1","Celf1",3264,3727,3933,4751,3605,5879
"Ndufs3","Ndufs3",3666,4563,4056,3940,3518,4117
"Por","Por",9901,12132,11503,4823,4127,4958
"Igf1r","Igf1r",1062,1011,1095,1300,875,1204
"Insr","Insr",568,545,548,486,374,539
"Trim28","Trim28",3520,4913,4006,4577,3394,4007
"Ube2m","Ube2m",2235,2601,2240,2075,893,934
"Adcy9","Adcy9",262,326,306,247,230,318
"Mef2c","Mef2c",921,1336,1073,2649,1479,4151
"Ctr9","Ctr9",2301,2480,2435,3187,2518,3707
"Eif4g2","Eif4g2",20760,24495,23199,26444,19221,34391
"Pcyt1a","Pcyt1a",3766,4085,4395,4760,3378,4747
"Zfp592","Zfp592",733,879,1004,761,664,726
"Psmd4","Psmd4",7905,9867,8934,7951,6895,8465
"Tmod4","Tmod4",1,2,11,13,5,9
"Snx6","Snx6",2371,2820,2321,3044,2023,3179
"Mthfd2","Mthfd2",2839,3120,3375,1415,1433,1097
"Kit","Kit",0,0,0,0,0,0
"Tomm40l","Tomm40l",416,479,421,328,292,305
"Apoa2","Apoa2",19,26,20,46,16,30
"Pan2","Pan2",789,938,921,1041,804,1169
"Cs","Cs",8646,10701,9546,8979,7704,9970
"Ampd3","Ampd3",2796,2759,2996,861,581,925
"Bcas2","Bcas2",3532,4503,3952,4597,3456,5550
"Ctcf","Ctcf",604,780,657,1024,645,1043
"Pard6a","Pard6a",340,501,365,297,266,308
"Tfap4","Tfap4",21,32,43,39,31,36
"Ranbp1","Ranbp1",766,942,815,854,725,1203
"Rfx5","Rfx5",271,297,348,365,372,357
"Psmb4","Psmb4",6815,7876,6897,7184,6119,7831
"Mmp8","Mmp8",2,22,7,20,17,15
"Slc30a4","Slc30a4",994,1008,1005,981,679,1242
"Sqor","Sqor",3352,3829,3721,2527,2211,2865
"Bloc1s6","Bloc1s6",1855,1902,1837,2289,1564,2164
"Metap1","Metap1",1275,1504,1462,1397,977,1715
"Gpr108","Gpr108",3827,4741,4607,4187,3718,4428
"Tnfsf14","Tnfsf14",91,96,120,45,67,52
"Rsl1d1","Rsl1d1",2365,3187,2984,2922,2266,3994
"Apc","Apc",515,406,657,699,508,1034
"Reep5","Reep5",2445,2790,2635,2748,2437,3256
"Ergic3","Ergic3",8777,11097,9777,14180,12569,13706
"Uqcc1","Uqcc1",2921,3341,2965,3025,2624,3339
"Ncoa2","Ncoa2",780,1159,961,1368,1026,1600
"Nr2c2","Nr2c2",406,389,352,639,222,304
"Nr2c1","Nr2c1",348,579,443,547,385,541
"Smpd4","Smpd4",693,906,758,1009,703,1111
"Pex1","Pex1",839,921,844,960,766,974
"Kctd20","Kctd20",2939,3705,3207,3159,2840,3669
"Ctns","Ctns",2230,2447,2626,2875,2253,2854
"Shpk","Shpk",231,249,305,268,206,237
"Ephb3","Ephb3",2349,2509,2553,3697,2672,3226
"Tuft1","Tuft1",784,1001,930,964,778,857
"Rcn1","Rcn1",527,595,588,478,308,485
"Dnase1","Dnase1",26,26,16,42,16,58
"Trap1","Trap1",6273,8072,6920,6539,6375,7348
"Naa60","Naa60",721,858,845,1292,1137,1469
"X1700037C18Rik","1700037C18Rik",77,48,88,97,58,70
"Ankrd13d","Ankrd13d",292,449,425,447,303,489
"Tpr","Tpr",2157,2609,2378,2450,1955,3737
"Odr4","Odr4",705,887,814,725,612,1180
"Prg4","Prg4",0,23,5,1,1,0
"Dhx34","Dhx34",1375,1560,1682,1300,1106,1235
"Kptn","Kptn",466,600,529,627,485,571
"Napa","Napa",10934,13316,11490,10314,8938,10996
"Sra1","Sra1",2134,2101,2240,2258,1924,2438
"Atp5g1","Atp5g1",4108,5110,4139,4510,3918,5150
"Snf8","Snf8",1500,1648,1526,1515,1248,1655
"Tbcb","Tbcb",1638,2071,1735,1609,1565,1855
"Inpp5k","Inpp5k",1388,1569,1358,1618,1356,1381
"Crkl","Crkl",1210,1119,1375,1741,1278,1919
"Clint1","Clint1",3691,4598,4289,5861,4140,5900
"Prss16","Prss16",18,34,48,103,52,124
"Cdkal1","Cdkal1",392,518,372,487,384,522
"X5430419D17Rik","5430419D17Rik",0,0,0,1,0,0
"Htra1","Htra1",401,488,556,674,503,681
"Zbtb17","Zbtb17",1000,1360,1354,1156,878,1002
"Fblim1","Fblim1",7777,8787,8860,10213,8297,10052
"Hspb7","Hspb7",427,533,632,3435,3300,3386
"Ccdc159","Ccdc159",160,202,161,214,195,227
"Mob1b","Mob1b",98,156,114,192,107,203
"Atp6v1b2","Atp6v1b2",51162,57104,54227,43604,36400,46251
"Eps15l1","Eps15l1",1441,1743,1459,1581,1212,1528
"Tep1","Tep1",2396,2793,2642,2812,2065,2965
"Ttc5","Ttc5",1478,1696,1316,1585,1337,1774
"Osgep","Osgep",1207,1515,1409,2097,1783,2125
"Aamp","Aamp",7055,9147,7882,8052,6970,8779
"Tmbim1","Tmbim1",4562,5368,5037,6037,5254,6178
"Arpc2","Arpc2",14924,17674,16547,16623,13198,19481
"Kmt2b","Kmt2b",342,470,365,374,286,280
"Zbtb32","Zbtb32",93,99,101,80,58,166
"Tmem147","Tmem147",2287,2639,2456,2188,2080,2486
"Rps9","Rps9",12259,14603,12690,12794,10594,13190
"Tfpt","Tfpt",377,400,394,357,337,345
"Susd2","Susd2",1,0,3,2,0,5
"Ggt5","Ggt5",1,0,4,4,8,25
"Cbfa2t3","Cbfa2t3",0,0,0,0,0,0
"Fbln1","Fbln1",351,432,399,688,432,693
"Pgrmc1","Pgrmc1",1365,1707,1770,1816,1438,2288
"Gcat","Gcat",139,148,118,131,129,145
"Elovl1","Elovl1",4156,4955,4559,4301,3963,4626
"Med8","Med8",1076,1248,1092,991,865,1076
"Hyi","Hyi",482,540,483,402,433,308
"Cdc20","Cdc20",1616,2517,1859,1902,1624,2754
"Adamts4","Adamts4",30,34,23,47,42,22
"Nectin4","Nectin4",64,89,78,145,129,141
"Pfdn2","Pfdn2",1013,1222,920,985,932,1166
"Rnf114","Rnf114",4116,5067,4653,4072,3728,4333
"C330007P06Rik","C330007P06Rik",1421,1622,1537,2480,1913,3207
"Neurl1a","Neurl1a",101,100,50,64,21,38
"Srm","Srm",3521,4573,3765,2847,2572,3027
"Epha2","Epha2",5,0,15,71,73,139
"Rbm14","Rbm14",1170,1443,1271,1442,1286,1772
"Actn3","Actn3",5,16,17,2,11,17
"A530013C23Rik","A530013C23Rik",28,15,8,9,18,9
"Zdhhc24","Zdhhc24",821,963,936,854,806,941
"Bbs1","Bbs1",514,667,540,781,505,687
"Ndor1","Ndor1",389,432,422,398,352,438
"Nsmf","Nsmf",111,177,133,142,118,200
"Pdk1","Pdk1",2902,4057,3274,5985,4057,6561
"Ptbp1","Ptbp1",4525,6363,5448,5553,4919,6457
"Mvd","Mvd",1374,1872,1335,2343,1882,2836
"Cyba","Cyba",45692,53821,51300,53632,49137,46368
"Tmem110","Tmem110",353,557,504,549,447,683
"Sfmbt1","Sfmbt1",726,687,766,953,613,1147
"Rundc3a","Rundc3a",10,39,18,14,16,20
"Slc4a3","Slc4a3",36,26,3,12,22,30
"Cdt1","Cdt1",2080,2857,2367,2326,2017,2778
"Aprt","Aprt",8898,10576,9041,9565,8355,10053
"Gtf2h1","Gtf2h1",1653,2094,1948,2092,1564,2609
"Hfe","Hfe",1216,1507,1358,2040,1715,2000
"Slc5a6","Slc5a6",365,526,440,404,353,573
"Qrich1","Qrich1",3154,3457,3532,4065,3097,4653
"Usp19","Usp19",8283,10403,9810,9060,7184,9654
"Pola1","Pola1",453,565,513,663,509,1200
"Cdc42","Cdc42",11030,13489,12555,15224,11631,18056
"Pknox1","Pknox1",1042,1066,1110,1027,858,1329
"Gmnn","Gmnn",247,326,210,296,255,531
"Acot13","Acot13",787,976,812,852,815,1142
"Zfp184","Zfp184",48,23,17,29,50,74
"Cdk4","Cdk4",10149,12844,10802,9969,8887,10805
"B4galnt1","B4galnt1",4754,5806,5456,4083,3454,4669
"Mettl1","Mettl1",301,366,353,304,247,302
"Tspan31","Tspan31",3519,3970,3617,3240,2706,3442
"Kif5b","Kif5b",765,1197,1078,1353,1070,1648
"Saal1","Saal1",601,661,622,629,653,761
"Tph2","Tph2",21,23,24,44,12,55
"Cnp","Cnp",965,1345,1127,1575,1302,1704
"Ttc25","Ttc25",41,46,25,58,44,41
"Sulf2","Sulf2",6820,8706,7593,6011,4122,4752
"Sod2","Sod2",1451,1805,1438,1619,1451,1875
"Tmco6","Tmco6",282,422,277,207,205,266
"Stambp","Stambp",932,1091,1091,1327,944,1369
"Ezh1","Ezh1",1900,2238,2265,1933,1585,2187
"Hap1","Hap1",166,331,242,466,306,553
"Ctnnb1","Ctnnb1",26633,31921,31843,57163,43970,55693
"Eif1b","Eif1b",747,951,835,943,759,1105
"Psmd2","Psmd2",21878,25588,23921,24214,19899,25260
"Syngr3","Syngr3",59,70,36,64,38,66
"Vars","Vars",13033,17429,15321,10937,9741,12761
"Hspa1l","Hspa1l",93,89,87,29,28,59
"Msh5","Msh5",52,22,37,47,41,60
"Abhd16a","Abhd16a",2434,3231,2671,2452,2354,2652
"Neu1","Neu1",13062,16166,14429,15631,13519,15478
"Clic1","Clic1",11846,14310,12778,13017,10819,14668
"Lsm2","Lsm2",640,1006,844,941,814,1088
"Pole","Pole",576,777,599,661,610,888
"Stx1a","Stx1a",74,182,106,46,70,50
"Zfp775","Zfp775",310,267,287,228,155,309
"Mrpl49","Mrpl49",936,1076,858,1075,884,1187
"Dennd2c","Dennd2c",594,694,700,1062,738,1400
"Mark3","Mark3",1873,2242,1916,2408,820,939
"Gatad1","Gatad1",286,394,276,374,283,372
"M6pr","M6pr",9108,10828,9901,12628,9644,13832
"Lrrc8a","Lrrc8a",94,112,114,135,97,84
"Ppp2r1a","Ppp2r1a",14893,17086,15330,15099,12491,16082
"Fance","Fance",570,684,612,778,765,783
"Tinf2","Tinf2",622,750,742,577,588,757
"Hapln4","Hapln4",889,954,961,1156,807,1099
"Dus3l","Dus3l",1039,1297,998,879,886,1029
"Gtpbp3","Gtpbp3",543,721,596,551,453,681
"Tgfbr1","Tgfbr1",901,1110,1140,2356,1728,3227
"Homer1","Homer1",155,259,167,231,128,376
"Rad51c","Rad51c",50,92,88,82,78,89
"Arpp19","Arpp19",1140,1283,1386,1814,1240,2213
"Bcl2l1","Bcl2l1",3718,4066,4006,3064,2523,2965
"Khsrp","Khsrp",4205,5522,4935,5179,3267,3738
"Ccdc124","Ccdc124",1610,2067,1726,1820,1326,1841
"Cct4","Cct4",4764,5547,5218,5864,4291,6745
"X0610009B22Rik","0610009B22Rik",514,644,526,584,460,737
"Cpt1c","Cpt1c",24,34,19,70,47,77
"Zfp655","Zfp655",2784,3095,3214,3119,2408,3412
"Rhoa","Rhoa",5726,6485,5987,7726,5941,7859
"Zmiz1","Zmiz1",5428,6213,6795,8704,6722,8388
"Ankrd26","Ankrd26",186,190,171,201,126,266
"Aldh16a1","Aldh16a1",2321,2736,2296,2756,2343,3276
"Hnrnpa0","Hnrnpa0",87,118,123,117,102,134
"Prrg2","Prrg2",197,261,234,155,178,165
"Hnrnph1","Hnrnph1",1020,1202,1031,868,766,1454
"Ift43","Ift43",479,553,446,430,425,484
"Id3","Id3",44,60,44,930,731,892
"Arid1a","Arid1a",1391,1536,1449,1574,1020,1482
"Ctsd","Ctsd",146422,164738,161347,338995,291236,320161
"Rplp1","Rplp1",6185,6516,5750,5906,5273,6113
"Abhd8","Abhd8",967,1116,1173,932,816,1041
"Ift22","Ift22",1488,1916,1712,1977,1687,2104
"Mid1ip1","Mid1ip1",1505,1764,1833,1768,1494,1947
"Ap2s1","Ap2s1",3038,3562,3212,3703,3253,4108
"Fgfrl1","Fgfrl1",44,70,43,38,45,9
"X4930432K21Rik","4930432K21Rik",339,357,336,420,302,352
"Emc10","Emc10",2057,2589,2345,2517,2070,2566
"Clstn3","Clstn3",20,29,41,22,16,9
"Fbxw9","Fbxw9",797,856,751,882,740,730
"Fnbp4","Fnbp4",694,925,856,1153,814,1130
"Cers4","Cers4",2,1,1,1,0,4
"Scrn3","Scrn3",648,778,764,904,567,1058
"Phax","Phax",826,1060,920,1418,927,1362
"Tle1","Tle1",428,598,571,765,521,992
"Relt","Relt",346,389,353,237,187,208
"Snrpb2","Snrpb2",579,707,451,688,540,793
"Ubc","Ubc",10455,11805,11577,9715,7706,9863
"Prpf31","Prpf31",2484,3348,2728,2635,2189,3054
"Sertad1","Sertad1",384,471,394,368,231,324
"Carhsp1","Carhsp1",782,763,758,519,477,584
"Elk3","Elk3",406,471,414,1185,755,1247
"Herpud2","Herpud2",850,872,989,1095,798,936
"Rdh13","Rdh13",886,843,792,481,516,570
"Nutf2","Nutf2",1144,1645,1478,1602,1404,1923
"Arpc5","Arpc5",8017,9837,9345,9020,6766,11782
"Elavl2","Elavl2",4,4,0,0,5,3
"Pou2f2","Pou2f2",41,36,47,124,85,148
"Mgst1","Mgst1",3378,4472,3650,4741,3836,5489
"Nfib","Nfib",0,0,1,0,0,2
"Ubqln4","Ubqln4",3189,3403,3095,2365,2016,2907
"Rps18","Rps18",24100,26692,24174,27483,23369,25909
"Rpl10","Rpl10",18905,22650,20061,19651,17375,20267
"Rps15a","Rps15a",4203,4441,4208,4047,3476,4270
"Ncaph2","Ncaph2",4736,6168,4982,5891,5417,6635
"Hipk1","Hipk1",2350,2725,2881,4301,2637,3900
"Gprc5b","Gprc5b",385,416,443,149,119,137
"Man1a2","Man1a2",1614,1928,1780,2390,1599,3103
"Acyp1","Acyp1",165,168,134,158,185,210
"Hdac5","Hdac5",4016,5135,4438,5408,4791,5579
"Rala","Rala",491,545,543,488,372,623
"Vdac3","Vdac3",4547,5206,4955,3724,3246,4369
"Vps72","Vps72",2540,2788,2705,2457,2471,2687
"Gabpa","Gabpa",572,740,725,790,730,1278
"Dynll1","Dynll1",3358,3773,3356,3732,3404,4431
"Pdcl","Pdcl",1054,1407,1272,1646,1254,2402
"Tmem184b","Tmem184b",3856,4697,4321,4284,3248,4209
"Nf2","Nf2",2346,3113,2711,2408,1834,2901
"Zmat5","Zmat5",214,261,200,256,228,239
"Ewsr1","Ewsr1",7798,9687,8693,8961,7957,10512
"Ap1b1","Ap1b1",6462,8018,7329,8575,7038,8179
"Gnat2","Gnat2",54,47,74,59,52,88
"Bcl2l13","Bcl2l13",1243,1615,1466,1491,1311,1809
"Dqx1","Dqx1",3,1,1,0,0,1
"Ccl8","Ccl8",0,0,0,0,0,0
"Lnpk","Lnpk",216,394,330,272,210,357
"Pttg1ip","Pttg1ip",2284,2671,2332,2321,2028,2676
"Trpm2","Trpm2",39,77,48,37,37,16
"Ube2g2","Ube2g2",1318,1652,1397,1730,1222,1857
"Met","Met",1,1,0,0,0,0
"Syn2","Syn2",3,2,24,10,5,12
"Elk1","Elk1",630,901,754,456,362,491
"Nav1","Nav1",1432,1616,1627,1380,1019,1733
"Tnpo1","Tnpo1",3394,4467,4238,5291,3555,6546
"Rnmt","Rnmt",1349,1823,1588,1771,1232,2291
"Srp14","Srp14",4679,5149,4992,5665,4811,6302
"Cdk9","Cdk9",5942,6832,6934,7309,5524,7566
"Tor2a","Tor2a",1757,2061,1906,1634,1464,1806
"Fpgs","Fpgs",564,696,525,448,415,481
"Mrtfb","Mrtfb",720,936,882,752,526,880
"Cbx5","Cbx5",975,1322,1171,2467,1496,3692
"Apobec3","Apobec3",817,922,781,884,608,1034
"Sardh","Sardh",512,636,556,821,750,852
"Vav2","Vav2",1090,1138,1063,1508,751,856
"Ppp2cb","Ppp2cb",137,118,95,236,52,145
"Dmap1","Dmap1",897,1073,983,987,874,1112
"Mcu","Mcu",790,906,1007,617,566,666
"Oit3","Oit3",1360,1506,1315,951,694,1039
"Bcr","Bcr",130,142,122,249,162,154
"Fxyd5","Fxyd5",20549,24997,23514,16469,14027,16904
"Tfcp2","Tfcp2",548,480,592,492,465,650
"Ubp1","Ubp1",593,628,653,738,437,466
"Nuak2","Nuak2",989,1378,1136,1022,883,1209
"Ick","Ick",110,162,103,118,151,183
"Sdhb","Sdhb",7005,8229,6922,6281,5960,6683
"Snap47","Snap47",2964,3402,2941,4183,3270,3996
"Kdsr","Kdsr",842,835,865,1114,804,1220
"Vps4b","Vps4b",2707,3090,3182,3783,2605,4793
"Rps25","Rps25",7484,7870,7310,8626,7160,9276
"Taz","Taz",1422,1368,1370,1565,1209,1745
"Kif19a","Kif19a",216,290,293,223,201,262
"Aldh3a2","Aldh3a2",1005,1207,1107,1340,1146,1446
"Tmem115","Tmem115",1446,1847,1759,1559,1293,1533
"Hyal2","Hyal2",2372,2867,2386,1892,1696,2093
"Ifrd2","Ifrd2",829,1017,886,702,648,735
"Hyal1","Hyal1",3165,3393,3539,2344,1747,1973
"Tusc2","Tusc2",1160,1457,1309,1266,1042,1289
"Nprl2","Nprl2",815,1111,882,1079,933,1024
"Rassf1","Rassf1",276,318,273,231,182,258
"Slc3a2","Slc3a2",10199,11405,11393,8634,7292,7875
"Nxf1","Nxf1",1639,2125,2057,1962,1523,2478
"Stx5a","Stx5a",2123,2438,2530,2220,2132,2357
"Tnfrsf13b","Tnfrsf13b",348,491,512,665,575,881
"Spire2","Spire2",420,430,402,169,108,94
"X2610507B11Rik","2610507B11Rik",7210,7923,7492,7244,5526,9556
"AI597479","AI597479",575,620,624,979,630,1184
"Tmem86a","Tmem86a",2107,2405,2460,4498,3848,4512
"Tex14","Tex14",67,97,77,13,1,36
"Ifi35","Ifi35",363,563,434,220,247,328
"Rdm1","Rdm1",190,257,210,287,252,221
"Nedd8","Nedd8",2171,2465,2199,2326,2209,3356
"Gosr1","Gosr1",1563,1608,1672,1904,1616,2129
"Mrpl52","Mrpl52",1009,1230,1040,1754,1559,1751
"Kansl3","Kansl3",1021,1314,1252,1271,1141,1524
"Eya4","Eya4",712,784,739,1526,1177,1929
"Faf1","Faf1",3279,3850,3505,3185,2169,2191
"Tsacc","Tsacc",10,18,27,32,14,42
"Mettl16","Mettl16",793,818,840,898,703,935
"Pigyl","Pigyl",250,280,269,266,272,347
"Rbm25","Rbm25",499,783,586,699,662,1043
"Psen2","Psen2",2796,3139,2849,2348,1878,2218
"Plcd1","Plcd1",58,58,60,132,87,162
"Fads1","Fads1",10380,13309,12195,17716,14545,20262
"Lmbr1","Lmbr1",99,97,131,100,132,258
"Tnfrsf22","Tnfrsf22",1097,1292,1094,1316,1025,1545
"Cars","Cars",4443,5337,5593,3110,2923,2953
"Phlda2","Phlda2",13,18,13,1,14,6
"Kdelr3","Kdelr3",806,965,743,798,785,737
"Apip","Apip",638,743,736,611,603,604
"Pdhx","Pdhx",2028,2382,2110,1595,1321,1991
"Vac14","Vac14",6171,7340,6749,7060,5824,7611
"Mcoln2","Mcoln2",582,780,786,382,347,489
"Akt1s1","Akt1s1",702,856,918,760,716,723
"Tbrg1","Tbrg1",2965,3477,2984,2266,2274,2526
"Adssl1","Adssl1",5531,7697,6599,14049,11491,14406
"Brf1","Brf1",1294,1605,1418,1342,1289,1624
"Odc1","Odc1",2160,2676,2341,2281,1733,2312
"Thg1l","Thg1l",79,83,79,96,60,109
"Pabpc4","Pabpc4",612,766,590,643,539,726
"Exoc3l2","Exoc3l2",13,14,20,25,39,27
"Zfp296","Zfp296",59,121,64,92,44,90
"Sugp1","Sugp1",1854,2092,2004,2149,1821,2032
"Dhdh","Dhdh",216,227,263,282,191,361
"Zfp790","Zfp790",388,399,409,642,376,626
"Fuz","Fuz",129,154,133,164,148,166
"Sptbn4","Sptbn4",5,9,2,28,6,4
"Pgam1","Pgam1",20005,24699,22429,24355,19631,24334
