Geneid,control Evs_1,control Evs_2,control Evs_3,LPS Evs_1,LPS Evs_2,LPS Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Efnb1,0,0,0,6,67,28,5,0,0,0,0,0
Igbp1,344,156,260,123,116,185,33,291,548,0,234,102
Pbdc1,1546,152,598,835,340,933,369,380,1102,248,826,485
Atrx,1271,158,396,477,504,850,215,136,958,24,244,101
Cox7b,4720,858,1933,1188,664,1383,576,587,2067,693,1193,468
Magt1,1396,0,399,253,95,328,54,12,459,36,298,79
2610002M06Rik,1,126,68,135,40,31,40,0,34,0,91,22
Hmgn5,209,140,206,467,249,481,161,43,51,38,122,176
Sh3bgrl,4929,170,639,323,208,367,251,183,168,275,399,183
Cstf2,1973,129,135,125,49,384,88,0,3,0,342,265
Cenpi,578,0,80,85,94,149,127,0,734,364,358,93
Btk,696,0,29,242,127,345,102,304,396,0,190,153
Gla,7117,927,2051,1252,811,2469,365,269,3130,0,1990,512
Acsl4,2916,414,683,291,381,297,322,450,1089,0,933,87
Cdkl5,0,0,0,89,174,56,0,0,0,0,40,0
Phka2,0,0,46,98,89,41,11,0,493,0,527,8
Adgrg2,0,0,0,46,123,123,0,0,0,0,0,0
Pdha1,1552,865,71,148,150,552,435,332,604,234,1583,758
Map3k15,0,0,49,89,41,39,101,5,0,0,18,13
Il2rg,742,64,66,105,126,39,27,0,96,0,130,0
Rps6ka3,466,0,7,16,70,52,21,0,0,11,1,0
Zmym3,258,0,72,67,35,156,0,0,0,213,203,9
Nono,5324,1122,1291,687,511,839,714,530,1748,163,1793,988
Taf1,1620,31,0,44,124,98,1,195,62,0,26,0
Rps4x,5757,3653,3566,2972,1265,3799,3391,2926,4935,2206,4828,4212
Flna,7749,133,1451,503,357,1164,1596,1447,1023,537,2438,819
Abcb7,0,83,195,0,6,21,0,12,0,0,314,0
Mtm1,668,367,143,57,147,40,0,0,460,0,262,4
Gpm6b,0,0,165,54,132,46,1,0,0,2,0,0
Cetn2,255,96,411,236,140,243,70,13,976,93,178,90
Nsdhl,796,115,160,243,47,82,36,241,125,0,142,12
Hccs,563,243,129,73,133,73,94,0,313,1,257,187
Rbbp7,6174,476,1711,1091,545,791,464,302,1274,431,1275,419
Syap1,1712,206,160,36,51,194,4,0,0,25,39,71
Msl3,546,158,279,122,76,86,538,102,336,771,1085,313
Ctps2,1197,351,200,269,211,687,241,205,504,65,593,352
Zfp275,0,285,6,15,7,8,21,60,42,0,10,0
Ap1s2,0,0,0,0,5,3,0,0,0,0,0,0
Zrsr2,230,140,0,240,189,339,164,266,214,177,219,202
Haus7,137,107,215,118,79,47,81,0,131,128,182,0
Abcd1,370,0,0,300,34,10,28,83,693,0,135,0
Piga,0,0,21,151,29,7,186,279,468,0,340,0
Asb11,948,65,599,179,121,328,301,273,241,30,136,106
Plxnb3,0,0,0,31,34,26,0,0,0,0,0,0
Hcfc1,307,0,0,175,133,359,11,174,38,0,304,158
Renbp,9222,1756,2201,2014,1075,2969,1221,1361,2973,705,3554,1407
Naa10,306,165,304,99,83,158,214,139,221,33,247,342
L1cam,0,0,0,2,55,41,0,0,1,0,0,0
Irak1,2159,1008,766,424,284,753,733,353,1186,392,2283,1394
Mecp2,212,185,510,96,237,232,509,382,246,920,518,295
Plxna3,0,0,0,0,62,31,0,0,0,0,0,0
Fam3a,1440,0,466,0,22,19,13,0,217,175,32,0
G6pdx,15582,684,2502,1549,981,2525,346,27,3452,161,2531,484
Mpp1,5263,293,1357,335,348,659,293,203,502,0,1106,126
Dkc1,1263,369,170,336,265,538,83,296,214,39,267,153
Morf4l2,5249,1679,1150,940,724,1023,2347,2002,1675,835,2185,1847
Psmd10,1716,412,761,555,303,766,203,0,891,18,454,181
Tsc22d3,2402,349,768,133,135,200,361,5,417,388,996,503
Prps1,1615,151,250,309,228,684,59,128,1318,18,439,0
Rbm41,0,0,22,3,66,32,0,0,0,9,45,24
Rnf128,6874,304,1555,112,322,989,179,419,1945,0,1031,20
Atp11a,11,130,7,54,109,163,139,216,1,0,248,207
Mcf2l,123,0,24,43,167,283,42,29,0,0,366,2
F7,5116,559,303,413,149,514,53,36,554,49,747,104
F10,4051,225,367,269,124,137,191,0,1409,0,448,68
Proz,0,0,0,24,87,44,27,0,0,0,40,3
Cul4a,2169,778,629,246,326,602,727,59,1792,33,466,468
Lamp1,13682,2414,8091,1926,1951,4566,1132,1889,2940,266,5138,3538
Gas6,6570,730,2038,350,376,625,763,1095,1339,816,1094,245
Rasa3,3193,1218,132,444,451,715,290,367,132,141,1490,664
Coprs,360,74,245,347,253,344,519,113,240,226,547,512
Myom2,1,20,18,23,84,162,30,8,21,0,30,21
Angpt2,0,225,0,65,154,194,33,0,0,126,34,0
Agpat5,1212,999,868,798,250,633,819,1026,903,169,1532,1183
Nek3,0,0,0,17,70,83,0,0,0,0,67,0
Vps36,92,283,224,453,179,392,655,311,856,34,617,389
Thsd1,0,0,3,21,15,29,0,0,0,0,0,0
Slc25a15,1033,239,117,40,163,130,871,228,1445,1085,726,598
Erlin2,1961,52,83,81,190,160,77,0,3,49,251,583
Plpbp,2002,103,168,104,268,260,104,0,347,257,554,37
Brf2,65,7,0,150,187,203,0,73,154,104,38,19
Rab11fip1,0,384,248,333,260,293,73,45,185,509,80,26
Eif4ebp1,3524,1701,1473,947,627,1554,2112,1376,2931,971,1908,1449
Tnfsf13b,185,1,0,18,31,216,10,0,0,0,276,42
Col4a1,0,312,26,181,219,259,49,0,261,50,8,73
Col4a2,0,0,0,20,74,55,6,0,0,0,0,0
Rab20,297,0,512,259,157,299,27,0,450,0,396,8
Naxd,1830,182,217,233,157,278,102,254,632,203,514,49
Ptpn7,1596,42,376,335,284,401,147,340,0,398,273,82
Ankrd10,1444,428,302,304,79,141,628,635,381,201,414,797
Arhgef7,868,291,138,347,482,348,410,685,77,153,527,584
Leprotl1,471,39,98,91,71,209,381,276,0,0,405,263
Dctn6,809,182,143,164,71,299,69,211,763,0,223,78
Aga,946,200,233,196,74,221,27,0,471,0,339,137
Dlc1,1,5,7,20,182,78,4,6,13,2,5,9
Eri1,1197,112,179,189,216,392,133,341,536,134,651,398
Tnks,654,159,252,127,270,366,192,163,54,607,516,316
Dusp4,3152,488,341,244,331,914,518,768,753,407,1319,813
Saraf,3294,1775,2156,824,448,1227,1279,697,2229,871,2582,1924
Mrps31,431,35,364,27,78,115,53,0,175,0,341,90
Smim19,92,38,0,68,18,81,2,0,87,0,12,84
Polb,537,171,95,222,161,227,62,0,98,0,145,124
Ikbkb,1694,499,110,274,522,949,597,69,319,1075,647,163
Plat,0,0,0,7,163,65,3,0,0,0,0,0
Ap3m2,545,0,0,15,56,29,0,0,7,0,128,76
Kat6a,1107,0,5,5,55,41,33,0,117,8,0,29
Ank1,0,0,7,61,119,130,0,0,0,0,0,0
Gpat4,3258,2183,1721,1075,563,1450,3043,2930,1934,1295,1780,1469
Gins4,1147,61,366,139,214,312,188,47,339,122,154,159
Ido2,67,0,0,17,52,30,0,0,1,0,0,0
Ido1,0,0,0,4,42,48,0,0,0,0,0,0
Adam3,86,0,0,25,85,116,47,20,0,47,22,0
Adam9,3279,394,411,29,171,364,195,257,31,0,453,213
Tm2d2,2352,240,1036,390,171,640,319,153,699,0,929,447
Plekha2,2968,376,88,361,171,434,402,181,638,42,1247,966
Slit2,0,0,0,127,267,198,0,0,0,0,0,0
Tenm3,0,0,0,49,334,207,0,0,0,0,0,0
Dctd,0,123,6,39,28,163,108,0,6,133,51,54
Wwc2,0,256,62,214,306,387,8,0,0,0,99,183
Fgfr1,3263,155,475,116,235,271,12,3,884,0,288,63
Rwdd4a,86,61,232,44,137,222,182,41,1,144,177,210
Plpp5,284,78,268,58,28,138,25,0,478,41,163,74
Star,0,0,0,13,70,29,24,0,0,0,21,0
Ash2l,1296,217,255,443,440,871,80,0,801,120,786,12
Tti2,351,0,132,36,31,145,7,46,46,124,98,3
Mak16,715,139,256,226,163,417,167,136,303,83,233,174
Wrn,735,0,252,37,133,84,21,91,3,0,140,24
Gsr,1544,772,1433,1122,640,962,721,742,1492,0,863,476
Gtf2e2,2718,712,455,231,117,379,214,136,502,497,693,356
Rbpms,0,0,3,55,141,121,2,0,0,0,0,1
Frg1,740,147,142,299,85,362,51,49,219,0,419,93
Asah1,5162,1251,1165,492,362,844,238,105,1363,223,1196,49
Pcm1,0,4,346,38,83,83,28,1,0,0,183,5
Slc7a2,484,0,2,84,204,383,0,0,0,0,1,40
Vps37a,682,95,0,21,135,45,73,381,0,0,24,74
Cnot7,572,58,682,39,132,100,287,61,825,54,335,244
Msmo1,4233,1189,1020,807,409,1047,850,639,1511,451,946,689
Klhl2,2,189,360,253,320,297,579,382,183,361,567,747
Galnt7,1198,72,77,325,133,562,281,181,585,47,542,208
Sap30,1491,101,479,702,226,582,368,0,1398,0,497,171
Ednra,0,0,0,19,107,126,0,0,0,0,0,0
Tmem184c,690,0,0,114,109,15,59,0,325,530,413,150
Sin3b,3433,324,258,634,409,851,143,271,1014,151,751,112
Sorbs2,0,0,0,65,298,190,0,20,0,0,0,8
Irf2,776,73,0,42,80,226,29,73,0,0,39,41
Casp3,1658,532,504,57,189,277,245,290,0,168,208,230
Cenpu,0,26,0,25,51,73,23,1,2,0,0,83
Cfap97,1212,54,51,26,26,134,171,131,614,404,271,78
Slc25a4,5393,2417,2509,780,562,1298,2130,1896,4044,1327,3510,3401
Ufsp2,1431,454,745,438,389,784,95,135,1301,0,723,180
Tlr3,0,0,0,21,27,24,14,0,0,0,115,0
Cbr4,137,0,113,158,126,201,20,141,305,0,135,0
Sh3rf1,745,154,159,85,235,130,96,0,312,0,218,167
Nek1,211,0,219,55,112,141,28,128,0,1,286,51
Mfap3l,400,369,0,146,108,58,17,0,15,0,5,7
N4bp1,152,337,1126,395,156,817,1030,1146,157,1159,636,1346
Heatr3,747,205,33,353,212,359,301,135,129,0,326,184
Adcy7,822,384,61,178,361,486,203,176,1333,127,1157,608
Brd7,1314,217,248,158,342,418,112,47,938,45,425,133
Snx20,174,4,59,415,237,323,30,26,0,0,25,49
Rbl2,1779,126,235,5,118,67,82,0,0,6,300,0
Aktip,747,2044,2149,578,433,467,2487,1601,2359,1332,4171,2898
Eif2ak3,388,179,0,7,64,78,0,36,329,0,152,12
Gins3,1341,0,0,2,16,145,47,0,0,0,176,13
Setd6,1299,162,1,156,44,157,9,0,85,0,88,132
Got2,5748,1582,1747,1444,646,1800,1245,916,2430,426,1995,1574
Smad1,0,220,353,114,36,155,202,196,356,585,108,86
Lsm6,466,2026,1486,963,457,1152,2170,2103,1504,2283,3187,2304
Slc10a7,0,22,0,43,169,136,19,0,10,0,119,134
Tnpo2,988,306,531,146,81,161,403,153,141,114,397,428
Vps35,6950,2334,2107,742,671,734,495,845,3708,301,3251,468
Orc6,767,119,109,99,123,196,71,143,144,0,73,82
Gpt2,2427,143,144,232,110,213,76,237,368,5,72,0
Dnaja2,4133,7497,8097,1903,724,1810,12109,9985,6442,6841,11619,12431
Itfg1,1325,255,512,79,256,325,50,0,25,0,106,82
Rfx1,0,0,0,55,29,73,24,0,87,1,25,6
Tecr,4660,1548,924,473,476,948,377,61,2495,264,1260,600
Tbc1d9,0,12,0,30,91,65,0,0,0,173,344,42
Zfp330,1668,840,753,587,243,602,761,632,1325,543,1456,615
Il15,329,47,57,43,12,67,22,0,0,0,91,0
Smarca5,308,23,470,368,408,249,47,149,21,81,97,320
Hp,1460,111,107,769,327,543,161,4,1075,164,494,101
Txnl4b,372,2,4,33,16,22,40,8,5,12,38,26
Zfp821,0,0,0,72,61,80,0,0,0,0,76,0
Ist1,3465,125,123,181,226,470,320,354,670,135,588,317
Dhodh,534,103,161,331,281,547,20,4,0,9,232,0
Ap1g1,825,156,26,141,207,641,304,109,824,72,668,331
Phlpp2,0,121,0,23,118,71,242,276,25,688,152,200
Crnde,0,86,114,0,43,24,64,0,2,0,29,4
Mmp2,358,0,0,4,24,31,0,0,0,0,39,0
Gnao1,131,0,24,61,145,105,0,0,8,0,3,125
St3gal2,593,227,104,110,96,224,291,608,315,137,855,456
Il34,0,0,0,14,17,32,61,0,0,0,0,0
Amfr,774,719,1133,656,274,542,838,313,261,451,1205,1866
Cog4,1639,0,271,146,254,320,1,0,744,0,673,32
Nudt21,1308,902,1470,608,377,446,747,869,1481,852,1182,1220
Bbs2,0,249,8,135,104,136,49,0,0,0,226,10
Cenpn,605,297,222,6,113,207,762,218,556,490,1192,409
Cdyl2,1,2,0,95,143,177,28,1,0,0,75,102
Mt2,23,5,19,15,7,8,9,8,12,7,8,7
Mt1,13734,5867,9046,7972,3172,9965,6368,6502,10614,2765,4926,3535
Nudt7,26,0,38,69,81,95,0,0,180,347,112,0
Herpud1,1026,173,0,213,174,281,160,248,814,0,326,98
Fam192a,3093,0,608,393,315,545,198,124,740,393,338,234
Arl2bp,694,2245,3074,1307,464,1574,3879,3039,3153,3598,5271,6172
Ciapin1,1538,125,0,269,221,260,69,0,694,0,122,288
Coq9,647,269,341,119,233,505,122,197,297,53,222,189
Polr2c,2711,878,768,662,431,766,826,660,862,564,687,787
Adgrg1,0,1,0,90,9,15,40,0,0,13,46,156
Katnb1,748,124,392,83,74,293,28,27,0,17,245,157
Kifc3,273,41,102,7,37,118,54,92,194,66,121,94
Tmem38a,92,129,143,90,19,4,76,0,0,0,193,24
Usb1,1666,222,886,904,437,901,649,867,751,216,1009,335
Cfap20,661,153,138,248,71,191,158,0,462,37,66,111
Tpm4,4721,903,1552,1239,485,808,917,1175,1083,535,1623,1135
B3gnt3,1566,0,0,26,28,178,18,36,360,0,0,15
Jak3,16,261,375,11,69,51,5,0,151,0,174,69
Pgls,2646,731,1114,558,369,1009,772,724,1193,941,1625,959
Slc27a1,8609,445,301,532,465,1466,439,223,1708,616,1368,670
Map1lc3b,7766,1449,2714,2459,1056,2540,1476,1076,3694,1940,3225,1629
Mvb12a,3440,341,624,550,325,571,256,118,886,0,665,158
Mthfsd,398,674,487,162,227,448,254,131,83,175,376,188
Cox4i1,15167,4454,6193,3716,1673,4712,3443,4027,8905,4016,6784,4242
Emc8,528,499,376,342,164,568,661,806,966,871,926,617
Babam1,1438,110,437,346,196,454,237,199,1197,178,372,158
Gins2,326,0,247,357,71,207,52,61,12,0,423,147
Gse1,546,4,4,72,37,98,81,14,1,0,18,3
Zdhhc7,2556,2428,2324,588,177,748,3443,2977,3356,1060,4698,3733
6430548M08Rik,1147,44,876,157,129,202,418,461,120,530,630,699
Crispld2,0,0,0,71,131,60,0,50,4,0,80,0
Usp10,341,21,76,94,307,684,305,17,1099,0,318,205
Cotl1,2348,528,545,619,242,758,269,534,1906,46,975,406
Klhl36,0,0,0,0,56,40,7,92,0,0,0,0
Taf1c,0,0,0,29,25,122,0,0,0,0,0,81
Mast3,587,138,90,42,149,307,185,34,4,23,166,1
Pik3r2,1808,166,1762,323,216,526,132,404,688,97,495,209
Mbtps1,2392,213,672,411,160,306,405,759,120,673,545,309
Ifi30,3518,868,1122,626,349,1393,629,395,1729,568,902,489
Hsbp1,3937,454,787,732,358,1136,428,249,1462,375,1304,545
Rab3a,560,0,23,1,30,74,0,0,0,0,0,0
Cdh13,0,0,0,49,187,172,0,0,9,0,0,0
Mphosph6,1338,124,469,140,107,387,193,132,423,248,431,99
Hsd17b2,0,0,0,14,33,42,15,0,0,0,0,8
1700030J22Rik,0,0,0,7,38,48,0,0,0,0,0,0
Lsm4,2478,794,1011,625,336,920,669,711,1186,958,1208,973
Comp,44,32,0,11,20,24,1,19,0,0,48,0
Ntpcr,384,69,192,325,58,171,89,0,124,22,334,95
Mau2,2361,50,0,253,449,454,150,3,820,427,105,15
Pbx4,0,0,0,8,60,30,20,0,0,0,0,32
Atp13a1,2758,294,0,40,133,121,67,0,1829,552,327,463
Ints10,258,141,260,30,194,310,106,26,535,191,315,32
Dctn1,3127,463,353,73,138,132,55,64,653,0,419,260
Cmtm3,1921,524,879,90,199,478,203,39,990,0,639,180
Nae1,1268,96,148,75,115,194,412,8,0,11,346,233
Ciao2b,728,290,133,273,127,379,89,68,379,127,387,89
Rrad,0,0,0,1,11,23,19,0,0,0,0,0
Car7,0,0,0,40,2,10,0,0,6,0,0,0
Cbfb,230,119,564,309,38,217,254,0,541,51,244,162
Tradd,502,296,111,138,109,272,92,112,139,135,287,113
D230025D16Rik,703,33,2,44,149,225,14,88,0,0,31,25
Tsnaxip1,0,0,1,33,95,96,0,0,0,0,0,0
Psmb10,604,590,740,1070,461,1218,651,515,1297,158,954,439
Dus2,852,133,242,48,147,495,28,0,823,0,196,53
Nfatc3,260,447,486,368,202,836,704,443,474,298,417,403
Pla2g15,5456,282,833,128,238,737,305,265,875,0,684,147
Slc7a6,1982,189,66,92,60,87,194,140,201,310,846,139
Zfp90,48,0,0,2,4,4,0,0,0,0,8,13
Vps4a,1602,241,206,354,137,196,430,367,296,231,490,95
Cog8,1091,427,249,228,167,286,82,115,627,27,490,187
Nip7,2434,1167,1528,1465,530,1335,2493,1594,2155,1999,2071,2125
Mtmr2,2442,162,608,154,95,266,166,277,813,184,508,394
Terf2,0,20,7,135,134,189,19,0,0,0,112,38
Cep57,112,0,333,20,21,218,219,72,100,303,296,187
Cyb5b,7280,1934,2913,1295,919,2173,2380,2265,2847,975,4405,2748
Maml2,0,0,0,31,124,47,0,8,38,0,74,46
Mre11a,531,316,245,82,182,636,140,364,321,3,137,410
Wwp2,4566,429,884,366,384,648,420,205,455,0,1194,818
Ankrd49,320,18,150,8,78,183,7,8,54,8,119,15
Panx1,1640,0,82,19,171,343,115,178,99,340,223,211
Med17,1421,0,500,42,39,263,33,0,368,0,119,154
4931406C07Rik,0,0,8,112,117,179,7,1,347,0,0,50
Taf1d,328,743,532,476,242,487,649,559,664,510,555,602
Kars,3110,867,279,594,377,1055,695,649,773,786,1070,1398
Adat1,20,0,164,33,250,126,48,221,300,42,1,5
Gabarapl2,1460,108,612,155,149,319,208,199,812,320,432,175
Tmem231,453,11,145,24,211,209,41,0,0,0,1,0
Tmem170,0,0,0,5,67,109,0,0,4,0,1,1
Cfdp1,1340,361,306,207,254,485,151,337,878,157,517,66
Bcar1,0,0,112,72,243,172,0,0,0,0,0,1
Wdr59,164,193,4,68,358,326,71,0,0,0,66,96
Aars,6689,860,804,1364,753,1658,225,375,3020,0,1349,125
Bmper,675,108,15,7,14,59,0,265,186,0,0,0
Tbx20,0,0,0,75,73,84,0,0,0,0,0,0
Afg3l1,1347,550,199,500,365,867,488,1055,1337,1065,1376,700
Acad8,227,276,0,138,94,434,185,224,596,495,495,459
Dbndd1,0,0,0,23,9,2,10,0,0,0,26,0
Ccsap,0,32,275,4,29,64,1,0,0,0,97,154
Abcb10,351,215,136,3,49,182,297,75,2,128,316,374
Urb2,1218,472,0,6,58,29,122,0,0,0,194,296
Cog2,2219,182,481,342,180,368,502,19,609,1,1053,266
Agt,354,103,187,96,13,60,0,0,325,0,86,0
Capn9,626,0,0,72,47,38,0,0,358,0,3,0
Arv1,318,0,0,70,6,2,44,0,75,0,107,61
2310022B05Rik,363,219,229,4,30,66,233,435,198,283,483,536
2810004N23Rik,1045,409,503,481,159,225,775,158,742,350,764,548
Gnpat,3104,14171,16869,2848,1022,3074,25341,21168,15249,23447,43276,35667
Sprtn,147,107,82,11,67,65,261,136,0,146,166,181
Egln1,488,1090,2154,357,220,564,2395,969,1948,1291,2169,2502
Vps26b,0,0,249,83,67,109,68,1,6,474,63,184
Snx19,0,250,0,137,32,402,237,672,0,0,191,6
St14,0,0,0,27,88,92,0,0,0,0,0,0
Aplp2,9889,807,724,710,518,940,326,339,2258,9,1557,638
Birc3,358,85,0,224,88,189,6,304,0,3,151,175
Dcun1d5,863,359,301,246,191,399,463,319,858,52,651,205
Usp2,0,55,40,34,73,127,1,5,0,0,12,0
Nectin1,81,37,84,28,52,33,101,40,136,93,10,16
Trim29,188,60,233,81,186,360,38,67,494,0,393,246
Oaf,35,24,78,89,90,56,15,0,1,0,37,0
Grik4,0,0,0,15,98,74,0,1,68,0,0,0
Sc5d,805,124,55,180,133,432,255,139,0,23,512,195
Ubash3b,993,175,442,237,272,668,464,80,443,40,823,911
Clmp,0,0,0,51,66,142,19,85,111,101,60,0
Rexo2,1722,241,678,456,254,681,95,165,479,0,496,203
Cul5,23,3,0,147,151,161,69,21,53,154,211,78
St3gal4,139,0,1,25,55,76,196,103,1,0,24,186
Dcps,605,65,213,118,73,235,29,0,243,0,226,69
Tirap,508,70,0,47,117,116,121,0,0,0,107,135
Srpr,5047,903,1455,339,169,464,147,148,1642,456,630,250
Rpusd4,0,26,0,1,54,93,130,0,0,556,109,168
Abhd12,2994,1782,1184,559,413,1453,1661,1395,1701,1697,1895,2282
Acat1,2335,169,503,144,124,593,39,38,893,130,519,98
Rdx,2677,632,778,319,214,563,810,654,82,216,1072,807
Fdx1,954,58,476,170,136,62,71,30,166,172,216,134
Ppp2r1b,1008,925,342,707,216,168,767,443,1,6,808,743
Alg9,398,149,247,98,59,307,116,152,51,0,216,335
Bco2,88,6,95,4,31,15,2,0,296,0,52,77
Pts,251,151,245,124,43,303,61,137,270,148,200,268
Cadm1,2662,1468,1128,200,464,1073,924,810,1472,1358,1511,1350
Bud13,892,0,128,24,142,115,41,0,299,0,121,0
Zpr1,1333,601,921,445,356,820,277,334,289,314,849,443
Bace1,2,84,0,9,49,180,4,7,0,0,88,93
Dscaml1,0,0,0,11,151,113,0,0,0,0,0,0
Il10ra,2327,35,381,0,112,174,133,0,579,354,815,278
Arcn1,3917,383,1275,388,704,1122,583,57,1253,603,1132,323
Ddx6,1618,4,174,142,150,157,38,18,290,10,243,30
Ddx25,467,119,0,200,99,257,161,0,0,0,31,103
Trappc4,1222,138,527,331,226,474,304,326,133,350,340,324
Chek1,0,22,38,56,61,98,18,15,0,127,43,50
Slc37a4,348,477,263,64,46,102,360,384,278,12,962,497
Hyou1,1115,0,0,157,137,105,0,0,0,0,5,35
Stt3a,2989,677,1117,460,513,1350,982,267,1789,726,1626,320
Hinfp,19,374,460,97,149,195,172,63,904,0,106,122
C2cd2l,873,0,16,0,50,66,86,7,0,190,85,69
Tmem218,0,26,0,183,21,49,95,0,179,0,123,37
Slc37a2,1224,739,777,214,194,1156,112,729,1102,449,1020,375
Dpagt1,491,0,403,134,179,310,28,0,14,0,250,1
Hmbs,258,1197,418,822,277,681,1750,685,2262,788,1854,2785
Vps11,4853,345,534,298,234,567,106,0,1919,0,418,10
Mcam,0,0,0,11,69,24,0,0,0,0,0,0
Pin1,2068,1272,322,1504,696,1354,631,885,433,435,712,813
Olfm2,0,0,0,69,20,54,0,0,0,0,0,0
Icam5,0,0,0,43,22,0,6,0,0,0,0,0
Tyk2,0,328,0,166,274,619,542,0,0,607,1296,59
Pde4a,0,316,0,50,240,278,21,0,14,0,127,5
Ilf3,675,274,872,238,216,114,401,261,7,468,1419,728
Tmed1,575,339,313,205,65,99,316,216,498,363,493,339
Yipf2,140,130,285,0,28,33,73,143,130,101,27,37
Lysmd2,55,87,89,28,42,59,194,0,0,0,141,126
Carm1,133,24,119,59,19,2,11,77,0,10,64,46
Tmod2,0,30,0,17,79,77,0,124,0,11,0,0
Smarca4,822,9,596,122,155,301,83,6,500,401,523,357
Gnb5,427,112,16,11,52,201,117,0,17,0,277,66
Ldlr,314,460,532,272,418,518,207,383,1229,392,206,217
Kank2,0,8,17,57,22,48,86,16,0,5,133,507
Dock6,0,0,0,10,75,91,0,0,0,0,17,0
Polr2m,2759,1705,2291,1014,533,1545,4543,2693,3067,2871,5106,4284
Rab27a,0,0,0,46,114,73,0,0,0,0,0,0
Aqp9,642,1,6,49,66,90,41,4,100,2,88,2
Sltm,902,431,343,360,380,374,300,251,307,18,545,243
Rsl24d1,480,116,352,302,222,592,479,445,494,198,487,213
Nedd4,1222,75,46,152,245,409,68,4,841,841,347,48
Rnf111,427,122,15,119,146,327,24,12,74,0,97,121
Ccnb2,1255,211,102,147,88,101,16,97,941,0,227,0
Myo1e,4005,224,1101,58,393,717,106,308,726,232,545,341
Mns1,0,0,0,47,80,48,1,81,191,0,0,29
Tcf12,3441,612,108,289,271,397,181,68,1881,8,353,28
Anxa2,11181,2407,3395,859,782,1637,1309,1021,3612,486,3214,946
Cgnl1,677,189,91,844,406,987,201,207,428,69,604,476
Ice2,279,0,855,31,71,106,13,0,0,0,0,28
Rora,0,102,31,112,231,281,13,0,0,0,71,277
Rp9,344,226,450,428,190,513,588,324,719,261,602,627
Itga11,0,0,0,19,43,95,0,0,0,193,0,0
Fem1b,390,701,2262,257,281,146,3027,1386,248,1267,3298,1469
Cln6,220,75,326,11,61,132,127,0,76,0,153,349
Anp32a,135,58,14,236,105,231,109,38,119,0,49,38
Irak1bp1,210,5,221,21,27,127,102,22,375,0,39,198
Glce,0,0,0,14,54,16,87,0,1160,0,178,190
Phip,1,151,6,267,357,307,97,27,403,0,210,239
Kif23,823,0,0,67,77,364,9,30,0,0,115,73
Lca5,0,0,0,16,213,124,0,0,3,0,0,0
Sh3bgrl2,1800,392,582,146,166,481,1347,894,282,1153,945,1497
Elovl4,0,0,0,1,39,10,71,57,0,0,223,90
Bckdhb,163,153,138,73,39,122,53,6,150,0,66,41
Zw10,374,199,0,7,187,67,79,62,0,0,179,125
Tent5a,175,257,90,94,101,90,100,89,91,283,156,116
Usp28,0,0,447,110,284,201,133,342,0,0,199,135
Nnmt,0,0,0,28,21,48,0,0,0,0,0,0
Idh3a,3181,408,1301,313,316,723,327,479,750,463,1212,419
Tle3,199,0,0,62,94,164,51,15,94,98,92,42
Acsbg1,0,0,0,2,11,65,0,0,0,0,0,0
Imp3,938,142,229,688,198,467,508,266,731,432,621,662
Ptpn9,392,11,197,258,73,232,169,341,1,74,365,181
Ireb2,594,220,193,71,212,157,57,200,13,0,63,614
Pkm,61820,11902,14393,6407,3714,9722,6215,5771,20288,7547,18968,8960
Man2c1,1673,125,306,18,124,654,0,0,0,0,185,60
Neil1,255,34,3,93,65,67,94,201,121,326,382,195
Commd4,1085,260,340,217,176,314,277,260,469,108,762,445
1700017B05Rik,690,462,214,68,273,596,471,258,839,258,1045,1031
Psma4,2265,402,407,777,309,861,369,306,1391,586,780,371
Fam219b,297,138,202,109,136,212,470,168,0,20,617,646
Mpi,228,515,0,178,128,262,125,337,487,179,363,157
Ube2q2,407,603,515,333,208,287,1221,616,179,1283,1496,1786
Ulk3,596,80,0,82,12,16,0,157,0,0,160,62
Fbxo22,573,108,188,243,133,281,288,12,535,108,238,266
Nrg4,79,0,0,13,41,42,0,0,0,0,0,0
Csk,614,29,393,42,23,193,180,1,56,11,259,19
Tmem266,0,0,0,8,19,29,0,0,0,0,114,0
Etfa,3312,372,284,423,235,434,221,360,1227,0,771,139
Clk3,359,49,259,14,81,218,37,33,0,480,14,45
Isl2,0,0,0,3,58,64,0,0,0,0,4,0
Rcn2,1318,160,284,28,136,373,190,107,432,0,354,0
Pstpip1,912,322,423,216,106,301,132,187,330,229,212,79
Cyp11a1,1157,0,0,1,34,13,29,141,330,0,118,0
Tspan3,1805,104,0,90,176,184,211,0,223,0,204,203
Tmem30a,1317,318,397,223,203,304,125,93,661,0,279,0
Hmg20a,0,2,891,207,255,416,37,7,0,0,372,142
Cox7a2,3449,1144,1529,1475,556,1663,703,583,2495,671,1504,842
Col12a1,0,0,0,39,156,97,0,0,0,0,0,0
Stoml1,433,33,183,91,41,68,38,176,0,263,169,197
Nptn,1718,175,382,135,251,402,86,80,1424,58,298,100
Neo1,0,0,0,15,147,61,0,0,0,0,0,0
Mto1,312,153,260,250,252,273,10,0,0,258,396,15
Cgas,0,0,1,93,139,239,87,10,0,0,86,1
Elovl5,2908,1048,354,141,113,480,1018,778,540,613,885,365
