"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"mmu-mir-466b-4",234.23847863718,190.43900471477,178.491647733448,232.963080907447,197.92519526928,207.181344759223
"mmu-mir-669a-7",232.769898833812,180.258303204861,182.566799508184,129.562355157083,167.351384617927,150.308034433162
"mmu-mir-467a-5",156.403749058681,145.52414511223,153.225706730083,112.121268885937,90.1122840250379,128.642011451805
"mmu-mir-466b-5",244.518537260755,165.885548132048,211.907892286285,271.582629079269,230.10815384965,218.014356249902
"mmu-mir-669p-1",69.0232507582913,57.4910202912513,57.8671552012547,88.4512232322391,80.4573964509267,92.0805976707659
"mmu-mir-467a-6",143.920820730054,143.727550728128,171.156374538922,122.08760389802,88.5031360960193,134.058517197144
"mmu-mir-466c-3",397.985126712701,296.438073376764,363.503538306473,272.82842095578,307.34725444254,274.887666575963
"mmu-mir-669a-8",214.412651291713,174.269655257855,192.347163767551,151.98660893427,181.833715979094,158.432793051171
"mmu-mir-467a-7",148.326560140158,151.512793059235,155.670797794925,124.579187651041,88.5031360960193,117.808999961127
"mmu-mir-466b-6",231.301319030444,166.484412926748,190.717103057656,218.013578389322,236.544745565724,177.390563159858
"mmu-mir-669a-9",249.658566572543,170.077601694952,200.497467317023,149.495025181249,164.13308875989,147.599781560492
"mmu-mir-467a-8",157.138038960365,143.128685933428,158.930919214714,112.121268885937,74.0208047348525,124.579632142801
"mmu-mir-466b-7",252.595726179279,177.263979231358,215.168013706074,222.996745895363,273.555147933151,203.118965450219
"mmu-mir-669p-2",69.0232507582913,71.2649105693635,78.242914074936,100.909141997343,69.1933609477969,93.4347241071007
"mmu-mir-467a-9",140.983661123318,150.913928264535,158.115888859766,109.629685132916,106.203763315223,117.808999961127
"mmu-mir-466b-2",238.644218047284,188.043545535968,207.832740511549,218.013578389322,230.10815384965,218.014356249902
"mmu-mir-669a-10",225.426999816973,182.653762383663,183.381829863131,130.808147033593,149.650757398724,155.724540178501
"mmu-mir-669a-11",248.189986769175,171.874196079053,180.121708443342,130.808147033593,173.787976334002,161.14104592384
"mmu-mir-467a-10",141.717951025002,145.52414511223,155.670797794925,122.08760389802,101.376319528168,127.28788501547
"mmu-mir-466b-3",210.00691188161,147.919604291032,172.786435248817,204.309867747707,183.442863908113,188.223574650536
"mmu-mir-669a-12",261.407204999486,171.874196079053,169.526313829028,163.198735822864,186.66115976615,161.14104592384
"mmu-mir-467e",82.9747588902864,77.8524233110694,97.8036425936699,98.4175582443224,101.376319528168,123.225505706466
"mmu-mir-466p",226.895579620341,174.868520052556,221.688256545652,220.505162142343,210.798378701428,193.640080395875
"mmu-mir-467d",128.500732794691,125.761606887112,122.254553242087,90.9428069852599,101.376319528168,94.7888505434355
"mmu-mir-466a",201.929722963086,173.071925668454,205.387649446707,225.488329648384,239.763041423761,203.118965450219
"mmu-mir-297c",120.423543876168,132.349119628818,141.815281760821,82.2222638496871,70.8025088768155,100.205356288775
"mmu-mir-669c",797.43883322877,866.557357931673,827.255810271458,794.815217213642,706.415940839136,756.956677911149
"mmu-mir-669a-2",250.392856474227,161.693494569144,188.272011992815,130.808147033593,178.615420121057,177.390563159858
"mmu-mir-297b",130.703602499743,115.580905377203,145.890433535558,88.4512232322391,98.1580236701305,108.330114906783
"mmu-mir-466d",171.08954709236,127.558201271214,180.121708443342,151.98660893427,148.041609469705,134.058517197144
