"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Eif2b5","Eif2b5",1631,99,113,200,149,647
"Cyth2","Cyth2",1696,161,398,143,78,237
"Sult2b1","Sult2b1",0,12,0,59,32,37
"Dlgap1","Dlgap1",0,0,0,156,386,345
"Hck","Hck",0,0,0,13,55,112
"Mrpl4","Mrpl4",1693,196,99,352,193,432
"Keap1","Keap1",371,527,60,92,70,157
"Glg1","Glg1",2495,706,8,346,330,582
"Atp8b3","Atp8b3",0,0,0,52,89,73
"Btbd2","Btbd2",254,0,0,28,28,21
"Csnk1g2","Csnk1g2",155,113,158,436,179,461
"Abhd17a","Abhd17a",2656,1398,807,1094,427,1026
"Mob3a","Mob3a",0,70,10,5,30,69
"Cacnb3","Cacnb3",0,0,1,124,78,50
"Ccdc65","Ccdc65",0,0,0,25,119,122
"Fkbp11","Fkbp11",1672,685,938,727,271,821
"Ddx23","Ddx23",0,4,0,33,127,125
"Pld3","Pld3",6945,842,2422,196,278,983
"Grik5","Grik5",0,1,0,90,54,81
"Rabac1","Rabac1",1253,570,825,347,219,454
"Etv3","Etv3",27,807,345,283,330,763
"Prkcsh","Prkcsh",1746,513,20,157,178,288
"Elavl3","Elavl3",0,0,0,81,139,48
"Rab3b","Rab3b",0,0,0,38,117,141
"St8sia6","St8sia6",0,0,0,55,132,75
"Fcgrt","Fcgrt",1354,234,570,62,57,140
"Nosip","Nosip",524,76,132,234,107,154
"Pih1d1","Pih1d1",260,106,69,68,26,141
"Rps11","Rps11",3298,2122,2596,2230,853,2614
"Supt5","Supt5",3341,703,713,1157,755,773
"Paf1","Paf1",0,112,1,89,172,196
"Timm50","Timm50",2506,320,705,593,213,303
"Med29","Med29",302,106,183,56,34,77
"Bicd1","Bicd1",0,0,0,69,246,182
"Ncstn","Ncstn",5750,330,0,203,263,400
"Pex19","Pex19",3164,308,402,151,128,706
"Crhr2","Crhr2",132,0,3,27,45,75
"Cyp4f18","Cyp4f18",124,152,137,144,79,479
"Impdh1","Impdh1",1101,170,24,208,126,281
"Dusp3","Dusp3",399,372,666,277,220,369
"Ess2","Ess2",1459,0,95,36,70,122
"Slc25a1","Slc25a1",1600,904,422,324,208,636
"Dgcr6","Dgcr6",845,242,409,267,107,365
"Ddr1","Ddr1",0,0,0,0,34,29
"Ier3","Ier3",1874,411,400,1665,860,2462
"Klc4","Klc4",2904,841,822,750,283,587
"Ercc1","Ercc1",313,0,0,90,58,62
"As3mt","As3mt",0,0,0,38,201,176
"Homer3","Homer3",201,6,75,41,67,83
"Crtc1","Crtc1",245,69,76,198,146,173
"Rnf215","Rnf215",0,0,0,1,21,45
"Sec14l2","Sec14l2",201,18,219,13,17,64
"Aven","Aven",239,101,121,236,336,365
"Cp","Cp",0,0,0,12,58,39
"Crot","Crot",1037,0,231,141,178,378
"Rps6ka1","Rps6ka1",2787,761,815,382,272,830
"Snrnp200","Snrnp200",1387,316,812,234,562,990
"Ciao1","Ciao1",1285,312,368,1279,351,857
"Taf6l","Taf6l",366,0,0,28,124,131
"Insig2","Insig2",2486,885,1850,362,148,877
"Kpna6","Kpna6",1254,262,357,259,172,247
"Man1a","Man1a",1119,109,197,7,248,107
"Itpkc","Itpkc",0,0,0,56,13,127
"Coq8b","Coq8b",0,51,41,38,35,100
"Brd8","Brd8",451,256,78,374,518,498
"Kif20a","Kif20a",1321,243,204,99,114,247
"Farsa","Farsa",2266,331,634,422,189,352
"Gcdh","Gcdh",1433,0,145,30,77,201
"Mast2","Mast2",32,357,337,354,120,435
"Dnase2a","Dnase2a",3682,277,212,228,279,721
"Rad23a","Rad23a",1213,149,324,228,152,352
"Calr","Calr",23001,3165,6171,10555,4875,10817
"Syce2","Syce2",469,106,417,368,171,154
"Nfat5","Nfat5",3,0,1,68,285,254
"Nob1","Nob1",918,114,26,133,80,149
"Nqo1","Nqo1",234,0,0,117,110,192
"Ppfia3","Ppfia3",0,0,0,27,102,172
"Gys1","Gys1",1977,1295,1148,1151,393,952
"Ruvbl2","Ruvbl2",1317,316,398,176,176,123
"Bax","Bax",2840,595,892,732,308,915
"Il7r","Il7r",0,0,0,3,66,63
"Tfam","Tfam",1154,9,358,413,204,392
"Zfp81","Zfp81",0,195,1,76,280,149
"Mmd","Mmd",1034,185,100,4,28,127
"Fam162a","Fam162a",616,286,168,156,92,231
"Rpl8","Rpl8",7339,9301,10033,6310,2303,6985
"Fancl","Fancl",506,38,0,108,50,115
"Gstm5","Gstm5",393,372,389,122,66,153
"Gstm3","Gstm3",21,0,1,8,3,11
"Stat3","Stat3",5601,662,222,204,320,436
"Stat5a","Stat5a",528,190,0,56,139,120
"Map3k11","Map3k11",377,458,2,92,125,134
"Akt2","Akt2",977,907,842,259,153,380
"Dnaja3","Dnaja3",1604,449,816,488,211,330
"Hmox2","Hmox2",349,102,170,103,125,265
"Cdip1","Cdip1",1474,969,1085,432,395,938
"Map3k20","Map3k20",1925,591,485,137,390,465
"Cwc15","Cwc15",1262,290,448,518,158,397
"Col5a3","Col5a3",0,0,1,26,90,124
"Dnmt1","Dnmt1",3121,283,726,184,194,312
"Ppan","Ppan",1016,170,320,229,109,130
"Angptl2","Angptl2",1983,554,1113,331,192,1538
"Cacna1e","Cacna1e",0,0,0,186,451,399
"Cacna1b","Cacna1b",0,0,0,50,67,57
"Trmt10a","Trmt10a",0,144,5,190,128,102
"Etv1","Etv1",233,22,200,146,286,299
"Kifc2","Kifc2",0,0,0,0,29,9
"Psap","Psap",52594,8386,16091,6625,4190,11650
"Ikbkg","Ikbkg",1769,331,480,481,123,1352
"Wars2","Wars2",2,9,278,67,217,201
"Phb2","Phb2",4089,1390,1903,1653,605,1531
"Ptpn6","Ptpn6",6485,1413,2216,579,338,1245
"Eno2","Eno2",0,0,17,30,119,110
"Emg1","Emg1",782,686,445,640,379,579
"Lpcat3","Lpcat3",1749,140,184,294,63,339
"Atp6v1f","Atp6v1f",7759,1234,2334,2091,843,2471
"Clcn5","Clcn5",254,223,56,143,280,400
"Clcn3","Clcn3",979,149,0,77,330,446
"Pde1c","Pde1c",0,0,0,65,308,175
"Utp20","Utp20",0,369,0,38,191,92
"Spic","Spic",0,0,0,42,37,38
"Cul3","Cul3",1,218,51,10,102,69
"Large1","Large1",136,126,34,109,151,149
"Ddx56","Ddx56",2592,217,570,456,282,571
"Tmed4","Tmed4",3586,237,0,170,108,364
"Col26a1","Col26a1",0,0,0,39,108,113
"Bid","Bid",3172,395,497,515,137,355
"Ralb","Ralb",3080,1838,1822,955,473,938
