"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Ppp1cc","Ppp1cc",2122,1237,2002,586,317,938
"Dnajb11","Dnajb11",2160,1061,456,260,116,526
"Tbccd1","Tbccd1",0,331,3,12,71,185
"Clec11a","Clec11a",0,0,0,35,25,27
"Zfp324","Zfp324",0,0,0,23,212,127
"Gab2","Gab2",1577,80,0,738,325,267
"Coro1c","Coro1c",9336,1735,2106,653,372,870
"Tax1bp1","Tax1bp1",11644,348,2430,660,655,1220
"Ctse","Ctse",22,0,0,75,54,65
"Mettl17","Mettl17",148,108,0,1,114,129
"Arhgef40","Arhgef40",89,835,753,687,240,495
"Pnpla6","Pnpla6",11,0,0,51,91,117
"Mcoln1","Mcoln1",3576,254,411,293,247,481
"Arhgef18","Arhgef18",725,0,0,71,218,272
"Pkn2","Pkn2",485,78,221,223,253,435
"Cd33","Cd33",2757,151,843,15,176,550
"Etfb","Etfb",140,48,40,79,39,59
"Stxbp2","Stxbp2",6760,1373,1515,735,493,1469
"Sgce","Sgce",311,0,0,54,289,245
"Wwox","Wwox",0,19,0,107,87,181
"Slbp","Slbp",712,139,144,64,268,605
"Arid3b","Arid3b",0,0,0,41,96,179
"Cnn2","Cnn2",0,0,0,14,67,62
"Polr2e","Polr2e",1689,259,454,675,362,648
"Abca13","Abca13",0,0,53,73,196,129
"Myo9b","Myo9b",3177,220,417,30,237,364
"Hdac9","Hdac9",0,0,0,44,187,184
"Ly9","Ly9",681,155,0,112,106,33
"Cd244a","Cd244a",0,0,0,56,242,243
"Adgre1","Adgre1",17706,3579,1633,1670,1102,3455
"Mtfp1","Mtfp1",294,98,0,1,42,50
"Rab23","Rab23",0,0,0,53,166,239
"Rab11a","Rab11a",1744,243,551,209,214,541
"Eif2b2","Eif2b2",1121,249,186,191,156,513
"Dlst","Dlst",1462,348,297,322,398,558
"Pgf","Pgf",0,0,2,1,27,76
"Ulk2","Ulk2",0,0,7,66,142,196
"Ccl24","Ccl24",0,0,0,44,5,2
"Dgkq","Dgkq",2,0,0,2,11,21
"Grap","Grap",0,0,0,0,20,13
"Chmp2b","Chmp2b",1349,161,433,156,43,215
"Plod3","Plod3",934,1075,450,243,113,193
"Ap1s1","Ap1s1",5118,1639,1393,1433,524,1394
"Srpk1","Srpk1",3782,521,597,451,464,619
"Pax3","Pax3",0,0,11,54,149,149
"Lbr","Lbr",409,0,243,49,198,130
"Prcc","Prcc",346,20,130,55,50,114
"Rrnad1","Rrnad1",558,37,113,258,359,342
"Hdgf","Hdgf",2229,387,1273,1039,627,1468
"Thop1","Thop1",1947,163,74,527,107,178
"Apba3","Apba3",909,171,166,141,73,308
"Pias4","Pias4",794,210,332,12,160,370
"Map2k1","Map2k1",1464,505,435,456,185,476
"Sgta","Sgta",3831,221,675,230,273,647
"Tmem242","Tmem242",420,202,214,285,174,452
"Dtx2","Dtx2",534,90,183,62,84,170
"Rasa4","Rasa4",0,65,22,23,175,147
"Hnrnpa2b1","Hnrnpa2b1",5209,1052,2601,1463,919,1688
"Ccdc130","Ccdc130",0,120,195,3,76,369
"Mri1","Mri1",3131,337,542,699,398,778
"Prkacb","Prkacb",1013,970,1029,489,355,523
"Sgsh","Sgsh",44,62,0,7,27,13
"Chd5","Chd5",0,0,10,12,63,42
"Cstb","Cstb",13001,2439,4387,4751,2005,5336
"Sh2b2","Sh2b2",853,118,419,93,92,209
"Pex5","Pex5",1212,1031,2064,357,129,504
"Jkamp","Jkamp",539,332,161,117,127,256
"Cd44","Cd44",3878,181,477,185,341,649
"Slc1a2","Slc1a2",0,0,42,92,241,110
"Eif2ak4","Eif2ak4",2524,396,687,244,506,577
"Wdr1","Wdr1",4814,538,1510,464,372,757
"Slc2a9","Slc2a9",838,0,166,3,54,138
"Ndrg1","Ndrg1",4209,242,527,148,114,226
"X4930550C14Rik","4930550C14Rik",0,0,0,0,21,3
"Man2b1","Man2b1",8006,1239,1261,369,318,1705
"Wdr83","Wdr83",873,127,45,93,96,121
"Prdx2","Prdx2",4618,1905,1408,1167,639,1242
"Polr2a","Polr2a",984,154,263,33,77,173
"Senp3","Senp3",317,394,9,371,150,69
"Plekha8","Plekha8",374,810,953,535,277,414
"Spc25","Spc25",426,115,1012,212,184,206
"Dnah2","Dnah2",0,0,1,64,127,187
"Ufd1","Ufd1",1066,82,199,71,129,313
"Zfp287","Zfp287",0,6,4,8,45,87
"Prlr","Prlr",0,0,144,153,178,180
"Letm1","Letm1",761,10,270,242,169,324
"Ubqln1","Ubqln1",1592,734,2085,810,417,725
"Fgfr4","Fgfr4",1,6,18,99,79,142
"Txn2","Txn2",3421,1540,1988,1967,783,1746
"Slc1a3","Slc1a3",0,0,12,144,432,285
"Crbn","Crbn",1087,0,147,23,228,272
"Msh6","Msh6",1080,484,71,65,144,134
"Fbxo11","Fbxo11",0,17,129,13,40,94
"Mlxipl","Mlxipl",0,0,0,29,33,50
"Tbl2","Tbl2",296,1542,492,370,100,649
"Bud23","Bud23",1107,106,308,410,132,277
"Mcm5","Mcm5",858,604,574,1329,297,1172
"Hmox1","Hmox1",12284,2406,3618,2188,1484,2937
"Mprip","Mprip",39,656,668,300,444,780
"Cic","Cic",88,1326,677,261,89,295
"Il27ra","Il27ra",0,0,0,20,104,107
"Prkaca","Prkaca",430,106,136,159,145,240
"Asf1b","Asf1b",1354,0,21,116,153,209
"Ddx39","Ddx39",3519,371,982,1009,488,1177
"Dnajb1","Dnajb1",727,138,225,114,107,188
"Usp40","Usp40",800,470,68,292,516,419
"Kbtbd4","Kbtbd4",282,83,134,57,152,101
"Celf1","Celf1",1856,400,518,517,368,503
"Ndufs3","Ndufs3",2593,734,827,782,392,772
"Por","Por",7791,1635,153,326,413,699
"Igf1r","Igf1r",26,13,101,170,363,316
"Insr","Insr",0,153,403,125,356,241
"Trim28","Trim28",1095,1275,756,350,338,556
"Ube2m","Ube2m",281,67,386,127,212,245
"Adcy9","Adcy9",181,0,68,52,78,37
"Mef2c","Mef2c",474,255,459,80,273,272
"Ctr9","Ctr9",2678,0,239,170,210,428
"Eif4g2","Eif4g2",16597,3157,4068,2207,1542,3347
"Pcyt1a","Pcyt1a",857,57,344,551,152,491
"Zfp592","Zfp592",997,0,0,73,56,34
"Psmd4","Psmd4",6487,1351,2203,1249,841,1684
"Tmod4","Tmod4",0,0,0,34,37,97
"Snx6","Snx6",3084,1079,1246,408,264,661
"Mthfd2","Mthfd2",4043,1161,1121,931,353,979
"Kit","Kit",0,0,0,5,134,102
"Tomm40l","Tomm40l",286,129,144,85,57,90
"Apoa2","Apoa2",0,0,0,0,1,1
"Pan2","Pan2",552,19,0,14,151,304
"Cs","Cs",5764,892,1695,987,433,918
"Ampd3","Ampd3",2078,462,345,17,168,294
"Bcas2","Bcas2",4878,713,892,1249,759,1225
"Ctcf","Ctcf",627,98,432,103,220,140
"Pard6a","Pard6a",185,17,7,0,14,47
"Tfap4","Tfap4",0,42,0,9,21,25
"Ranbp1","Ranbp1",1470,118,277,429,143,454
"Rfx5","Rfx5",332,0,0,8,43,57
"Psmb4","Psmb4",4523,1705,2477,1825,808,2021
"Mmp8","Mmp8",256,100,0,1,16,16
"Slc30a4","Slc30a4",161,486,596,228,104,387
"Sqor","Sqor",2775,73,712,295,277,327
"Bloc1s6","Bloc1s6",1114,377,538,342,263,384
"Metap1","Metap1",2441,136,286,212,206,181
"Gpr108","Gpr108",2687,452,352,162,238,781
"Tnfsf14","Tnfsf14",0,119,0,7,18,38
"Rsl1d1","Rsl1d1",4074,855,1118,482,322,811
"Apc","Apc",122,29,0,239,164,212
"Reep5","Reep5",1358,593,513,352,167,408
"Ergic3","Ergic3",6250,1121,951,534,460,1327
"Uqcc1","Uqcc1",1253,631,933,742,506,441
"Ncoa2","Ncoa2",886,12,0,125,255,168
"Nr2c2","Nr2c2",0,500,634,80,154,180
"Nr2c1","Nr2c1",198,0,171,272,38,101
"Smpd4","Smpd4",0,33,1,34,343,262
"Pex1","Pex1",439,157,0,57,113,137
"Kctd20","Kctd20",2098,1615,1995,702,251,673
"Ctns","Ctns",2049,359,0,11,74,236
"Shpk","Shpk",0,0,0,0,13,4
"Ephb3","Ephb3",775,0,0,3,41,246
"Tuft1","Tuft1",425,0,1,61,101,282
"Rcn1","Rcn1",368,385,499,243,114,124
"Dnase1","Dnase1",106,0,0,0,9,1
"Trap1","Trap1",3321,668,925,199,364,940
"Naa60","Naa60",720,71,0,30,23,288
"X1700037C18Rik","1700037C18Rik",82,35,0,55,67,60
"Ankrd13d","Ankrd13d",0,0,261,72,13,24
"Tpr","Tpr",1844,722,179,786,624,1306
"Odr4","Odr4",2318,292,8,100,218,285
"Prg4","Prg4",0,0,0,17,83,28
"Dhx34","Dhx34",778,155,0,14,114,49
"Kptn","Kptn",222,91,0,55,130,39
"Napa","Napa",7964,761,1226,1316,412,1463
"Sra1","Sra1",2106,155,517,309,271,501
"Atp5g1","Atp5g1",3158,1959,2417,2246,946,2899
"Snf8","Snf8",666,367,300,915,300,791
"Tbcb","Tbcb",1398,426,427,207,145,377
"Inpp5k","Inpp5k",1284,122,0,5,104,159
"Crkl","Crkl",531,281,250,209,166,159
"Clint1","Clint1",1793,439,4,103,132,398
"Prss16","Prss16",0,98,376,35,15,39
"Cdkal1","Cdkal1",382,116,296,70,186,218
"X5430419D17Rik","5430419D17Rik",0,0,0,45,146,201
"Htra1","Htra1",19,130,190,125,86,207
"Zbtb17","Zbtb17",760,152,229,277,72,327
"Fblim1","Fblim1",4152,510,262,579,214,1034
"Hspb7","Hspb7",0,100,0,60,12,61
"Ccdc159","Ccdc159",260,122,40,16,45,37
"Mob1b","Mob1b",130,5,42,82,160,157
"Atp6v1b2","Atp6v1b2",25165,11330,13644,2925,2031,6180
"Eps15l1","Eps15l1",164,289,257,143,113,200
"Tep1","Tep1",1059,91,473,320,208,492
"Ttc5","Ttc5",1491,0,558,163,190,192
"Osgep","Osgep",948,59,249,169,162,410
"Aamp","Aamp",4605,422,295,549,318,966
"Tmbim1","Tmbim1",3105,1185,458,285,304,764
"Arpc2","Arpc2",12519,2142,3847,1976,1309,2810
"Kmt2b","Kmt2b",0,0,0,36,94,160
"Zbtb32","Zbtb32",0,51,0,131,27,46
"Tmem147","Tmem147",1133,543,722,321,270,841
"Rps9","Rps9",12057,7701,8746,6131,2043,5688
"Tfpt","Tfpt",232,96,0,58,64,121
"Susd2","Susd2",0,0,0,7,102,33
"Ggt5","Ggt5",0,0,0,20,105,185
"Cbfa2t3","Cbfa2t3",0,0,5,25,131,76
"Fbln1","Fbln1",777,0,104,13,23,76
"Pgrmc1","Pgrmc1",777,72,369,1,75,124
"Gcat","Gcat",73,24,22,38,34,16
"Elovl1","Elovl1",3154,315,379,194,139,415
"Med8","Med8",366,586,660,444,220,679
"Hyi","Hyi",317,16,91,52,95,152
"Cdc20","Cdc20",909,261,1170,279,193,627
"Adamts4","Adamts4",467,0,0,4,138,102
"Nectin4","Nectin4",0,0,41,29,83,54
"Pfdn2","Pfdn2",1181,241,105,292,119,409
"Rnf114","Rnf114",3423,676,816,413,387,656
"C330007P06Rik","C330007P06Rik",2604,279,742,166,214,572
"Neurl1a","Neurl1a",8,0,0,8,73,109
"Srm","Srm",3614,5344,3650,2141,746,1929
"Epha2","Epha2",0,0,0,5,21,5
"Rbm14","Rbm14",554,157,184,23,130,52
"Actn3","Actn3",0,0,0,32,57,101
"A530013C23Rik","A530013C23Rik",0,0,0,35,23,10
"Zdhhc24","Zdhhc24",1095,16,14,1,70,182
"Bbs1","Bbs1",0,8,0,173,57,275
"Ndor1","Ndor1",153,17,54,79,30,138
"Nsmf","Nsmf",0,0,3,87,48,77
"Pdk1","Pdk1",1635,2217,1281,788,334,649
"Ptbp1","Ptbp1",2607,314,1178,176,237,740
"Mvd","Mvd",2849,740,855,559,218,821
"Cyba","Cyba",33890,5952,9068,4847,2677,7778
"Tmem110","Tmem110",0,66,219,68,169,223
"Sfmbt1","Sfmbt1",58,218,387,55,143,197
"Rundc3a","Rundc3a",131,0,311,82,37,59
"Slc4a3","Slc4a3",0,0,0,62,111,129
"Cdt1","Cdt1",569,247,474,107,84,427
"Aprt","Aprt",5318,1376,1291,1647,595,1400
"Gtf2h1","Gtf2h1",1798,926,1035,588,277,798
"Hfe","Hfe",519,231,105,1,64,452
"Slc5a6","Slc5a6",0,253,0,89,21,2
"Qrich1","Qrich1",3443,253,464,122,240,357
"Usp19","Usp19",3747,863,917,369,211,477
"Pola1","Pola1",488,8,365,112,196,163
"Cdc42","Cdc42",10550,894,2340,1207,755,1726
"Pknox1","Pknox1",515,1072,718,179,264,625
"Gmnn","Gmnn",434,124,130,210,98,168
"Acot13","Acot13",517,228,191,212,76,250
"Zfp184","Zfp184",0,0,24,91,26,1
"Cdk4","Cdk4",8477,1552,3522,1437,863,2288
"B4galnt1","B4galnt1",1646,391,0,173,126,621
"Mettl1","Mettl1",263,67,275,108,140,236
"Tspan31","Tspan31",2611,176,471,200,200,306
"Kif5b","Kif5b",995,120,180,126,337,245
"Saal1","Saal1",419,26,6,120,141,319
"Tph2","Tph2",0,18,151,31,29,16
"Cnp","Cnp",1,0,193,43,83,18
"Ttc25","Ttc25",18,142,118,120,124,264
"Sulf2","Sulf2",3732,467,380,185,282,333
"Sod2","Sod2",2459,539,1005,903,659,1261
"Tmco6","Tmco6",238,0,0,14,35,28
"Stambp","Stambp",381,84,53,98,206,171
"Ezh1","Ezh1",1207,222,725,56,145,193
"Hap1","Hap1",135,178,0,6,28,26
"Ctnnb1","Ctnnb1",16088,2319,3315,1486,1158,3688
"Eif1b","Eif1b",252,591,559,211,140,468
"Psmd2","Psmd2",19219,2208,3644,2105,1216,3131
"Syngr3","Syngr3",0,0,0,16,23,19
"Vars","Vars",5159,1310,681,296,375,1085
"Hspa1l","Hspa1l",0,14,1,0,2,0
"Msh5","Msh5",23,0,29,22,100,168
"Abhd16a","Abhd16a",632,771,96,204,157,308
"Neu1","Neu1",6952,971,1992,416,459,1603
"Clic1","Clic1",6884,859,2228,1207,669,1725
"Lsm2","Lsm2",871,506,427,380,203,317
"Pole","Pole",0,0,0,62,293,181
"Stx1a","Stx1a",0,0,0,11,43,127
"Zfp775","Zfp775",0,0,0,1,32,131
"Mrpl49","Mrpl49",696,238,118,165,122,248
"Dennd2c","Dennd2c",0,137,0,131,357,356
"Mark3","Mark3",51,78,393,258,401,489
"Gatad1","Gatad1",209,415,255,184,161,273
"M6pr","M6pr",7509,698,2063,545,448,1177
"Lrrc8a","Lrrc8a",7,0,6,1,18,56
"Ppp2r1a","Ppp2r1a",5770,1309,1358,822,623,1162
"Fance","Fance",598,143,2,18,45,118
"Tinf2","Tinf2",515,19,29,284,103,202
"Hapln4","Hapln4",0,33,622,48,35,19
"Dus3l","Dus3l",630,0,246,234,61,123
"Gtpbp3","Gtpbp3",0,0,0,15,75,102
"Tgfbr1","Tgfbr1",0,18,263,30,76,46
"Homer1","Homer1",461,1,25,21,108,114
"Rad51c","Rad51c",0,0,0,0,30,12
"Arpp19","Arpp19",1079,250,501,640,334,620
"Bcl2l1","Bcl2l1",1340,298,645,174,249,469
"Khsrp","Khsrp",1056,34,398,94,145,224
"Ccdc124","Ccdc124",1009,238,512,499,148,310
"Cct4","Cct4",5951,5292,4338,1789,674,1447
"X0610009B22Rik","0610009B22Rik",645,135,203,58,55,209
"Cpt1c","Cpt1c",81,26,0,98,178,96
"Zfp655","Zfp655",1388,949,634,178,382,669
"Rhoa","Rhoa",3191,341,787,494,312,790
"Zmiz1","Zmiz1",1725,27,36,128,164,378
"Ankrd26","Ankrd26",256,132,33,68,126,175
"Aldh16a1","Aldh16a1",1418,185,0,209,39,371
"Hnrnpa0","Hnrnpa0",155,88,79,79,82,147
"Prrg2","Prrg2",0,0,0,25,16,77
"Hnrnph1","Hnrnph1",828,337,205,90,126,189
"Ift43","Ift43",97,171,64,98,51,120
"Id3","Id3",0,0,0,176,48,182
"Arid1a","Arid1a",464,4,495,164,122,196
"Ctsd","Ctsd",110981,17419,24110,6793,5269,22135
"Rplp1","Rplp1",4646,6406,6556,6636,2425,6698
"Abhd8","Abhd8",464,141,49,386,200,190
"Ift22","Ift22",1286,304,168,277,188,316
"Mid1ip1","Mid1ip1",1265,420,187,219,84,196
"Ap2s1","Ap2s1",2498,400,1054,688,311,923
"Fgfrl1","Fgfrl1",0,0,0,13,5,5
"X4930432K21Rik","4930432K21Rik",329,0,0,8,19,16
"Emc10","Emc10",933,165,513,320,112,343
"Clstn3","Clstn3",79,0,2,5,41,17
"Fbxw9","Fbxw9",174,0,270,21,45,68
"Fnbp4","Fnbp4",526,0,0,101,236,137
"Cers4","Cers4",0,0,0,49,103,113
"Scrn3","Scrn3",447,12,1,77,122,202
"Phax","Phax",713,221,329,188,103,184
"Tle1","Tle1",0,3,121,12,79,92
"Relt","Relt",0,495,0,176,60,320
"Snrpb2","Snrpb2",1213,50,467,90,144,141
"Ubc","Ubc",6778,962,1681,1082,512,1429
"Prpf31","Prpf31",1260,22,476,562,228,381
"Sertad1","Sertad1",144,65,209,0,19,0
"Carhsp1","Carhsp1",705,12,598,19,42,100
"Elk3","Elk3",52,108,592,85,37,41
"Herpud2","Herpud2",580,157,223,7,79,217
"Rdh13","Rdh13",196,0,5,56,162,301
"Nutf2","Nutf2",1336,308,915,432,233,515
"Arpc5","Arpc5",12622,2021,2765,2225,1094,2106
"Elavl2","Elavl2",0,0,0,39,189,167
"Pou2f2","Pou2f2",105,0,59,67,29,15
"Mgst1","Mgst1",5751,533,719,1022,291,1099
"Nfib","Nfib",0,0,3,27,254,152
"Ubqln4","Ubqln4",834,383,101,299,128,296
"Rps18","Rps18",19931,21006,21146,12281,4784,13618
"Rpl10","Rpl10",12236,6908,8072,4228,2160,6037
"Rps15a","Rps15a",3934,3340,4303,2661,902,2777
"Ncaph2","Ncaph2",861,970,863,524,273,703
"Hipk1","Hipk1",1223,875,514,594,660,660
"Gprc5b","Gprc5b",141,0,11,3,51,32
"Man1a2","Man1a2",1501,220,254,108,331,436
"Acyp1","Acyp1",292,5,82,29,35,27
"Hdac5","Hdac5",977,252,612,121,100,333
"Rala","Rala",405,513,469,267,116,258
"Vdac3","Vdac3",3299,440,685,1283,626,961
"Vps72","Vps72",1464,216,444,419,485,714
"Gabpa","Gabpa",785,144,0,48,85,78
"Dynll1","Dynll1",2912,889,986,1646,636,1968
"Pdcl","Pdcl",581,298,0,80,53,239
"Tmem184b","Tmem184b",3458,418,337,76,120,93
"Nf2","Nf2",431,184,256,404,209,691
"Zmat5","Zmat5",245,52,53,34,58,84
"Ewsr1","Ewsr1",5424,726,1927,317,420,1078
"Ap1b1","Ap1b1",3264,1049,1148,218,294,526
"Gnat2","Gnat2",0,0,0,4,18,2
"Bcl2l13","Bcl2l13",458,1006,638,147,84,315
"Dqx1","Dqx1",0,16,12,12,59,39
"Ccl8","Ccl8",0,0,0,0,1,0
"Lnpk","Lnpk",606,102,0,24,95,56
"Pttg1ip","Pttg1ip",2072,596,174,348,196,259
"Trpm2","Trpm2",24,36,39,40,129,179
"Ube2g2","Ube2g2",432,414,857,635,189,468
"Met","Met",0,0,0,34,133,98
"Syn2","Syn2",0,75,0,1,60,52
"Elk1","Elk1",441,62,8,153,89,205
"Nav1","Nav1",20,31,186,211,375,604
"Tnpo1","Tnpo1",1904,223,183,113,287,458
"Rnmt","Rnmt",2485,511,511,95,286,457
"Srp14","Srp14",3600,834,1146,601,484,1418
"Cdk9","Cdk9",2889,468,464,183,383,944
"Tor2a","Tor2a",491,265,473,49,92,157
"Fpgs","Fpgs",551,0,0,0,41,14
"Mrtfb","Mrtfb",2258,11,206,35,178,99
"Cbx5","Cbx5",918,4440,1353,938,587,873
"Apobec3","Apobec3",548,120,198,137,209,250
"Sardh","Sardh",0,59,0,68,71,73
"Vav2","Vav2",467,176,199,22,118,270
"Ppp2cb","Ppp2cb",99,147,88,274,99,298
"Dmap1","Dmap1",490,76,453,79,86,156
"Mcu","Mcu",744,108,126,132,137,156
"Oit3","Oit3",863,6,275,88,84,187
"Bcr","Bcr",1,0,0,119,159,179
"Fxyd5","Fxyd5",16645,2337,5496,1958,1000,2500
"Tfcp2","Tfcp2",0,252,2,59,175,147
"Ubp1","Ubp1",180,43,330,155,117,14
"Nuak2","Nuak2",770,162,375,225,117,370
"Ick","Ick",345,0,0,26,149,114
"Sdhb","Sdhb",4491,1073,1159,1134,592,1578
"Snap47","Snap47",1024,383,97,407,183,394
"Kdsr","Kdsr",723,0,144,111,150,191
"Vps4b","Vps4b",1642,415,1517,365,345,573
"Rps25","Rps25",5845,5088,5528,3807,1490,3840
"Taz","Taz",1528,87,226,97,111,158
"Kif19a","Kif19a",73,16,0,10,30,58
"Aldh3a2","Aldh3a2",577,3,0,114,42,91
"Tmem115","Tmem115",935,382,4,0,109,221
"Hyal2","Hyal2",1145,0,211,96,86,60
"Ifrd2","Ifrd2",114,272,370,279,57,356
"Hyal1","Hyal1",1892,77,47,31,53,117
"Tusc2","Tusc2",782,181,592,315,67,446
"Nprl2","Nprl2",447,0,175,49,20,4
"Rassf1","Rassf1",535,11,76,0,46,127
"Slc3a2","Slc3a2",10280,698,1628,1077,629,1291
"Nxf1","Nxf1",1207,190,0,195,41,230
"Stx5a","Stx5a",1313,507,331,272,435,639
"Tnfrsf13b","Tnfrsf13b",339,456,97,19,76,105
"Spire2","Spire2",0,101,9,29,44,101
"X2610507B11Rik","2610507B11Rik",4463,285,881,240,226,1041
"AI597479","AI597479",32,5,312,116,59,81
"Tmem86a","Tmem86a",1343,155,156,0,34,134
"Tex14","Tex14",166,3,0,14,111,72
"Ifi35","Ifi35",643,90,104,251,157,444
"Rdm1","Rdm1",0,0,112,79,51,121
"Nedd8","Nedd8",2485,501,647,628,281,830
"Gosr1","Gosr1",643,476,5,267,89,329
"Mrpl52","Mrpl52",1387,540,801,939,367,944
"Kansl3","Kansl3",524,273,754,287,144,476
"Eya4","Eya4",0,71,0,144,167,245
"Faf1","Faf1",1040,97,80,85,244,139
"Tsacc","Tsacc",30,0,26,35,17,48
"Mettl16","Mettl16",716,2,0,288,188,310
"Pigyl","Pigyl",317,17,175,63,12,112
"Rbm25","Rbm25",594,391,224,2241,1113,2194
"Psen2","Psen2",1721,137,405,119,63,167
"Plcd1","Plcd1",0,0,0,0,0,0
"Fads1","Fads1",7143,2456,2041,640,434,1382
"Lmbr1","Lmbr1",0,0,0,24,90,112
"Tnfrsf22","Tnfrsf22",590,386,629,58,100,218
"Cars","Cars",3145,619,831,169,249,423
"Phlda2","Phlda2",108,0,0,0,9,1
"Kdelr3","Kdelr3",581,147,0,42,36,109
"Apip","Apip",633,169,108,89,127,268
"Pdhx","Pdhx",2813,158,569,524,303,396
"Vac14","Vac14",3496,325,495,255,255,1243
"Mcoln2","Mcoln2",1165,13,723,240,110,417
"Akt1s1","Akt1s1",359,168,244,332,99,321
"Tbrg1","Tbrg1",1524,813,1015,574,195,821
"Adssl1","Adssl1",3353,1218,637,449,216,454
"Brf1","Brf1",1083,433,319,66,144,249
"Odc1","Odc1",1099,9465,7649,7500,2615,7094
"Thg1l","Thg1l",1,0,2,101,136,276
"Pabpc4","Pabpc4",535,2619,2942,1240,541,1790
"Exoc3l2","Exoc3l2",0,0,0,11,54,11
"Zfp296","Zfp296",0,0,227,9,7,5
"Sugp1","Sugp1",1777,266,566,226,188,588
"Dhdh","Dhdh",471,11,17,55,96,104
"Zfp790","Zfp790",551,117,0,57,82,36
"Fuz","Fuz",149,0,0,1,24,17
"Sptbn4","Sptbn4",0,0,38,7,72,55
"Pgam1","Pgam1",11830,2434,3408,2266,1425,2867
"Evi5","Evi5",0,7,0,365,111,534
"Evi5l","Evi5l",17,0,155,23,117,179
"Snapc2","Snapc2",163,54,249,161,68,177
"Git1","Git1",1019,46,102,44,93,284
"Gltp","Gltp",4030,777,1884,866,508,1078
"Bnip2","Bnip2",1068,277,375,255,191,435
"Ccnt1","Ccnt1",940,1119,670,566,610,750
"Brms1l","Brms1l",0,30,14,4,118,161
"Med15","Med15",393,91,340,230,479,518
"Dhdds","Dhdds",3011,136,489,165,134,134
"Crybg2","Crybg2",0,0,0,73,79,204
"Ubxn11","Ubxn11",0,92,0,18,23,100
"Tjap1","Tjap1",274,0,76,32,19,173
"Rpl15","Rpl15",5264,3437,3076,2094,1072,2934
"Tmem167","Tmem167",979,940,1556,686,379,818
"Mplkip","Mplkip",116,263,0,25,6,96
"Kif11","Kif11",445,0,532,55,194,164
"Rpa3","Rpa3",235,0,38,9,32,83
"Mlkl","Mlkl",749,118,20,392,198,373
"Tnpo3","Tnpo3",1917,441,392,326,554,443
"Ttll5","Ttll5",89,0,0,62,187,439
"Zfp715","Zfp715",0,96,366,66,72,116
"Retn","Retn",22,32,47,19,15,36
"Cdh23","Cdh23",0,0,22,98,140,67
"Rps5","Rps5",7904,5283,5435,4109,1542,4646
"Adgrl1","Adgrl1",0,95,39,24,43,45
"Amotl1","Amotl1",496,2711,3012,526,377,1582
"X2200002J24Rik","2200002J24Rik",154,25,0,9,7,35
"Etv5","Etv5",511,390,28,97,90,291
"Gfod2","Gfod2",8,14,82,46,39,66
"Enkd1","Enkd1",390,19,130,40,112,164
"Atp6v0d1","Atp6v0d1",7231,1218,1415,428,459,1512
"Ptprs","Ptprs",1020,442,622,99,303,259
"Slc41a1","Slc41a1",1076,257,0,26,58,49
"Igf2bp1","Igf2bp1",0,0,0,42,124,114
"B4galnt2","B4galnt2",0,0,12,10,37,14
"Nelfb","Nelfb",1711,3,221,293,318,629
"Card14","Card14",4097,253,95,151,110,235
"Tmem175","Tmem175",659,0,418,1,58,169
"Tango2","Tango2",2162,405,187,275,212,263
"Ndufs2","Ndufs2",8226,1520,1732,1368,634,2177
"Atraid","Atraid",899,214,197,281,130,220
"Cad","Cad",2129,803,136,183,225,165
"Sh3bp5l","Sh3bp5l",1175,56,242,35,84,25
"Atad1","Atad1",645,0,487,238,159,72
"Pten","Pten",1202,288,1022,446,309,347
"Pea15a","Pea15a",3396,985,877,403,322,715
"Timm23","Timm23",2400,866,1142,1140,395,1081
"Tnfaip8l2","Tnfaip8l2",3869,1571,2091,776,421,1352
"Trnt1","Trnt1",677,217,879,267,93,76
"Ehmt2","Ehmt2",1441,1719,1265,436,297,524
"Elof1","Elof1",307,379,271,336,163,431
"Med16","Med16",6,315,1,52,158,200
"St3gal1","St3gal1",0,0,0,20,89,73
"Tmem259","Tmem259",0,124,125,98,56,84
"Rnf170","Rnf170",166,41,368,39,118,195
"Myl2","Myl2",0,0,0,55,32,21
"Dedd","Dedd",14,9,0,20,167,160
"Mcemp1","Mcemp1",0,0,0,109,49,33
"Nit1","Nit1",760,152,448,76,126,300
"Prdm15","Prdm15",0,0,0,90,248,217
"Rnf168","Rnf168",537,39,0,16,150,78
"Tctex1d2","Tctex1d2",680,25,82,239,136,141
"Chp1","Chp1",751,760,268,236,198,571
"Trpv4","Trpv4",0,0,360,1,13,5
"Tvp23b","Tvp23b",1085,277,374,88,51,102
"Dnajc7","Dnajc7",1187,486,340,105,147,273
"Zfp385c","Zfp385c",0,0,0,13,23,49
"Cacybp","Cacybp",3168,1454,1416,1247,617,961
"Cluap1","Cluap1",0,0,0,47,12,32
"Zswim7","Zswim7",90,41,170,209,24,132
"Pigl","Pigl",271,1,1,13,25,70
"Ndufa2","Ndufa2",2190,828,1203,1550,634,1851
"Pam16","Pam16",599,174,260,203,80,239
"Cox6c","Cox6c",7221,1371,2504,2499,883,2666
"Bicc1","Bicc1",0,0,0,111,148,222
"Ube2z","Ube2z",1080,627,501,437,215,292
"Tmem87b","Tmem87b",1278,310,350,59,135,92
"Anapc1","Anapc1",5683,1522,2938,971,659,985
