"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Prss46","Prss46",356,91,259,0,0,144
"Mmp12","Mmp12",670,0,0,0,104,0
"Zfp668","Zfp668",0,0,1,77,323,0
"Zfp646","Zfp646",0,53,0,303,28,443
"Arhgap15","Arhgap15",0,0,16,0,0,0
"Rpl36al","Rpl36al",1,19,53,15,9,1
"Zfp672","Zfp672",0,61,27,157,19,28
"X2410015M20Rik","2410015M20Rik",2939,587,1220,405,255,1381
"Zfp280b","Zfp280b",133,791,572,1509,1346,344
"Tmsb4x","Tmsb4x",19314,3720,6830,1426,1925,10760
"Fzd4","Fzd4",0,0,0,89,0,1
"Bag5","Bag5",1801,136,314,520,627,190
"Sertad2","Sertad2",192,0,0,24,59,0
"Arhgap23","Arhgap23",166,7,0,0,0,1
"Fam161a","Fam161a",0,0,5,0,0,0
"Zbtb12","Zbtb12",0,21,3,4,2,3
"Ceacam19","Ceacam19",0,0,0,0,0,0
"Suox","Suox",0,0,0,0,0,0
"Arl4c","Arl4c",209,574,432,376,281,169
"Nlrc3","Nlrc3",1907,666,553,477,452,1393
"Rlf","Rlf",547,159,0,114,85,0
"X2810025M15Rik","2810025M15Rik",726,119,207,175,262,243
"Vcpkmt","Vcpkmt",25,2,13,28,14,0
"Stkld1","Stkld1",0,0,43,0,0,259
"Rasl11b","Rasl11b",0,0,0,14,0,0
"X2610318N02Rik","2610318N02Rik",0,245,219,334,341,312
"Slc35c1","Slc35c1",1650,446,217,160,53,0
"H2afx","H2afx",656,177,303,102,269,561
"Pgrmc2","Pgrmc2",374,115,33,181,113,395
"Rpp38","Rpp38",648,0,103,27,0,366
"Ccdc137","Ccdc137",47,182,32,248,0,135
"Mrps16","Mrps16",638,462,153,137,205,171
"Plekhf2","Plekhf2",685,216,578,817,289,506
"Ankrd55","Ankrd55",0,37,17,23,159,45
"Lrrc25","Lrrc25",38,33,20,20,20,38
"Idnk","Idnk",392,174,52,105,270,297
"Shisa3","Shisa3",4,9,0,0,0,0
"Pitpnb","Pitpnb",264,405,120,138,143,141
"Amz1","Amz1",2200,357,275,1035,1266,812
"Rap2c","Rap2c",0,0,410,81,39,42
"Fhl4","Fhl4",0,0,0,0,0,0
"Tmx2","Tmx2",2495,296,795,215,7,1180
"Zfp697","Zfp697",0,0,10,0,0,0
"Rspry1","Rspry1",200,146,402,181,140,423
"X1600012H06Rik","1600012H06Rik",677,115,176,181,229,182
"Hmx2","Hmx2",0,0,0,4,0,0
"Grrp1","Grrp1",0,0,0,0,0,0
"Tmc8","Tmc8",0,0,0,0,0,0
"Haspin","Haspin",520,12,131,137,1,21
"Sarm1","Sarm1",0,0,0,0,0,0
"Slc25a44","Slc25a44",1349,881,1349,770,215,1134
"Ubqln2","Ubqln2",68,12,58,10,21,1
"Lsm10","Lsm10",409,94,66,43,0,102
"Eif5a2","Eif5a2",81,0,0,128,6,0
"Lgr4","Lgr4",0,0,0,0,0,0
"Pla2g4e","Pla2g4e",0,0,0,0,0,0
"Snip1","Snip1",553,1,725,126,22,362
"Pigm","Pigm",354,389,204,212,0,35
"Cxcr3","Cxcr3",0,0,0,18,0,4
"Hic2","Hic2",0,0,0,48,86,105
