"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Olfml3","Olfml3",114,325,0,0,0,21
"Nras","Nras",3408,2921,3637,5726,3728,4507
"Sike1","Sike1",987,365,761,236,266,613
"Tshb","Tshb",0,0,0,0,0,0
"Vangl1","Vangl1",0,0,28,60,0,0
"Cd2","Cd2",173,0,0,0,0,0
"Ptgfrn","Ptgfrn",0,0,0,0,9,0
"Gdap2","Gdap2",1059,177,332,237,346,0
"Spag17","Spag17",0,0,1,0,0,0
"Tbx15","Tbx15",585,7,0,39,0,416
"Notch2","Notch2",1432,0,9,49,1,65
"Sec22b","Sec22b",1357,328,129,231,437,1043
"Prpf38b","Prpf38b",402,56,176,143,233,235
"Stxbp3","Stxbp3",665,0,0,83,88,156
"Gpsm2","Gpsm2",928,176,0,12,99,1232
"Clcc1","Clcc1",2296,436,764,345,112,1278
"Ampd2","Ampd2",1510,187,631,730,350,1141
"Gstm4","Gstm4",759,197,0,17,169,225
"Ahcyl1","Ahcyl1",5542,564,594,65,107,1175
"Slc6a17","Slc6a17",912,1,80,8,1,0
"Dram2","Dram2",2985,463,913,506,362,854
"Dennd2d","Dennd2d",331,86,0,0,28,288
"Ddx20","Ddx20",1962,605,1077,882,404,22
"S100a11","S100a11",2640,496,678,147,287,1246
"Ints3","Ints3",730,313,114,156,0,0
"Rab13","Rab13",0,0,153,49,13,114
"Crtc2","Crtc2",436,0,0,199,194,383
"Jtb","Jtb",1871,1132,809,1539,962,1963
"Creb3l4","Creb3l4",219,0,0,0,0,82
"Nup210l","Nup210l",0,40,0,8,14,447
"Tpm3","Tpm3",10095,2157,2397,1669,1168,3326
"X4933434E20Rik","4933434E20Rik",2170,4738,4192,5203,4626,1961
"Hax1","Hax1",7002,1200,847,567,0,1985
"Il6ra","Il6ra",540,41,74,184,77,22
"Chrnb2","Chrnb2",0,0,3,0,0,0
"Adar","Adar",1616,174,0,100,150,0
"Pmvk","Pmvk",878,238,141,501,152,331
"Slc50a1","Slc50a1",793,54,439,186,188,125
"Efna1","Efna1",0,0,165,0,0,0
"Fam198b","Fam198b",0,198,0,17,0,0
"Tmem144","Tmem144",359,374,226,124,0,0
"Slc35a3","Slc35a3",2638,327,29,75,0,0
"Sass6","Sass6",0,36,235,25,3,308
"Lrrc39","Lrrc39",0,111,0,0,0,0
"Vcam1","Vcam1",0,0,0,0,0,0
"Extl2","Extl2",144,0,0,1,170,286
"Col11a1","Col11a1",0,0,0,0,0,0
"Larp7","Larp7",324,65,0,114,234,0
"Rnpc3","Rnpc3",230,0,0,4,5,0
"Cyp2u1","Cyp2u1",0,1,0,0,0,0
"Hadh","Hadh",1004,619,311,253,161,354
"Lef1","Lef1",0,0,0,0,0,0
"Trim2","Trim2",0,7,7,5,0,0
"Mcub","Mcub",891,149,0,81,0,119
"Tlr2","Tlr2",1423,497,277,225,381,1398
"Casp6","Casp6",194,53,172,110,0,510
"Plrg1","Plrg1",688,281,545,78,345,510
"Pla2g12a","Pla2g12a",556,719,434,1064,900,582
"Snx7","Snx7",1158,270,196,46,98,1003
"Gar1","Gar1",621,102,131,130,48,170
"Tdo2","Tdo2",0,0,0,0,0,0
"Ppa2","Ppa2",897,199,342,696,401,484
"Ctso","Ctso",397,0,0,15,0,474
"Ints12","Ints12",1727,366,219,139,95,1027
"Egf","Egf",0,0,0,0,0,0
"Gstcd","Gstcd",0,0,311,25,0,208
"Alpk1","Alpk1",39,0,0,125,0,42
"Aimp1","Aimp1",925,245,349,606,273,644
"Tbck","Tbck",428,0,0,0,1,498
"Papss1","Papss1",554,143,444,113,0,0
"Fubp1","Fubp1",1263,177,267,192,308,525
"Dnajb4","Dnajb4",392,0,37,50,0,369
"Ifi44","Ifi44",0,0,0,0,0,0
"Efna3","Efna3",0,0,20,13,0,0
"Adam15","Adam15",7553,486,728,362,650,1258
"Zbtb7b","Zbtb7b",250,15,43,150,145,70
"Cks1b","Cks1b",1166,617,704,733,398,647
"Thbs3","Thbs3",0,0,0,0,0,1
"Gba","Gba",13796,1100,2958,799,1030,6900
"Scamp3","Scamp3",1975,500,560,225,89,1190
"Hcn3","Hcn3",25,30,0,16,0,0
"Ash1l","Ash1l",43,98,262,102,2,0
"Rit1","Rit1",1222,188,246,603,502,313
"Arhgef2","Arhgef2",2193,613,831,461,414,1438
"Khdc4","Khdc4",1561,126,328,8,1,389
"Lamtor2","Lamtor2",2404,508,762,416,315,1362
"Lmna","Lmna",17564,2341,2635,776,840,4969
"Sema4a","Sema4a",1076,437,938,317,849,1229
"Pmf1","Pmf1",360,226,198,102,264,690
"Iqgap3","Iqgap3",2367,547,811,92,36,372
"Gpatch4","Gpatch4",266,418,221,219,609,441
"Naxe","Naxe",3142,234,1022,210,389,1157
"Pear1","Pear1",0,0,0,0,0,0
"Cd1d1","Cd1d1",0,0,0,0,0,370
"Dclk2","Dclk2",19,0,0,44,111,1
"Lrba","Lrba",0,0,26,2,151,0
"Rps3a1","Rps3a1",13114,16046,16595,20207,17491,17266
"Sh3d19","Sh3d19",0,0,0,0,0,0
"Gatb","Gatb",590,208,515,0,137,0
"Fbxw7","Fbxw7",165,14,283,25,0,195
"Fmo5","Fmo5",0,0,0,0,0,0
"Chd1l","Chd1l",812,0,206,0,0,0
"Acp6","Acp6",863,313,12,123,2,440
"Gpr89","Gpr89",700,561,171,186,150,754
"Rnf115","Rnf115",1488,656,546,349,266,586
"Polr3c","Polr3c",1220,0,0,45,46,309
"Pias3","Pias3",79,0,1,0,18,0
"Pex11b","Pex11b",203,44,273,77,88,223
"Polr3gl","Polr3gl",268,150,86,103,69,80
"Rprd2","Rprd2",811,195,10,141,229,509
"Tars2","Tars2",1874,1149,434,1049,1139,2762
"Ecm1","Ecm1",6755,741,872,119,75,2391
"Ctsk","Ctsk",283576,35034,56488,12242,17672,78582
"Mettl14","Mettl14",0,0,0,92,0,251
"Bcar3","Bcar3",373,117,0,0,276,0
"Gclm","Gclm",2193,477,603,334,182,388
"Abca4","Abca4",0,0,0,13,0,0
"Pip5k1a","Pip5k1a",1454,10,1019,376,255,970
"Abcd3","Abcd3",878,0,0,30,21,18
"Rwdd3","Rwdd3",0,0,0,4,0,0
"Ptbp2","Ptbp2",0,83,84,45,35,277
"Snx27","Snx27",802,1270,1943,2797,2377,1038
"Celf3","Celf3",0,0,2,0,0,0
"Adh5","Adh5",4116,1026,1557,723,545,1564
"Mrpl9","Mrpl9",974,1186,962,1425,1163,1605
"Oaz3","Oaz3",0,0,0,1,0,0
"Them4","Them4",24,0,151,40,0,0
"Rap1gds1","Rap1gds1",1696,1062,774,1348,1815,1195
"Rorc","Rorc",18,4,17,0,0,0
"Tspan5","Tspan5",630,919,1803,1167,1541,816
"Eif4e","Eif4e",4170,333,834,662,523,1424
"Mttp","Mttp",13,0,45,0,0,14
"Dapp1","Dapp1",247,78,0,44,205,0
"Ppp3ca","Ppp3ca",786,143,622,6,61,48
"Nfkb1","Nfkb1",0,0,251,188,171,384
"Manba","Manba",2717,328,391,145,236,582
"Cisd2","Cisd2",608,238,218,363,127,392
"Bdh2","Bdh2",1,0,0,34,0,0
"Wls","Wls",1585,622,451,178,10,741
"Depdc1a","Depdc1a",0,0,0,0,19,0
"Lrrc7","Lrrc7",0,0,0,0,7,0
"X1810013D15Rik","1810013D15Rik",0,1,0,1,3,2
"Cth","Cth",1299,0,0,0,0,271
"Zranb2","Zranb2",1192,448,772,178,70,944
"Lrriq3","Lrriq3",0,0,0,0,0,0
"Adgrl2","Adgrl2",180,0,1,25,0,0
"Rpf1","Rpf1",821,98,345,31,0,332
"Spata1","Spata1",51,0,149,0,0,118
"Ctbs","Ctbs",233,30,183,0,92,470
"Bcl10","Bcl10",1280,259,715,239,355,361
"Ddah1","Ddah1",242,163,3,200,104,7
"Cryz","Cryz",546,113,1,0,102,31
"Asph","Asph",90,160,822,314,199,60
"Trp53inp1","Trp53inp1",0,3,62,102,2,391
"Ccne2","Ccne2",0,0,0,0,0,287
"Fam92a","Fam92a",490,86,41,85,110,66
"Pip4p2","Pip4p2",1351,173,305,183,60,49
"Decr1","Decr1",0,0,0,0,0,0
"Nbn","Nbn",6,40,0,0,0,0
"Cpne3","Cpne3",423,192,291,45,11,695
"Rmdn1","Rmdn1",202,109,155,13,114,0
"Tmem68","Tmem68",223,0,0,0,0,3
"Tgs1","Tgs1",713,20,250,54,0,93
"Rps20","Rps20",2343,2771,3015,3623,3430,3554
"Atp6v0d2","Atp6v0d2",2702,427,834,226,523,1131
"Ubxn2b","Ubxn2b",41,0,136,1,0,0
"Nsmaf","Nsmaf",397,203,0,94,302,153
"Coq3","Coq3",800,81,0,54,0,45
"Pnisr","Pnisr",409,246,24,12,0,738
"Sdcbp","Sdcbp",15437,2041,2730,1403,608,8848
"Tstd3","Tstd3",294,65,191,33,128,0
"Ccnc","Ccnc",1492,0,271,23,0,238
"Odf2l","Odf2l",187,138,1,0,64,20
"Ndufaf4","Ndufaf4",0,4,0,167,242,71
"Lmo4","Lmo4",270,52,152,30,20,94
"Gbp3","Gbp3",380,0,0,31,0,0
"Gbp2","Gbp2",313,0,99,0,0,0
"Gtf2b","Gtf2b",1460,219,487,61,132,739
"Pdlim5","Pdlim5",651,184,847,343,100,182
"Rngtt","Rngtt",0,5,0,87,134,0
"Ube2j1","Ube2j1",1445,270,195,190,429,105
"Rragd","Rragd",0,0,4,22,21,0
"Casp8ap2","Casp8ap2",0,0,68,123,55,367
"Map3k7","Map3k7",540,1,4,497,208,65
"Akirin2","Akirin2",56,37,134,27,80,95
"Rars2","Rars2",61,91,492,47,0,448
"Slc35a1","Slc35a1",5,299,207,187,132,0
"Smim8","Smim8",301,39,0,41,19,0
"C9orf72","C9orf72",1061,330,47,243,157,49
"Rnf20","Rnf20",104,16,218,136,178,7
"Smc2","Smc2",517,15,0,7,87,483
"Polr1e","Polr1e",432,90,516,296,32,0
"Exosc3","Exosc3",1739,193,0,59,114,140
"Stra6l","Stra6l",407,707,0,59,178,1325
"Tmod1","Tmod1",1002,118,406,0,0,155
"Xpa","Xpa",106,29,186,41,0,53
"Ncbp1","Ncbp1",2125,525,398,1004,918,1024
"Trmo","Trmo",429,0,0,62,11,6
"Anp32b","Anp32b",4165,6075,8929,9338,6556,5882
"Nans","Nans",1784,708,549,197,126,671
"Coro2a","Coro2a",452,155,244,281,262,523
"Col15a1","Col15a1",0,21,0,4,0,0
"Erp44","Erp44",1579,343,474,585,288,545
"Invs","Invs",399,0,0,0,0,0
"Tex10","Tex10",541,4,8,99,4,22
"Zfp618","Zfp618",0,0,2,0,0,0
"Txn1","Txn1",3615,1241,2141,777,609,2362
"Svep1","Svep1",0,0,0,0,0,0
"Pappa","Pappa",0,0,44,0,0,0
"Astn2","Astn2",0,0,0,0,0,0
"Ptgr1","Ptgr1",2031,84,384,68,148,1239
"Ugcg","Ugcg",16,42,332,199,192,163
"Ptbp3","Ptbp3",1185,155,919,739,470,733
"Hsdl2","Hsdl2",572,121,111,0,0,0
"Snx30","Snx30",647,1632,1383,1630,1727,1649
"Wdr31","Wdr31",0,0,0,0,0,0
"Alad","Alad",448,158,403,366,126,848
"Pole3","Pole3",461,281,222,129,19,209
"X2310002L09Rik","2310002L09Rik",237,295,42,173,68,12
"Kdm4c","Kdm4c",528,0,0,149,278,100
"Dmac1","Dmac1",129,75,106,78,66,97
"Ptprd","Ptprd",0,9,1,0,0,0
"Zdhhc21","Zdhhc21",8,252,23,7,7,3
"Aco1","Aco1",1040,153,480,739,7,92
"Smim27","Smim27",2,20,12,18,4,19
"Smu1","Smu1",4684,293,1380,248,190,577
"Dnaja1","Dnaja1",2270,745,484,441,600,663
"Aptx","Aptx",0,418,212,161,185,0
"Slc44a1","Slc44a1",203,27,437,154,0,345
"B4galt1","B4galt1",653,132,172,147,74,2273
"Fktn","Fktn",0,159,0,0,118,0
"Bag1","Bag1",1557,2145,2062,2055,1771,1611
"Chmp5","Chmp5",2902,95,629,45,74,300
"Tmem38b","Tmem38b",1651,242,530,198,221,1184
"Nfx1","Nfx1",1490,438,15,535,60,668
"Rad23b","Rad23b",488,115,185,152,156,345
"Nol6","Nol6",1839,210,1,157,292,0
"Elp1","Elp1",677,38,498,47,16,780
"Ubap2","Ubap2",286,3806,2209,3391,2945,4584
"Epb41l4b","Epb41l4b",0,0,0,0,0,0
"Aqp3","Aqp3",429,0,96,0,0,144
"Dcaf12","Dcaf12",751,258,777,235,15,327
"Ubap1","Ubap1",4103,807,323,175,0,0
"Kif24","Kif24",114,11,4,31,5,6
"Fam219a","Fam219a",54,1,343,3,0,43
"Nudt2","Nudt2",150,113,37,20,62,292
"Enho","Enho",0,0,0,38,46,0
"Dctn3","Dctn3",2725,512,495,390,490,931
"Vcp","Vcp",8432,915,1689,877,570,2230
"Fancg","Fancg",0,0,350,109,0,126
"Pigo","Pigo",1459,210,0,11,0,0
"Stoml2","Stoml2",2314,813,783,320,446,1456
"Unc13b","Unc13b",23,0,0,0,0,0
"Tesk1","Tesk1",11,41,66,112,66,37
"Cd72","Cd72",973,197,294,13,10,171
"Ccdc107","Ccdc107",424,84,125,117,39,267
"Car9","Car9",182,0,0,0,0,0
"Tln1","Tln1",10132,570,2551,99,60,1452
"Creb3","Creb3",1797,1,139,111,0,389
"Gba2","Gba2",332,0,0,15,119,526
"Rgp1","Rgp1",201,59,283,85,61,1
"Hint2","Hint2",330,122,84,29,120,167
"Clta","Clta",2980,1789,2219,1945,1121,2414
"Gne","Gne",923,0,0,0,0,48
"Glipr2","Glipr2",354,205,244,309,94,409
"Snapc3","Snapc3",416,0,32,121,232,4
"Psip1","Psip1",132,34,244,111,46,135
"Plin2","Plin2",11662,2670,3584,2060,1628,4164
"Rps6","Rps6",8317,9014,9442,12516,9759,9390
"Mllt3","Mllt3",43,28,0,55,48,255
"Hacd4","Hacd4",1266,130,119,137,140,180
"Usp24","Usp24",8,608,228,124,29,366
"Plpp3","Plpp3",2227,505,522,184,130,1645
"Prkaa2","Prkaa2",1265,372,1,129,26,0
"Dab1","Dab1",0,4,35,0,0,0
"Slc35d1","Slc35d1",245,300,344,261,106,347
"Mier1","Mier1",96,192,650,467,98,184
"Tctex1d1","Tctex1d1",0,0,0,0,0,0
"Sgip1","Sgip1",4,0,0,0,0,0
"Pde4b","Pde4b",436,0,606,0,0,338
"Ak4","Ak4",1275,4232,3835,8623,4526,2362
"Dnajc6","Dnajc6",0,0,27,0,0,0
"Jak1","Jak1",5673,1144,3113,247,487,1643
"St3gal3","St3gal3",276,255,292,164,0,143
"Dph2","Dph2",80,0,458,87,0,395
"Slc6a9","Slc6a9",96,0,0,0,0,0
"Elavl4","Elavl4",0,94,0,1,0,8
"Itgb3bp","Itgb3bp",201,33,35,14,169,185
"Atg4c","Atg4c",0,62,13,16,0,0
"Cdkn2c","Cdkn2c",14,0,18,129,0,252
"Eps15","Eps15",2011,109,710,170,210,500
"Ttc39a","Ttc39a",1327,108,268,93,83,0
"Dock7","Dock7",5174,354,0,222,0,9
"Rnf11","Rnf11",510,1406,1978,1271,1200,300
"Osbpl9","Osbpl9",3102,249,163,333,273,267
"Usp1","Usp1",1220,94,463,721,410,405
"Tm2d1","Tm2d1",761,148,98,145,125,736
"Nfia","Nfia",16,35,99,56,212,191
"Txndc12","Txndc12",817,148,235,102,0,320
"Btf3l4","Btf3l4",517,270,20,172,142,913
"Hook1","Hook1",478,333,405,138,99,596
"Fggy","Fggy",0,27,0,0,0,366
"Ift74","Ift74",0,61,396,62,0,0
"Plaa","Plaa",1928,573,95,363,428,191
"Caap1","Caap1",498,19,0,35,4,40
"Pum1","Pum1",1091,583,13,166,6,670
"Laptm5","Laptm5",22813,1979,3342,281,573,3669
"Cc2d1b","Cc2d1b",1813,664,0,379,175,0
"Pdpn","Pdpn",0,0,0,0,0,0
"Orc1","Orc1",0,0,0,0,3,0
"Tnfrsf1b","Tnfrsf1b",6888,36,365,611,185,4217
"Echdc2","Echdc2",0,70,137,64,5,0
"Tnfrsf8","Tnfrsf8",32,0,0,0,0,8
"Scp2","Scp2",2710,661,953,333,274,767
"Cpt2","Cpt2",2015,310,302,59,0,378
"X0610037L13Rik","0610037L13Rik",699,130,81,123,239,348
"Magoh","Magoh",672,73,53,48,243,443
"Lrp8","Lrp8",67,11,112,141,46,49
"Ndc1","Ndc1",3103,1025,1313,1341,1049,88
"Lrrc42","Lrrc42",177,86,80,125,183,340
"Tmem59","Tmem59",5453,1149,1704,295,441,1909
"Tceanc2","Tceanc2",412,21,3,31,1,199
"Cyb5rl","Cyb5rl",241,114,161,148,58,225
"Mrpl37","Mrpl37",2553,578,681,426,110,195
"Exo5","Exo5",52,0,0,17,1,0
"Dyrk2","Dyrk2",594,0,281,243,17,57
"Ctps","Ctps",186,386,174,240,120,0
"Hivep3","Hivep3",476,47,0,62,43,0
"Ppcs","Ppcs",456,92,447,221,66,14
"Ybx1","Ybx1",4466,2598,2479,2561,2242,2978
"P3h1","P3h1",838,0,34,46,167,6
"Svbp","Svbp",171,269,175,398,186,61
"Ermap","Ermap",0,0,0,0,0,0
"Slc2a1","Slc2a1",2108,466,663,188,231,1421
"Rragc","Rragc",5917,1091,1146,240,352,2640
"Mycbp","Mycbp",187,53,150,85,0,0
"Ndufs5","Ndufs5",447,360,559,300,234,598
"Macf1","Macf1",327,470,53,191,414,48
"Ppie","Ppie",333,151,188,69,0,177
"Trit1","Trit1",0,61,0,0,23,544
"Cap1","Cap1",498,250,584,101,35,274
"Ppt1","Ppt1",4771,612,214,291,15,1106
"Eloa","Eloa",1985,1301,187,606,64,519
"Pithd1","Pithd1",174,524,0,240,356,17
"Lypla2","Lypla2",825,342,206,372,0,359
"Gale","Gale",380,96,0,63,0,193
"Hmgcl","Hmgcl",3574,538,535,900,947,1361
"Fuca1","Fuca1",7715,1145,1806,782,429,2043
"Pnrc2","Pnrc2",669,0,283,45,0,218
"Srsf10","Srsf10",1434,381,62,275,142,1026
"Rnf220","Rnf220",486,434,1094,407,589,700
"Kif2c","Kif2c",390,163,261,134,0,0
"Plk3","Plk3",140,73,159,28,171,6
"Eif2b3","Eif2b3",1144,262,117,15,111,184
"Urod","Urod",1702,164,358,47,60,549
"Mutyh","Mutyh",0,0,0,0,0,296
"Toe1","Toe1",92,0,0,27,0,0
"Ccdc163","Ccdc163",0,15,5,10,4,6
"Mmachc","Mmachc",451,0,0,0,0,51
"Prdx1","Prdx1",97700,10774,30680,4243,4704,49453
"Akr1a1","Akr1a1",24960,4813,6479,2704,2820,9959
"Nasp","Nasp",732,95,722,249,187,249
"Ipp","Ipp",729,0,0,0,0,0
"Pik3r3","Pik3r3",0,6,0,2,0,0
"Pomgnt1","Pomgnt1",1512,3288,1273,5150,3743,3205
"Rad54l","Rad54l",410,0,345,281,119,168
"Lrrc41","Lrrc41",3764,32,334,213,137,494
"Nsun4","Nsun4",1387,0,0,52,80,263
"Mknk1","Mknk1",1486,554,439,104,55,684
"Mob3c","Mob3c",1026,0,0,0,45,0
"Atpaf1","Atpaf1",168,47,0,25,154,131
"Pdzk1ip1","Pdzk1ip1",339,265,224,20,12,244
"Tal1","Tal1",0,0,0,13,0,0
"Stil","Stil",0,0,0,0,0,0
"Cmpk1","Cmpk1",1049,393,1144,615,325,832
"Ebna1bp2","Ebna1bp2",872,377,634,415,454,148
"Aldh4a1","Aldh4a1",0,0,0,25,1,0
"Mrto4","Mrto4",973,317,653,362,158,251
"Akr7a5","Akr7a5",717,86,144,71,68,171
"Pqlc2","Pqlc2",1132,75,190,29,44,0
"Capzb","Capzb",5589,1336,2494,1170,917,2843
"Pla2g2e","Pla2g2e",714,72,317,119,108,261
"Cda","Cda",0,15,0,0,0,114
"Pink1","Pink1",746,238,0,87,117,622
"Ddost","Ddost",3068,1027,724,473,383,1143
"Hp1bp3","Hp1bp3",1367,44,14,95,569,18
"Eif4g3","Eif4g3",580,2,580,191,12,535
"Hspg2","Hspg2",0,0,0,0,0,0
"Alpl","Alpl",1951,611,209,294,338,437
"Ptpn12","Ptpn12",110,170,183,15,0,10
"Zcchc17","Zcchc17",403,97,65,172,39,460
"Fabp3","Fabp3",685,215,317,128,145,239
"Tinagl1","Tinagl1",1399,0,0,0,0,553
"Pef1","Pef1",1607,125,138,111,58,463
"Adgrb2","Adgrb2",0,0,1,0,0,0
"Spocd1","Spocd1",0,0,0,28,0,147
"Ptp4a2","Ptp4a2",1223,1096,672,1502,1260,834
"Azin2","Azin2",0,112,65,138,0,0
"Khdrbs1","Khdrbs1",1819,0,107,22,101,313
"Ak2","Ak2",2987,343,549,581,552,1608
"Rnf19b","Rnf19b",1,393,481,443,418,364
"Ccdc28b","Ccdc28b",161,0,0,6,26,232
"Phc2","Phc2",7,369,350,228,154,486
"Tmem234","Tmem234",1211,237,416,236,88,472
"Eif3i","Eif3i",2478,1777,1685,1175,680,943
"Zfp362","Zfp362",727,203,0,66,9,54
"Hdac1","Hdac1",2071,205,902,137,245,526
"Nipal3","Nipal3",0,0,0,80,0,0
"Csmd2","Csmd2",0,0,0,0,0,0
"Srrm1","Srrm1",1352,144,158,137,104,466
"Yars","Yars",3827,448,726,135,75,1093
"Sfpq","Sfpq",595,55,51,50,63,39
"Syf2","Syf2",1057,274,65,167,199,767
"Tmem50a","Tmem50a",6318,516,1133,367,371,1387
"Rhd","Rhd",0,417,160,90,292,0
"Maco1","Maco1",22,219,0,6,109,0
"AU040320","AU040320",836,0,33,6,0,37
"Stmn1","Stmn1",2709,845,1037,880,528,1324
"Ncdn","Ncdn",495,0,0,44,22,0
"Trim63","Trim63",1787,171,115,69,0,315
"Psmb2","Psmb2",4232,566,1872,425,517,1574
"Extl1","Extl1",708,0,14,0,0,8
"Zfp593","Zfp593",42,6,0,0,0,0
"Cnksr1","Cnksr1",0,0,0,0,0,0
"Ago3","Ago3",159,12,11,102,26,61
"Sh3bgrl3","Sh3bgrl3",12266,1711,4018,728,957,5065
"Trappc3","Trappc3",1559,395,64,184,50,618
"Gpn2","Gpn2",0,87,0,8,0,0
"Map7d1","Map7d1",356,164,2,73,184,99
"Gpatch3","Gpatch3",0,117,479,244,143,756
"Nudc","Nudc",4748,829,1521,272,317,1433
"Slc9a1","Slc9a1",615,0,0,0,0,0
"Tmem222","Tmem222",599,1290,1013,1162,1336,1638
"Csf3r","Csf3r",753,0,0,0,0,0
"Mrps15","Mrps15",1517,964,1322,819,620,658
"Map3k6","Map3k6",518,0,0,0,0,0
"Meaf6","Meaf6",24,727,371,972,889,377
"Wasf2","Wasf2",1349,1206,853,1388,694,405
"Gnl2","Gnl2",1306,593,862,92,174,631
"Cdca8","Cdca8",541,108,276,285,54,1113
"Fgr","Fgr",0,0,0,97,0,0
"Epha10","Epha10",0,0,0,0,0,0
"Fam76a","Fam76a",1108,580,59,659,834,489
"Stx12","Stx12",1369,384,0,482,119,590
"Ppp1r8","Ppp1r8",188,50,156,61,138,151
"Sema3a","Sema3a",0,0,0,0,0,0
"Rpa2","Rpa2",714,558,524,434,403,1
"Smpdl3b","Smpdl3b",368,165,54,30,134,292
"Eya3","Eya3",0,95,233,171,36,0
"Yrdc","Yrdc",197,43,215,98,177,46
"Mtf1","Mtf1",74,300,0,133,0,422
"Sesn2","Sesn2",1387,800,2021,1033,336,283
"Inpp5b","Inpp5b",452,210,682,309,39,872
"Rcc1","Rcc1",489,467,400,20,0,727
"Trnau1ap","Trnau1ap",376,407,478,299,83,458
"Taf12","Taf12",114,98,130,82,171,161
"Gmeb1","Gmeb1",0,3,10,75,11,10
"Sf3a3","Sf3a3",499,205,211,108,184,691
"Epb41","Epb41",983,959,1074,996,447,1010
"Utp11","Utp11",381,167,294,111,152,306
"Mecr","Mecr",1420,193,146,98,76,0
"Srsf4","Srsf4",260,0,132,111,103,0
"Casp9","Casp9",1567,267,242,144,202,469
"Plekhm2","Plekhm2",1092,82,0,13,1,38
"Arhgef19","Arhgef19",0,23,0,1,0,0
"Fbxo42","Fbxo42",402,137,336,776,572,0
"Necap2","Necap2",2751,443,267,551,159,1200
"Cdk14","Cdk14",110,153,237,673,238,54
"Padi2","Padi2",0,1,0,0,0,0
"Kcnab2","Kcnab2",1318,363,0,155,49,22
"Psmc2","Psmc2",2926,227,1380,440,710,2055
"Xrcc2","Xrcc2",413,0,0,22,226,709
"Rpl22","Rpl22",1555,782,847,734,670,870
"Acot7","Acot7",1454,4,83,355,81,1425
"Prkag2","Prkag2",0,77,2,36,0,0
"Rheb","Rheb",653,507,600,211,38,382
"Nol9","Nol9",1573,596,0,250,132,683
"Zbtb48","Zbtb48",374,132,0,51,0,0
"Abcf2","Abcf2",5070,1042,573,716,155,1364
"Nub1","Nub1",1425,166,252,71,197,1462
"Vamp3","Vamp3",614,220,738,131,312,1051
"Per3","Per3",0,21,81,35,113,133
"Tmub1","Tmub1",0,65,0,27,0,454
"Fastk","Fastk",872,186,201,191,0,213
"Ube4b","Ube4b",1059,14,152,353,145,190
"Pgd","Pgd",9863,886,1484,776,471,1877
"Slc4a2","Slc4a2",1146,186,0,1,212,725
"Park7","Park7",4468,1373,1458,867,947,2635
"Tnfrsf9","Tnfrsf9",1017,1,432,42,0,653
"Errfi1","Errfi1",174,148,0,97,55,107
"Cdk5","Cdk5",643,86,148,286,324,588
"Abcb1b","Abcb1b",19,31,0,31,98,0
"Abcb8","Abcb8",763,168,635,149,14,0
"Dffa","Dffa",1199,114,0,109,0,21
"Pex14","Pex14",287,0,0,26,0,0
"Casz1","Casz1",0,0,0,0,0,0
"Nos3","Nos3",0,33,0,11,0,0
"H6pd","H6pd",0,9,0,8,0,0
"Slc25a33","Slc25a33",393,72,69,26,71,54
"Klhl7","Klhl7",332,0,1,58,124,0
"Ctnnbip1","Ctnnbip1",120,93,231,220,145,40
"Lzic","Lzic",489,1362,1707,1759,1436,1339
"Mtor","Mtor",2442,45,0,92,707,0
"Nmnat1","Nmnat1",0,1,6,33,78,299
"Fam126a","Fam126a",741,263,416,136,199,195
"Tomm7","Tomm7",1378,402,509,401,348,752
"Rint1","Rint1",34,0,294,18,0,392
"Fbxo44","Fbxo44",180,43,154,43,0,219
"Mad2l2","Mad2l2",250,54,106,32,39,0
"Kmt2e","Kmt2e",1322,106,0,165,27,232
"Draxin","Draxin",0,245,0,21,0,0
"Agtrap","Agtrap",353,428,187,402,102,641
"Mthfr","Mthfr",471,0,11,108,1428,0
"Orc5","Orc5",524,274,0,40,0,0
"Dnajc2","Dnajc2",803,256,1203,735,697,610
"Clcn6","Clcn6",0,265,7,246,206,0
"Pmpcb","Pmpcb",1824,170,327,153,104,757
"Mfn2","Mfn2",2052,1262,274,690,721,1436
"Miip","Miip",737,203,133,133,0,218
"Dffb","Dffb",0,0,0,20,0,0
"Lrrc47","Lrrc47",35,38,0,61,66,0
"Wrap73","Wrap73",565,118,0,0,37,0
"Tprgl","Tprgl",510,328,761,221,144,104
"Acap3","Acap3",750,129,0,13,0,190
"Ints11","Ints11",1430,67,284,50,0,305
"Atad3a","Atad3a",3021,208,319,199,95,578
"Ssu72","Ssu72",1589,531,726,234,263,313
"Pex10","Pex10",3053,166,279,131,127,942
"Rer1","Rer1",1761,1847,1275,1381,1147,888
"Morn1","Morn1",275,4,4,7,8,8
"Ski","Ski",0,4,45,23,175,0
"Pank4","Pank4",65,0,145,54,16,327
"Mib2","Mib2",1530,47,0,13,92,0
"Cdk11b","Cdk11b",139,48,474,362,131,825
"Nadk","Nadk",4191,620,110,552,1194,1552
"Gnb1","Gnb1",767,598,1278,513,818,436
"Mrpl20","Mrpl20",619,637,693,312,390,939
"Ccnl2","Ccnl2",1082,165,0,139,0,183
"Dvl1","Dvl1",1,0,0,54,0,265
"Tas1r3","Tas1r3",0,5,0,47,0,316
"Cptp","Cptp",337,114,444,187,481,209
